Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
ERBB3 knockdown 96h MCF7	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	CCL2
GPR34 knockdown 96h HT29	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	CCL2
GPR37 knockdown 96h HT29	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	PLAU
LGR4 knockdown 96h PC3	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	CCL2
MAP3K5 knockdown 96h MCF7	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	CCL2
QRFPR knockdown 96h MCF7	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	PLAU
F2RL1 knockdown 96h HCC515	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	PLAU
TNIK knockdown 96h HT29	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	CCL2
OPN5 knockdown 96h HT29	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	CCL2
PDK2 knockdown 96h A549	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	PLAU
OR52B2 knockdown 96h HT29	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	PLAU
GPRC6A knockdown 96h HT29	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	CCL2
OXER1 knockdown 96h MCF7	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	CCL2
VIPR1 knockdown 96h HT29	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	CCL2
P2RY8 knockdown 96h HT29	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	CCL2
RPS6KA2 knockdown 96h MCF7	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	PLAU
ROCK1 knockdown 96h HA1E	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	PLAU
GPR110 knockdown 96h MCF7	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	CCL2
RPS6KA3 knockdown 96h HA1E	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	PLAU
ABCF1 knockdown 96h PC3	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	CCL2
VN1R4 knockdown 96h HA1E	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	CYP27B1
OXGR1 knockdown 96h PC3	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	CCL2
RXFP1 knockdown 96h HA1E	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	CYP27B1
PDPK1 knockdown 96h HA1E	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	PLAU
GPR115 knockdown 96h HT29	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	CCL2
PHKG2 knockdown 96h HA1E	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	PLAU
PLK4 knockdown 96h MCF7	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	PLAU
TAAR1 knockdown 96h A549	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	PLAU
NMUR2 knockdown 96h MCF7	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	CYP27B1
LGR5 knockdown 96h HT29	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	CYP27B1
AURKA knockdown 96h MCF7	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	CCL2
GPR158 knockdown 96h MCF7	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	CCL2
NPSR1 knockdown 96h HA1E	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	CYP27B1
PRKCE knockdown 96h MCF7	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	CCL2
EPHB2 knockdown 96h HT29	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	CCL2
NR1H2 knockdown 96h HT29	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	CCL2
LPAR6 knockdown 96h MCF7	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	PLAU
LGR4 knockdown 96h HCC515	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	PLAU
LPAR5 knockdown 96h HT29	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	CCL2
GPR26 knockdown 96h MCF7	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	CYP27B1
