Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
LYN knockdown 96h HEPG2	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	CCL2
TAOK3 knockdown 96h HT29	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	CCL2
GPR61 knockdown 96h HT29	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	CCL2
FES knockdown 96h HEPG2	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	CCL2
GPR65 knockdown 96h HT29	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	CCL2
CDK5 knockdown 96h HT29	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	CCL2
MRGPRX4 knockdown 96h A375	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	PLAU
MAP4K3 knockdown 96h HEPG2	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	CCL2
TRIB3 knockdown 96h HT29	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	CCL2
SNRK knockdown 96h A375	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	CYP27B1
UTS2R knockdown 96h HT29	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	CCL2
GABRA5 knockdown 96h MCF7	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	CCL2
GABRP knockdown 96h MCF7	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	CCL2
IKBKB knockdown 96h HT29	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	CCL2
CSK knockdown 96h HT29	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	CCL2
IRAK4 knockdown 96h HT29	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	CCL2
PAK2 knockdown 96h PC3	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	CCL2
KCNN4 knockdown 96h HT29	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	CCL2
PRKAA1 knockdown 96h HT29	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	CYP27B1
STK38L knockdown 96h HEPG2	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	CCL2
EMR1 knockdown 96h HT29	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	CCL2
NPFFR2 knockdown 96h MCF7	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	CCL2
AXL knockdown 96h HEPG2	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	CCL2
STK36 knockdown 96h MCF7	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	CCL2
BTK knockdown 96h MCF7	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	CCL2
KISS1R knockdown 96h PC3	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	CCL2
TEK knockdown 96h HEPG2	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	CCL2
PPARA knockdown 96h PC3	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	CCL2
GPR62 knockdown 96h HEPG2	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	CCL2
FGFR2 knockdown 96h HT29	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	CCL2
LPAR5 knockdown 96h PC3	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	CCL2
GPR84 knockdown 96h MCF7	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	CYP27B1
RARG knockdown 96h HT29	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	CCL2
GSK3B knockdown 96h MCF7	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	CCL2
CFTR knockdown 96h MCF7	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	CCL2
HCAR1 knockdown 96h MCF7	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	CCL2
HNF4G knockdown 96h MCF7	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	CCL2
LPAR3 knockdown 96h A375	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	PLAU
CHUK knockdown 96h HEPG2	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	CCL2
MASTL knockdown 96h HT29	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	CCL2
ABL2 knockdown 96h HT29	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	CCL2
FZD7 knockdown 96h PC3	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	CCL2
PIK3CA knockdown 96h HEPG2	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	CCL2
AGTR1 knockdown 96h HT29	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	PLAU
FFAR1 knockdown 96h A375	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	PLAU
ADRA2A knockdown 96h PC3	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	CCL2
