Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Validated transcriptional targets of AP1 family members Fra1 and Fra2 Homo sapiens 76d028a7-6196-11e5-8ac5-06603eb7f303	2/35	8.915051928328421E-6	1.248107269965979E-4	0	0	1209.939393939394	14068.896359724004	PLAU;CCL2
AP-1 transcription factor network Homo sapiens 3ce2f9c5-6189-11e5-8ac5-06603eb7f303	2/69	3.511139150148894E-5	2.4577974051042257E-4	0	0	594.9253731343283	6102.140590249412	PLAU;CCL2
Beta5 beta6 beta7 and beta8 integrin cell surface interactions Homo sapiens 108637d6-618e-11e5-8ac5-06603eb7f303	1/17	0.0025479169262706313	0.009010938618242108	0	0	624.40625	3729.2533063250903	PLAU
Beta2 integrin cell surface interactions Homo sapiens 95b6b434-618d-11e5-8ac5-06603eb7f303	1/29	0.00434385079686094	0.009010938618242108	0	0	356.5892857142857	1939.4870011141588	PLAU
Osteopontin-mediated events Homo sapiens 94bf7f2a-6194-11e5-8ac5-06603eb7f303	1/31	0.0046429637132384795	0.009010938618242108	0	0	332.78333333333336	1787.845973802925	PLAU
GMCSF-mediated signaling events Homo sapiens 095aa3ef-6193-11e5-8ac5-06603eb7f303	1/36	0.005390484233154448	0.009010938618242108	0	0	285.1714285714286	1489.484608802673	CCL2
IL23-mediated signaling events Homo sapiens b71d0ffd-6193-11e5-8ac5-06603eb7f303	1/37	0.005539943461610349	0.009010938618242108	0	0	277.2361111111111	1440.4553417617176	CCL2
amb2 Integrin signaling Homo sapiens 5d4f90b6-6188-11e5-8ac5-06603eb7f303	1/40	0.005988231401979197	0.009010938618242108	0	0	255.87179487179486	1309.541398623503	PLAU
Urokinase-type plasminogen activator (uPA) and uPAR-mediated signaling Homo sapiens 503076a2-6196-11e5-8ac5-06603eb7f303	1/42	0.00628701524151983	0.009010938618242108	0	0	243.3658536585366	1233.6869399593022	PLAU
Beta3 integrin cell surface interactions Homo sapiens c2800165-618d-11e5-8ac5-06603eb7f303	1/43	0.006436384727315792	0.009010938618242108	0	0	237.5595238095238	1198.6750596729298	PLAU
ATF-2 transcription factor network Homo sapiens c76c900a-618a-11e5-8ac5-06603eb7f303	1/58	0.008675132502749212	0.01029497319935947	0	0	174.91228070175438	830.360139497581	PLAU
FGF signaling pathway Homo sapiens 98ed0df6-6192-11e5-8ac5-06603eb7f303	1/59	0.008824262742308117	0.01029497319935947	0	0	171.88793103448276	813.0729238663458	PLAU
Beta1 integrin cell surface interactions Homo sapiens 2fd0bc63-618d-11e5-8ac5-06603eb7f303	1/66	0.009867755893827221	0.010626814039506237	0	0	153.3230769230769	708.1199963366474	PLAU
E2F transcription factor network Homo sapiens bb4d0fd3-6191-11e5-8ac5-06603eb7f303	1/72	0.010761595752488154	0.010761595752488154	0	0	140.32394366197184	635.9160389879967	PLAU
