Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Vitamins Homo sapiens R-HSA-211916	1/6	8.997538788767587E-4	0.011021445039144729	0	0	1999.2	14021.167888467728	CYP27B1
Vitamin D (calciferol) metabolism Homo sapiens R-HSA-196791	1/7	0.001049661432299498	0.011021445039144729	0	0	1665.9166666666667	11427.001554688255	CYP27B1
Dissolution of Fibrin Clot Homo sapiens R-HSA-75205	1/13	0.001948793877001376	0.013641557139009632	0	0	832.7083333333334	5196.553511599695	PLAU
ATF4 activates genes Homo sapiens R-HSA-380994	1/25	0.0037454454654532016	0.017615941983863886	0	0	416.1041666666667	2324.8633249285726	CCL2
PERK regulates gene expression Homo sapiens R-HSA-381042	1/28	0.004194271900919973	0.017615941983863886	0	0	369.81481481481484	2024.379431258311	CCL2
Steroid hormones Homo sapiens R-HSA-209943	1/37	0.005539943461610349	0.01938980211563622	0	0	277.2361111111111	1440.4553417617176	CYP27B1
Metabolism of fat-soluble vitamins Homo sapiens R-HSA-6806667	1/51	0.0076308022208955405	0.021633648803529842	0	0	199.47	972.5284117534744	CYP27B1
Chemokine receptors bind chemokines Homo sapiens R-HSA-380108	1/56	0.008376827176217645	0.021633648803529842	0	0	181.29090909090908	866.9849864024002	CCL2
Cytochrome P450 - arranged by substrate type Homo sapiens R-HSA-211897	1/62	0.00927156377294136	0.021633648803529842	0	0	163.40983606557376	764.8892871354384	CYP27B1
Unfolded Protein Response (UPR) Homo sapiens R-HSA-381119	1/86	0.012845130618796025	0.026225521878452326	0	0	117.12941176470588	510.0740472374152	CCL2
Phase 1 - Functionalization of compounds Homo sapiens R-HSA-211945	1/92	0.013737178126808362	0.026225521878452326	0	0	109.37362637362638	468.95576237961774	CYP27B1
Metabolism of vitamins and cofactors Homo sapiens R-HSA-196854	1/148	0.0220370606188443	0.03856485608297752	0	0	67.51700680272108	257.57938413758654	CYP27B1
Peptide ligand-binding receptors Homo sapiens R-HSA-375276	1/193	0.02867277029258455	0.04433288595487858	0	0	51.575520833333336	183.18631536211723	CCL2
Biological oxidations Homo sapiens R-HSA-211859	1/199	0.029555257303252386	0.04433288595487858	0	0	49.99747474747475	176.0657892808416	CYP27B1
Class A/1 (Rhodopsin-like receptors) Homo sapiens R-HSA-373076	1/323	0.04767386135461656	0.06674340589646319	0	0	30.551242236024844	92.97879553067298	CCL2
GPCR ligand binding Homo sapiens R-HSA-500792	1/447	0.06556554031893094	0.08605477166859686	0	0	21.918161434977577	59.72052451443567	CCL2
Hemostasis Homo sapiens R-HSA-109582	1/552	0.08053937661283361	0.09948981816879447	0	0	17.646098003629763	44.45068080977709	PLAU
Metabolism of proteins Homo sapiens R-HSA-392499	1/1074	0.15261064422772855	0.17804575159901664	0	0	8.818266542404473	16.57715425001205	CCL2
Signaling by GPCR Homo sapiens R-HSA-372790	1/1293	0.18168945617202664	0.20081466208487156	0	0	7.238777089783282	12.345418238447763	CCL2
Metabolism Homo sapiens R-HSA-1430728	1/1908	0.25977606435265005	0.27276486757028257	0	0	4.7430519140010485	6.39332715224487	CYP27B1
Signal Transduction Homo sapiens R-HSA-162582	1/2465	0.32606431443103423	0.32606431443103423	0	0	3.557832792207792	3.987123150953817	CCL2
