Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Vaccinia virus Ankara Haemagglutinin	2/446	0.0014665356538941376	0.01486536500395994	0	0	88.07657657657657	574.6866583255654	PLAU;CCL2
Horsepox virus HSPV177 (Immunoglobulin like)	2/538	0.002128144869604966	0.01486536500395994	0	0	72.61567164179104	446.76825613176857	PLAU;CCL2
Vaccinia virus hemagglutinin (gene: A56R)	2/576	0.0024365467999178793	0.01486536500395994	0	0	67.67595818815332	407.2179813860202	PLAU;CCL2
Horsepox virus HSPV036 (serine protease inhibitor-like protein)	1/23	0.0034461530563075866	0.01486536500395994	0	0	453.97727272727275	2574.27663877793	PLAU
Monkeypox virus Zaire-96-I-16 B2R (gene: B2R)	2/702	0.0036047627266626975	0.01486536500395994	0	0	55.13428571428572	310.15788724969894	PLAU;CCL2
Astrovirus VA1 non-structural protein 1a	1/25	0.0037454454654532016	0.01486536500395994	0	0	416.1041666666667	2324.8633249285726	PLAU
Astrovirus SG nonstructural protein 1a	1/26	0.003895069234369013	0.01486536500395994	0	0	399.44	2216.1106253087632	PLAU
Cowpox virus CPXV014 protein (gene: CPXV014 CDS)	1/27	0.004044678046227062	0.01486536500395994	0	0	384.0576923076923	2116.2935816693675	CCL2
Astrovirus SG nonstructural protein 1ab	1/30	0.004493414734230119	0.01486536500395994	0	0	344.2758620689655	1860.860040913568	PLAU
Astrovirus VA1 non-structural protein 1ab	1/31	0.0046429637132384795	0.01486536500395994	0	0	332.78333333333336	1787.845973802925	PLAU
Vaccinia virus Ankara serine protease inhibitor, SPI-3	1/31	0.0046429637132384795	0.01486536500395994	0	0	332.78333333333336	1787.845973802925	PLAU
Monkeypox virus Zaire-96-I-16 serine protease inhibitor-like protein (gene: C2L)	1/31	0.0046429637132384795	0.01486536500395994	0	0	332.78333333333336	1787.845973802925	PLAU
Ectromelia virus ERPV chemokine binding protein	1/31	0.0046429637132384795	0.01486536500395994	0	0	332.78333333333336	1787.845973802925	CCL2
Yaba-like disease virus 10L protein (gene: 10L)	1/35	0.005241010046096412	0.01486536500395994	0	0	293.5735294117647	1541.6253665904292	PLAU
Ectromelia virus ERPV serpin	1/36	0.005390484233154448	0.01486536500395994	0	0	285.1714285714286	1489.484608802673	PLAU
Vaccinia virus serine protease inhibitor-like protein (gene: K2L)	1/37	0.005539943461610349	0.01486536500395994	0	0	277.2361111111111	1440.4553417617176	PLAU
Horsepox virus HSPV002 (chemokine binding protein; Provisional)	1/45	0.006735078830116054	0.01486536500395994	0	0	226.73863636363637	1133.7897191126328	CCL2
Monkeypox virus chemokine-binding protein	1/46	0.0068844034482568265	0.01486536500395994	0	0	221.6888888888889	1103.6774229731402	CCL2
Monkeypox virus Zaire-96-I-16 chemokine binding protein (gene: J1L)	1/47	0.007033713110919517	0.01486536500395994	0	0	216.8586956521739	1074.9773440238823	CCL2
Cowpox virus CrmD or CPXV221 protein (gene: CrmD)	1/48	0.007183007818324503	0.01486536500395994	0	0	212.2340425531915	1047.5951010155554	CCL2
Variola virus chemokine binding protein (gene: G5R)	1/51	0.0076308022208955405	0.01486536500395994	0	0	199.47	972.5284117534744	CCL2
Variola virus serine protease inhibitor-like protein (gene: C2L)	1/52	0.007780037114753103	0.01486536500395994	0	0	195.54901960784315	949.6240090215041	PLAU
Vaccinia virus Ankara viral chemokine binding protein	1/57	0.008525987313688671	0.01486536500395994	0	0	178.04464285714286	848.3179948344085	CCL2
Variola virus hypothetical protein (gene: G4R)	1/57	0.008525987313688671	0.01486536500395994	0	0	178.04464285714286	848.3179948344085	CCL2
Horsepox virus HSPV003 (Tumor necrosis factor receptor superfamily members)	1/57	0.008525987313688671	0.01486536500395994	0	0	178.04464285714286	848.3179948344085	CCL2
Ectromelia virus ERPV tumor necrosis factor receptor	1/57	0.008525987313688671	0.01486536500395994	0	0	178.04464285714286	848.3179948344085	CCL2
Vaccinia virus chemokine binding protein (gene: C23L)	1/57	0.008525987313688671	0.01486536500395994	0	0	178.04464285714286	848.3179948344085	CCL2
Cowpox virus SPI3 or CPXV042 protein (gene: SPI3)	1/59	0.008824262742308117	0.01486536500395994	0	0	171.88793103448276	813.0729238663458	PLAU
Human gammaherpesvirus 8 K6 (gene: K6)	1/62	0.00927156377294136	0.01486536500395994	0	0	163.40983606557376	764.8892871354384	CCL2
Cercopithecine betaherpesvirus 5 chemokine vCXCL9 (gene: UL146F)	1/63	0.009420634221166173	0.01486536500395994	0	0	160.76612903225808	749.9503377031319	CCL2
Monkeypox virus Zaire-96-I-16 J2L (gene: J2L)	1/63	0.009420634221166173	0.01486536500395994	0	0	160.76612903225808	749.9503377031319	CCL2
Cowpox virus CrmB or CPXV005 protein (gene: crmB)	1/66	0.009867755893827221	0.01486536500395994	0	0	153.3230769230769	708.1199963366474	CCL2
Monkeypox virus TNF-alpha-receptor-like protein	1/67	0.01001676656007227	0.01486536500395994	0	0	150.99242424242425	695.0928600722876	CCL2
Cercopithecine betaherpesvirus 5 chemokine vCXCL5 (gene: UL146B)	1/69	0.010314743063972204	0.01486536500395994	0	0	146.53676470588235	670.2856910354703	CCL2
Human cosavirus D 3C	1/72	0.010761595752488154	0.015066234053483415	0	0	140.32394366197184	635.9160389879967	PLAU
Cercopithecine betaherpesvirus 5 chemokine vCXCL10 (gene: UL146G)	1/96	0.014331577901305266	0.019506869921221057	0	0	104.74736842105263	444.68294850471597	CCL2
Human rhinovirus B17 full_polyprotein 1..2186	1/102	0.015222729833167328	0.020159831400681057	0	0	98.4950495049505	412.1983924062594	PLAU
Vaccinia virus Ankara serine proteinase inhibitor / SPI-2 f2	1/118	0.017596509331665674	0.022690235717147844	0	0	84.95726495726495	343.2320001415874	PLAU
Human betaherpesvirus 5 chemokine vCXCL1 (gene: UL146)	1/127	0.01893008279203636	0.023189351420244544	0	0	78.85317460317461	312.81077549345065	CCL2
Cercopithecine betaherpesvirus 5 chemokine vCXCL2 (gene: UL147)	1/127	0.01893008279203636	0.023189351420244544	0	0	78.85317460317461	312.81077549345065	CCL2
Human betaherpesvirus 5 chemokine vCXCL2 (gene: UL147)	1/131	0.019522394593755113	0.023331642319365867	0	0	76.41153846153846	300.7705652307742	CCL2
Human gammaherpesvirus 8 K4.1 (gene: K4.1)	1/137	0.020410415306419013	0.023812151190822185	0	0	73.01838235294117	284.1663654413698	CCL2
Molluscum contagiosum virus subtype 1 MC148R (gene: MC148R)	1/141	0.0210021311855888	0.023932661118461658	0	0	70.91785714285714	273.96499801043336	CCL2
Ectromelia virus ERPV hemagglutinin	1/262	0.03878912369742513	0.04319697866304162	0	0	37.808429118773944	122.86285308791481	CCL2
