Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Lung fibrosis WP3624	2/63	2.923536687652431E-5	7.809746592470562E-4	0	0	653.639344262295	6824.080633936858	PLAU;CCL2
Non-genomic actions of 1,25 dihydroxyvitamin D3 WP4341	2/71	3.7189269487955056E-5	7.809746592470562E-4	0	0	577.6231884057971	5891.462103111049	CYP27B1;CCL2
VEGFA-VEGFR2 Signaling Pathway WP3888	2/432	0.0013764622056950575	0.015102388302684537	0	0	91.0093023255814	599.5910067834416	PLAU;CCL2
Vitamin D Metabolism WP1531	1/10	0.0014992947695318503	0.015102388302684537	0	0	1110.4444444444443	7220.954198683598	CYP27B1
Osteopontin Signaling WP1434	1/13	0.001948793877001376	0.015102388302684537	0	0	832.7083333333334	5196.553511599695	PLAU
COVID-19 adverse outcome pathway WP4891	1/15	0.0022483852857590027	0.015102388302684537	0	0	713.6785714285714	4351.685756891909	CCL2
Platelet-mediated interactions with vascular and circulating cells WP4462	1/17	0.0025479169262706313	0.015102388302684537	0	0	624.40625	3729.2533063250903	CCL2
FGF23 signaling in hypophosphatemic rickets and related disorders WP4790	1/22	0.0032964844175520022	0.015102388302684537	0	0	475.6190476190476	2718.114679972292	CYP27B1
Blood Clotting Cascade WP272	1/23	0.0034461530563075866	0.015102388302684537	0	0	453.97727272727275	2574.27663877793	PLAU
IL1 and megakaryocytes in obesity WP2865	1/24	0.0035958067387344135	0.015102388302684537	0	0	434.2173913043478	2443.7697931466887	CCL2
Interactions between immune cells and microRNAs in tumor microenvironment WP4559	1/28	0.004194271900919973	0.016014492712603533	0	0	369.81481481481484	2024.379431258311	CCL2
Nuclear Receptors in Lipid Metabolism and Toxicity WP299	1/33	0.004942016796379297	0.016276880513277303	0	0	311.953125	1656.4654076932638	CYP27B1
Vitamin D-sensitive calcium signaling in depression WP4698	1/41	0.006137630800512576	0.016276880513277303	0	0	249.4625	1270.5914609940403	CYP27B1
Fibrin Complement Receptor 3 Signaling Pathway WP4136	1/41	0.006137630800512576	0.016276880513277303	0	0	249.4625	1270.5914609940403	CCL2
TNF related weak inducer of apoptosis (TWEAK) Signaling Pathway WP2036	1/42	0.00628701524151983	0.016276880513277303	0	0	243.3658536585366	1233.6869399593022	CCL2
Vitamin B12 metabolism WP1533	1/50	0.007481552373416279	0.016276880513277303	0	0	203.55102040816325	996.4463577649728	CCL2
Netrin-UNC5B signaling pathway WP4747	1/52	0.007780037114753103	0.016276880513277303	0	0	195.54901960784315	949.6240090215041	CCL2
IL-1 signaling pathway WP195	1/55	0.008227652087090826	0.016276880513277303	0	0	184.65740740740742	886.4025678735231	CCL2
Complement and Coagulation Cascades WP558	1/58	0.008675132502749212	0.016276880513277303	0	0	174.91228070175438	830.360139497581	PLAU
Oxidation by Cytochrome P450 WP43	1/61	0.009122478376120959	0.016276880513277303	0	0	166.14166666666668	780.3696944503212	CYP27B1
Endochondral Ossification with Skeletal Dysplasias WP4808	1/64	0.009569689724479127	0.016276880513277303	0	0	158.20634920634922	735.5257596653158	PLAU
Endochondral Ossification WP474	1/64	0.009569689724479127	0.016276880513277303	0	0	158.20634920634922	735.5257596653158	PLAU
Oncostatin M Signaling Pathway WP2374	1/65	0.009718730281484593	0.016276880513277303	0	0	155.7265625	721.5902191436588	CCL2
SARS-CoV-2 innate immunity evasion and cell-specific immune response WP5039	1/66	0.009867755893827221	0.016276880513277303	0	0	153.3230769230769	708.1199963366474	CCL2
p53 transcriptional gene network WP4963	1/67	0.01001676656007227	0.016276880513277303	0	0	150.99242424242425	695.0928600722876	CCL2
Folate Metabolism WP176	1/69	0.010314743063972204	0.016276880513277303	0	0	146.53676470588235	670.2856910354703	CCL2
Glucocorticoid Receptor Pathway WP2880	1/70	0.010463708901392551	0.016276880513277303	0	0	144.40579710144928	658.467662524263	CCL2
ncRNAs involved in Wnt signaling in hepatocellular carcinoma WP4336	1/86	0.012845130618796025	0.01901435904610557	0	0	117.12941176470588	510.0740472374152	PLAU
Selenium Micronutrient Network WP15	1/89	0.013291221555431713	0.01901435904610557	0	0	113.11931818181819	488.7491512268038	CCL2
TNF-alpha signaling pathway WP231	1/92	0.013737178126808362	0.01901435904610557	0	0	109.37362637362638	468.95576237961774	CCL2
LncRNA involvement in canonical Wnt signaling and colorectal cancer WP4258	1/94	0.014034407867363635	0.01901435904610557	0	0	107.01075268817205	456.53390237907763	PLAU
Wnt signaling pathway and pluripotency WP399	1/102	0.015222729833167328	0.01994122372608601	0	0	98.4950495049505	412.1983924062594	PLAU
Senescence and Autophagy in Cancer WP615	1/105	0.015668104356210435	0.01994122372608601	0	0	95.63942307692308	397.4897035431012	PLAU
DNA damage response (only ATM dependent) WP710	1/110	0.016410096868260147	0.020271296131380182	0	0	91.22935779816514	374.9397489411658	PLAU
Wnt signaling WP428	1/115	0.017151716497972157	0.020529260886943287	0	0	87.20614035087719	354.55025696916954	PLAU
Spinal Cord Injury WP2431	1/118	0.017596509331665674	0.020529260886943287	0	0	84.95726495726495	343.2320001415874	CCL2
Ectoderm Differentiation WP2858	1/138	0.020558366619883688	0.02333652427121932	0	0	72.48175182481752	281.55444343842925	CCL2
Nonalcoholic fatty liver disease WP4396	1/155	0.02307126054382791	0.02549981428528348	0	0	64.42532467532467	242.82984434544923	CCL2
Vitamin D Receptor Pathway WP2877	1/182	0.027053488384102493	0.028560808634885894	0	0	54.74033149171271	197.60927511890054	CYP27B1
Metapathway biotransformation Phase I and II WP702	1/183	0.027200770128462753	0.028560808634885894	0	0	54.43681318681319	196.2180370936064	CYP27B1
IL-18 signaling pathway WP4754	1/272	0.04024940856412916	0.04123110145593719	0	0	36.39483394833948	116.92422611458412	CCL2
Nuclear Receptors Meta-Pathway WP2882	1/319	0.04709293991404629	0.04709293991404629	0	0	30.94182389937107	94.54683296528297	CCL2
