Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
PBK human kinase ARCHS4 coexpression	1/299	0.04418478899362539	0.04418478899362539	0	0	33.05201342281879	103.10161410961285	AURKB
SLK human kinase ARCHS4 coexpression	1/299	0.04418478899362539	0.04418478899362539	0	0	33.05201342281879	103.10161410961285	SPRR1B
CHEK1 human kinase ARCHS4 coexpression	1/299	0.04418478899362539	0.04418478899362539	0	0	33.05201342281879	103.10161410961285	AURKB
CHEK2 human kinase ARCHS4 coexpression	1/299	0.04418478899362539	0.04418478899362539	0	0	33.05201342281879	103.10161410961285	AURKB
EPHB3 human kinase ARCHS4 coexpression	1/299	0.04418478899362539	0.04418478899362539	0	0	33.05201342281879	103.10161410961285	SPRR1B
SRPK1 human kinase ARCHS4 coexpression	1/299	0.04418478899362539	0.04418478899362539	0	0	33.05201342281879	103.10161410961285	AURKB
AURKA human kinase ARCHS4 coexpression	1/299	0.04418478899362539	0.04418478899362539	0	0	33.05201342281879	103.10161410961285	AURKB
VRK1 human kinase ARCHS4 coexpression	1/299	0.04418478899362539	0.04418478899362539	0	0	33.05201342281879	103.10161410961285	AURKB
TTK human kinase ARCHS4 coexpression	1/299	0.04418478899362539	0.04418478899362539	0	0	33.05201342281879	103.10161410961285	AURKB
CDK1 human kinase ARCHS4 coexpression	1/299	0.04418478899362539	0.04418478899362539	0	0	33.05201342281879	103.10161410961285	AURKB
BUB1 human kinase ARCHS4 coexpression	1/299	0.04418478899362539	0.04418478899362539	0	0	33.05201342281879	103.10161410961285	AURKB
NEK2 human kinase ARCHS4 coexpression	1/299	0.04418478899362539	0.04418478899362539	0	0	33.05201342281879	103.10161410961285	AURKB
BUB1B human kinase ARCHS4 coexpression	1/299	0.04418478899362539	0.04418478899362539	0	0	33.05201342281879	103.10161410961285	AURKB
CDC7 human kinase ARCHS4 coexpression	1/299	0.04418478899362539	0.04418478899362539	0	0	33.05201342281879	103.10161410961285	AURKB
WEE1 human kinase ARCHS4 coexpression	1/299	0.04418478899362539	0.04418478899362539	0	0	33.05201342281879	103.10161410961285	AURKB
MASTL human kinase ARCHS4 coexpression	1/299	0.04418478899362539	0.04418478899362539	0	0	33.05201342281879	103.10161410961285	AURKB
CSNK2A1 human kinase ARCHS4 coexpression	1/299	0.04418478899362539	0.04418478899362539	0	0	33.05201342281879	103.10161410961285	AURKB
MELK human kinase ARCHS4 coexpression	1/299	0.04418478899362539	0.04418478899362539	0	0	33.05201342281879	103.10161410961285	AURKB
CSNK2A2 human kinase ARCHS4 coexpression	1/299	0.04418478899362539	0.04418478899362539	0	0	33.05201342281879	103.10161410961285	AURKB
GSG2 human kinase ARCHS4 coexpression	1/299	0.04418478899362539	0.04418478899362539	0	0	33.05201342281879	103.10161410961285	AURKB
RIPK4 human kinase ARCHS4 coexpression	1/299	0.04418478899362539	0.04418478899362539	0	0	33.05201342281879	103.10161410961285	SPRR1B
PKMYT1 human kinase ARCHS4 coexpression	1/299	0.04418478899362539	0.04418478899362539	0	0	33.05201342281879	103.10161410961285	AURKB
PLK1 human kinase ARCHS4 coexpression	1/299	0.04418478899362539	0.04418478899362539	0	0	33.05201342281879	103.10161410961285	AURKB
PLK4 human kinase ARCHS4 coexpression	1/299	0.04418478899362539	0.04418478899362539	0	0	33.05201342281879	103.10161410961285	AURKB
PTK6 human kinase ARCHS4 coexpression	1/299	0.04418478899362539	0.04418478899362539	0	0	33.05201342281879	103.10161410961285	SPRR1B
