Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KIAA0907	1/10	0.0014992947695318503	0.007108119485772448	0	0	1110.4444444444443	7220.954198683598	S100A7
AIRE	1/12	0.0017989757687595922	0.007108119485772448	0	0	908.4545454545455	5741.921288120221	S100A7
SUGT1	1/12	0.0017989757687595922	0.007108119485772448	0	0	908.4545454545455	5741.921288120221	AURKB
RNF25	1/14	0.0020985970505495682	0.007108119485772448	0	0	768.6153846153846	4739.656184381286	S100A7
ITGA9	1/15	0.0022483852857590027	0.007108119485772448	0	0	713.6785714285714	4351.685756891909	SPRR1B
ZNF354C	1/16	0.0023981585785517907	0.007108119485772448	0	0	666.0666666666667	4018.4162309154813	S100A7
CA8	1/20	0.0029971022769704784	0.007108119485772448	0	0	525.7368421052631	3054.5885497256336	S100A7
HSP90AB1	1/23	0.0034461530563075866	0.007108119485772448	0	0	453.97727272727275	2574.27663877793	AURKB
C16orf70	1/26	0.003895069234369013	0.007108119485772448	0	0	399.44	2216.1106253087632	S100A7
HSP90AA1	1/28	0.004194271900919973	0.007108119485772448	0	0	369.81481481481484	2024.379431258311	AURKB
HSP90AA4P	1/29	0.00434385079686094	0.007108119485772448	0	0	356.5892857142857	1939.4870011141588	AURKB
HSP90AA5P	1/39	0.005838817046122731	0.008467379044405024	0	0	262.61842105263156	1350.7061704673467	AURKB
ZIC1	1/41	0.006137630800512576	0.008467379044405024	0	0	249.4625	1270.5914609940403	S100A7
FAM60A	1/44	0.006585739256759462	0.008467379044405024	0	0	232.02325581395348	1165.417705666189	S100A7
MRPL38	1/48	0.007183007818324503	0.008584652498507483	0	0	212.2340425531915	1047.5951010155554	S100A7
PDE4DIP	1/51	0.0076308022208955405	0.008584652498507483	0	0	199.47	972.5284117534744	S100A7
TBC1D22B	1/79	0.011803729124474183	0.012498066131796194	0	0	127.68589743589743	566.841082547516	S100A7
CDK15	1/86	0.012845130618796025	0.012845130618796025	0	0	117.12941176470588	510.0740472374152	S100A7
