Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Metaphase/Anaphase Phase Transition	1/8	0.0011995541091196305	0.009441811143410972	0	0	1427.857142857143	9603.48923469958	AURKB
Microtubule Cytoskeleton	1/12	0.0017989757687595922	0.009441811143410972	0	0	908.4545454545455	5741.921288120221	AURKB
Chromosome Condensation	1/15	0.0022483852857590027	0.009441811143410972	0	0	713.6785714285714	4351.685756891909	AURKB
Spindle Assembly	1/16	0.0023981585785517907	0.009441811143410972	0	0	666.0666666666667	4018.4162309154813	AURKB
Histone Phosphorylation	1/17	0.0025479169262706313	0.009441811143410972	0	0	624.40625	3729.2533063250903	AURKB
Sister Chromatid Cohesion	1/18	0.0026976603266888493	0.009441811143410972	0	0	587.6470588235294	3476.150033460634	AURKB
APC/C-FZR1 Complex	1/23	0.0034461530563075866	0.009654577090973688	0	0	453.97727272727275	2574.27663877793	AURKB
Proteins with Altered Expression in Psoriasis	1/27	0.004044678046227062	0.009654577090973688	0	0	384.0576923076923	2116.2935816693675	S100A7
APC/C-CDC20 Complex	1/33	0.004942016796379297	0.009654577090973688	0	0	311.953125	1656.4654076932638	AURKB
SCF/BTRC Complex	1/34	0.005091520900981562	0.009654577090973688	0	0	302.4848484848485	1597.1740514070286	AURKB
IL22 Induces Keratinocyte Proliferation in Psoriasis	1/35	0.005241010046096412	0.009654577090973688	0	0	293.5735294117647	1541.6253665904292	S100A7
Kinetochore Assembly	1/40	0.005988231401979197	0.009654577090973688	0	0	255.87179487179486	1309.541398623503	AURKB
IL17 Signaling in Psoriasis	1/41	0.006137630800512576	0.009654577090973688	0	0	249.4625	1270.5914609940403	S100A7
Dendritic Cells Function in Psoriasis	1/43	0.006436384727315792	0.009654577090973688	0	0	237.5595238095238	1198.6750596729298	S100A7
Keratinocyte Activation in Psoriatic Arthritis	1/47	0.007033713110919517	0.009819537490108866	0	0	216.8586956521739	1074.9773440238823	S100A7
Proteins Involved in Hodgkin Lymphoma	1/50	0.007481552373416279	0.009819537490108866	0	0	203.55102040816325	996.4463577649728	AURKB
Proteins Involved in Psoriasis	1/59	0.008824262742308117	0.010900559858145321	0	0	171.88793103448276	813.0729238663458	S100A7
Cell Cycle Overiew	1/107	0.015964946111592007	0.01862577046352401	0	0	93.8254716981132	388.18973746853214	AURKB
Proteins Involved in Glioblastoma	1/178	0.026464212754592566	0.029249919360339154	0	0	55.98870056497175	203.34882844573715	AURKB
Proteins Involved in Atherosclerosis	1/200	0.029702286492555446	0.03118740081718322	0	0	49.743718592964825	174.92534091617622	S100A7
Proteins Involved in Glioma	1/290	0.04287419312598879	0.04287419312598879	0	0	34.09688581314879	107.38763699224268	AURKB
