Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Barasertib	1/5	7.498314718703743E-4	0.028189521564311315	0	0	2499.125	17982.858997820545	AURKB
Tozasertib	1/8	0.0011995541091196305	0.028189521564311315	0	0	1427.857142857143	9603.48923469958	AURKB
Lapatinib	1/19	0.002847388777574066	0.03898585241274252	0	0	554.9722222222222	3252.888056951129	AURKB
XMD11-50	1/47	0.007033713110919517	0.03898585241274252	0	0	216.8586956521739	1074.9773440238823	AURKB
GSK429286A	1/48	0.007183007818324503	0.03898585241274252	0	0	212.2340425531915	1047.5951010155554	AURKB
SCH772984	1/52	0.007780037114753103	0.03898585241274252	0	0	195.54901960784315	949.6240090215041	AURKB
XMD-12	1/59	0.008824262742308117	0.03898585241274252	0	0	171.88793103448276	813.0729238663458	AURKB
XMD13-2	1/77	0.011506051423331512	0.03898585241274252	0	0	131.05921052631578	585.1639324621284	AURKB
Barasertib	1/85	0.012696403776118125	0.03898585241274252	0	0	118.5297619047619	517.552677869987	AURKB
GW843682X	1/89	0.013291221555431713	0.03898585241274252	0	0	113.11931818181819	488.7491512268038	AURKB
Vemurafenib	1/89	0.013291221555431713	0.03898585241274252	0	0	113.11931818181819	488.7491512268038	AURKB
ZM-447439	1/91	0.013588540865001511	0.03898585241274252	0	0	110.59444444444445	475.39336307702496	AURKB
WZ4003	1/92	0.013737178126808362	0.03898585241274252	0	0	109.37362637362638	468.95576237961774	AURKB
MLN8054	1/96	0.014331577901305266	0.03898585241274252	0	0	104.74736842105263	444.68294850471597	AURKB
WZ4002	1/98	0.01462868823763482	0.03898585241274252	0	0	102.57731958762886	433.36565740381525	AURKB
ZG-10	1/100	0.014925738877681147	0.03898585241274252	0	0	100.4949494949495	422.54790984855003	AURKB
GW-5074	1/101	0.015074241816001008	0.03898585241274252	0	0	99.485	417.31647774293873	AURKB
Sorafenib	1/106	0.0158165326939135	0.03898585241274252	0	0	94.72380952380952	392.79117482031205	AURKB
PLX-4720	1/106	0.0158165326939135	0.03898585241274252	0	0	94.72380952380952	392.79117482031205	AURKB
KIN001-111	1/121	0.01804116797765358	0.03898585241274252	0	0	82.82083333333334	332.53384697347076	AURKB
RO-3306	1/122	0.01818935771105458	0.03898585241274252	0	0	82.13223140495867	329.097165436044	AURKB
AG1478	1/123	0.018337532538386346	0.03898585241274252	0	0	81.45491803278688	325.72236291720975	AURKB
JWE-035	1/128	0.019078183095597404	0.03898585241274252	0	0	78.22834645669292	309.72243930029543	AURKB
HG-5-113-01	1/157	0.023366612280172203	0.0390994420556695	0	0	63.592948717948715	238.88354786430114	AURKB
XMD16-144	1/160	0.023809528273895108	0.0390994420556695	0	0	62.38364779874214	233.1694533578915	AURKB
BI-D1870	1/164	0.02439987462619486	0.0390994420556695	0	0	60.84049079754601	225.9115284356846	AURKB
GSK1059615	1/165	0.02454742402194703	0.0390994420556695	0	0	60.46646341463415	224.1581505658515	AURKB
MRT67307	1/172	0.025579853317342374	0.0390994420556695	0	0	57.97076023391813	212.5179210660911	AURKB
Palbociclib	1/184	0.027348037017313847	0.0390994420556695	0	0	54.13661202185792	194.84365013551567	AURKB
BMS-536924	1/184	0.027348037017313847	0.0390994420556695	0	0	54.13661202185792	194.84365013551567	AURKB
KIN001-220	1/190	0.028231326256091066	0.0390994420556695	0	0	52.402116402116405	186.93527810000694	AURKB
Dabrafenib	1/195	0.028966992043161045	0.0390994420556695	0	0	51.03865979381443	180.75843089538657	AURKB
WH-4-023	1/198	0.02940821326513827	0.0390994420556695	0	0	50.253807106598984	177.21911005498902	AURKB
Crizotinib	1/200	0.029702286492555446	0.0390994420556695	0	0	49.743718592964825	174.92534091617622	AURKB
Baricitinib	1/203	0.030143284957031374	0.0390994420556695	0	0	48.99752475247525	171.5791941822581	AURKB
AZD4547	1/209	0.031024881017024206	0.0390994420556695	0	0	47.56971153846154	165.2079804786652	AURKB
HG-6-64-01	1/210	0.03117176174048636	0.0390994420556695	0	0	47.33971291866029	164.18561216020964	AURKB
HG-9-91-01	1/213	0.03161231485352002	0.0390994420556695	0	0	46.6627358490566	161.18281991141214	AURKB
CP466722	1/228	0.03381307738313028	0.04044109108895234	0	0	43.54625550660793	147.48714575156393	AURKB
R406	1/234	0.03469244802098457	0.04044109108895234	0	0	42.412017167381975	142.55668238733136	AURKB
NVP-TAE684	1/238	0.03527839860951162	0.04044109108895234	0	0	41.687763713080166	139.4240770668133	AURKB
AZD 5438	1/258	0.03820459528000948	0.04275276138477251	0	0	38.40466926070039	125.38354405203063	AURKB
HG-14-10-04	1/268	0.039665472216447326	0.043355283585419166	0	0	36.947565543071164	119.23992455638721	AURKB
BX-912	1/285	0.042145566936750326	0.04462138828205307	0	0	34.70598591549296	109.90086949718254	AURKB
THZ1	1/289	0.04272849746075876	0.04462138828205307	0	0	34.217013888888886	107.88245332452784	AURKB
OTSSP167	1/298	0.044039226345985824	0.04462138828205307	0	0	33.16498316498316	103.56344836169372	AURKB
AZD7762	1/302	0.04462138828205307	0.04462138828205307	0	0	32.71760797342193	101.73677538083328	AURKB
