Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
FGFR1 knockdown 94 GSE27869	2/300	6.660828040604682E-4	0.013987738885269833	0	0	132.20805369127515	966.9824713331468	AURKB;S100A7
IGF1R knockout 151 GSE32936	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	AURKB
BRD4 knockdown 223 GSE50865	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	AURKB
MAP2K1 knockdown 134 GSE31534	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	AURKB
ERBB3 knockdown 65 GSE19921	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	AURKB
AURKA druginhibition 196 GSE57810	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	AURKB
ABL1 knockdown 100 GSE27869	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	S100A7
AURKB knockdown 92 GSE27869	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	AURKB
PIK3CG knockdown 96 GSE27869	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	S100A7
CDK7 knockdown 124 GSE27869	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	S100A7
RET knockout 270 GSE32093	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	AURKB
HIPK2 knockdown 106 GSE27869	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	S100A7
GSK3A knockdown 207 GDS4305	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	S100A7
KSR1 knockout 126 GSE28228	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	AURKB
EPHA4 knockout 227 GSE34430	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	AURKB
CDK8 knockdown 161 GSE38061	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	AURKB
PRKCA knockdown 118 GSE27869	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	SPRR1B
SYK knockdown 190 GSE54065	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	AURKB
SYK knockdown 279 GDS3609	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	SPRR1B
CDK5 knockdown 99 GSE27869	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	S100A7
ABL1 druginhibition 77 GSE24493	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	SPRR1B
