Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CSK knockdown 96h A375	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	AURKB
INSR knockdown 96h A375	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	AURKB
MET knockdown 96h A375	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	AURKB
CAMK1 knockdown 96h PC3	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	S100A7
CDK5 knockdown 96h HA1E	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	S100A7
ERBB4 knockdown 96h PC3	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	S100A7
LPAR6 knockdown 96h PC3	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	SPRR1B
AKT2 knockdown 96h A375	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	AURKB
RARG knockdown 96h MCF7	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	SPRR1B
PXK knockdown 96h HA1E	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	AURKB
ATM knockdown 96h A375	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	AURKB
MAPK1 knockdown 96h HCC515	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	SPRR1B
CDK6 knockdown 96h PC3	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	S100A7
MAPK13 knockdown 96h HCC515	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	AURKB
UTS2R knockdown 96h MCF7	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	SPRR1B
NRBP2 knockdown 96h PC3	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	SPRR1B
GPR158 knockdown 96h A375	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	AURKB
NPFFR2 knockdown 96h A375	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	AURKB
BTK knockdown 96h A375	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	AURKB
EPHA6 knockdown 96h A375	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	AURKB
MAST4 knockdown 96h MCF7	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	SPRR1B
NR0B1 knockdown 96h A375	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	AURKB
CAMK1 knockdown 96h A375	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	AURKB
ERBB4 knockdown 96h A375	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	AURKB
IRAK4 knockdown 96h MCF7	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	SPRR1B
ADRBK1 knockdown 96h HT29	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	SPRR1B
GPR128 knockdown 96h HA1E	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	AURKB
MRGPRX1 knockdown 96h MCF7	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	SPRR1B
CSK knockdown 96h PC3	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	S100A7
CDK10 knockdown 96h A375	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	AURKB
NR4A2 knockdown 96h A375	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	SPRR1B
TAAR9 knockdown 96h A375	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	AURKB
CDK2 knockdown 96h A375	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	AURKB
SIK3 knockdown 96h MCF7	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	SPRR1B
MAP3K5 knockdown 96h A375	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	AURKB
INSR knockdown 96h PC3	1/300	0.04433033686597282	0.04433033686597282	0	0	32.93979933110368	102.64324856625245	S100A7
