Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
BL2605 (PPARGC1B)	1/48	0.007183007818324503	0.06027108511222451	0	0	212.2340425531915	1047.5951010155554	S100A7
BL1836 (CAMK4)	1/50	0.007481552373416279	0.06027108511222451	0	0	203.55102040816325	996.4463577649728	S100A7
BL2054 (ESR1)	1/55	0.008227652087090826	0.06027108511222451	0	0	184.65740740740742	886.4025678735231	S100A7
BL2739 (ZNF335)	1/58	0.008675132502749212	0.06027108511222451	0	0	174.91228070175438	830.360139497581	S100A7
BL8979 (PKD2)	1/58	0.008675132502749212	0.06027108511222451	0	0	174.91228070175438	830.360139497581	S100A7
ABM-2052 (6H2.1) (PTEN)	1/69	0.010314743063972204	0.06027108511222451	0	0	146.53676470588235	670.2856910354703	S100A7
BL1075 (AURKB)	1/70	0.010463708901392551	0.06027108511222451	0	0	144.40579710144928	658.467662524263	AURKB
CS-2947B (CDKN1A)	1/71	0.010612659796938678	0.06027108511222451	0	0	142.3357142857143	647.0165481479889	S100A7
BL2154 (NEK7)	1/72	0.010761595752488154	0.06027108511222451	0	0	140.32394366197184	635.9160389879967	S100A7
BL2268 (TDP1)	1/77	0.011506051423331512	0.06027108511222451	0	0	131.05921052631578	585.1639324621284	S100A7
BL3033 (ERBB2)	1/80	0.011952545569943683	0.06027108511222451	0	0	126.0632911392405	558.058364527147	S100A7
BL3439 (MIS12)	1/82	0.012250133655514035	0.06027108511222451	0	0	122.93827160493827	541.2011251833146	S100A7
BL2243 (NUP214)	1/85	0.012696403776118125	0.06027108511222451	0	0	118.5297619047619	517.552677869987	S100A7
BL900 (IFFO1)	1/87	0.012993842528372471	0.06027108511222451	0	0	115.76162790697674	502.78512683635364	S100A7
BL4422 (ZRANB2)	1/90	0.01343988867423259	0.06027108511222451	0	0	111.84269662921348	481.9892581173089	S100A7
BL6024 (WDR4)	1/98	0.01462868823763482	0.06027108511222451	0	0	102.57731958762886	433.36565740381525	S100A7
BL2785 (PSMC5)	1/98	0.01462868823763482	0.06027108511222451	0	0	102.57731958762886	433.36565740381525	S100A7
BL2003 (RIF1)	1/99	0.014777221017602536	0.06027108511222451	0	0	101.52551020408163	427.8963600882829	S100A7
CBC1841 (DEAF1)	1/101	0.015074241816001008	0.06027108511222451	0	0	99.485	417.31647774293873	S100A7
BL5157 (SGOL2)	1/103	0.015371202926661002	0.06027108511222451	0	0	97.52450980392157	407.1901321318921	S100A7
BL1827 (RCN1)	1/104	0.01551966110087719	0.06027108511222451	0	0	96.57281553398059	402.288317326718	S100A7
BL323 (MSH2)	1/107	0.015964946111592007	0.06027108511222451	0	0	93.8254716981132	388.18973746853214	S100A7
