Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
SUMOylation of DNA replication proteins Homo sapiens R-HSA-4615885	1/44	0.006585739256759462	0.04250855599891746	0	0	232.02325581395348	1165.417705666189	AURKB
APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1 Homo sapiens R-HSA-174178	1/71	0.010612659796938678	0.04250855599891746	0	0	142.3357142857143	647.0165481479889	AURKB
APC/C-mediated degradation of cell cycle proteins Homo sapiens R-HSA-174143	1/85	0.012696403776118125	0.04250855599891746	0	0	118.5297619047619	517.552677869987	AURKB
Regulation of mitotic cell cycle Homo sapiens R-HSA-453276	1/85	0.012696403776118125	0.04250855599891746	0	0	118.5297619047619	517.552677869987	AURKB
Regulation of TP53 Activity through Phosphorylation Homo sapiens R-HSA-6804756	1/89	0.013291221555431713	0.04250855599891746	0	0	113.11931818181819	488.7491512268038	AURKB
SUMO E3 ligases SUMOylate target proteins Homo sapiens R-HSA-3108232	1/96	0.014331577901305266	0.04250855599891746	0	0	104.74736842105263	444.68294850471597	AURKB
Resolution of Sister Chromatid Cohesion Homo sapiens R-HSA-2500257	1/99	0.014777221017602536	0.04250855599891746	0	0	101.52551020408163	427.8963600882829	AURKB
SUMOylation Homo sapiens R-HSA-2990846	1/101	0.015074241816001008	0.04250855599891746	0	0	99.485	417.31647774293873	AURKB
Mitotic Prometaphase Homo sapiens R-HSA-68877	1/107	0.015964946111592007	0.04250855599891746	0	0	93.8254716981132	388.18973746853214	AURKB
RHO GTPases Activate Formins Homo sapiens R-HSA-5663220	1/114	0.017003422399566984	0.04250855599891746	0	0	87.98230088495575	358.4698638821348	AURKB
Regulation of TP53 Activity Homo sapiens R-HSA-5633007	1/151	0.022480378473051295	0.046204820126347926	0	0	66.15666666666667	251.07198720733425	AURKB
Separation of Sister Chromatids Homo sapiens R-HSA-2467813	1/162	0.024104731206729083	0.046204820126347926	0	0	61.60248447204969	229.49063947550405	AURKB
Mitotic Anaphase Homo sapiens R-HSA-68882	1/173	0.025727283729032536	0.046204820126347926	0	0	57.63081395348837	210.94049117878978	AURKB
Mitotic Metaphase and Anaphase Homo sapiens R-HSA-2555396	1/174	0.025874699270754836	0.046204820126347926	0	0	57.29479768786127	209.3832451405634	AURKB
RHO GTPase Effectors Homo sapiens R-HSA-195258	1/255	0.03776604349914561	0.06197730033819895	0	0	38.86417322834646	127.33243575781769	AURKB
M Phase Homo sapiens R-HSA-68886	1/268	0.039665472216447326	0.06197730033819895	0	0	36.947565543071164	119.23992455638721	AURKB
Transcriptional Regulation by TP53 Homo sapiens R-HSA-3700989	1/348	0.051299272349675754	0.07506725396318097	0	0	28.314121037463977	84.09516811752758	AURKB
Signaling by Rho GTPases Homo sapiens R-HSA-194315	1/367	0.0540484228534903	0.07506725396318097	0	0	26.81830601092896	78.25246236461527	AURKB
Cell Cycle, Mitotic Homo sapiens R-HSA-69278	1/462	0.06771453895299628	0.08909807756973195	0	0	21.188720173535792	57.049662152570995	AURKB
Post-translational protein modification Homo sapiens R-HSA-597592	1/521	0.0761353000770106	0.09516912509626324	0	0	18.727884615384614	48.228858579573014	AURKB
Cell Cycle Homo sapiens R-HSA-1640170	1/566	0.08252371812880772	0.09824252158191396	0	0	17.19646017699115	42.89948530459565	AURKB
Generic Transcription Pathway Homo sapiens R-HSA-212436	1/812	0.11692712574991035	0.13287173380671632	0	0	11.828606658446363	25.386607598014265	AURKB
Metabolism of proteins Homo sapiens R-HSA-392499	1/1074	0.15261064422772855	0.1658811350301397	0	0	8.818266542404473	16.57715425001205	AURKB
Gene Expression Homo sapiens R-HSA-74160	1/1631	0.2252510529909223	0.23463651353221074	0	0	5.634049079754601	8.397773868725425	AURKB
Signal Transduction Homo sapiens R-HSA-162582	1/2465	0.32606431443103423	0.32606431443103423	0	0	3.557832792207792	3.987123150953817	AURKB
