Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
AURKA human kinase ARCHS4 coexpression	4/299	2.4194214693620843E-7	1.0215335092862135E-6	0	0	267.1186440677966	4069.4369338555875	TOP2A;CDK1;CDC6;AURKB
TTK human kinase ARCHS4 coexpression	4/299	2.4194214693620843E-7	1.0215335092862135E-6	0	0	267.1186440677966	4069.4369338555875	TOP2A;CDK1;CDC6;AURKB
BUB1 human kinase ARCHS4 coexpression	4/299	2.4194214693620843E-7	1.0215335092862135E-6	0	0	267.1186440677966	4069.4369338555875	TOP2A;CDK1;CDC6;AURKB
NEK2 human kinase ARCHS4 coexpression	4/299	2.4194214693620843E-7	1.0215335092862135E-6	0	0	267.1186440677966	4069.4369338555875	CHAF1B;CDK1;CDC6;AURKB
BUB1B human kinase ARCHS4 coexpression	4/299	2.4194214693620843E-7	1.0215335092862135E-6	0	0	267.1186440677966	4069.4369338555875	TOP2A;CDK1;CDC6;AURKB
WEE1 human kinase ARCHS4 coexpression	4/299	2.4194214693620843E-7	1.0215335092862135E-6	0	0	267.1186440677966	4069.4369338555875	TOP2A;CDK1;CDC6;AURKB
MELK human kinase ARCHS4 coexpression	4/299	2.4194214693620843E-7	1.0215335092862135E-6	0	0	267.1186440677966	4069.4369338555875	TOP2A;CDK1;CDC6;AURKB
PLK1 human kinase ARCHS4 coexpression	4/299	2.4194214693620843E-7	1.0215335092862135E-6	0	0	267.1186440677966	4069.4369338555875	TOP2A;CDK1;CDC6;AURKB
PLK4 human kinase ARCHS4 coexpression	4/299	2.4194214693620843E-7	1.0215335092862135E-6	0	0	267.1186440677966	4069.4369338555875	TOP2A;CDK1;CDC6;AURKB
PBK human kinase ARCHS4 coexpression	3/299	3.235217213126368E-5	7.231662005811881E-5	0	0	99.82601351351352	1032.0841228557276	TOP2A;CDC6;AURKB
CHEK1 human kinase ARCHS4 coexpression	3/299	3.235217213126368E-5	7.231662005811881E-5	0	0	99.82601351351352	1032.0841228557276	CHAF1B;CDC6;AURKB
CHEK2 human kinase ARCHS4 coexpression	3/299	3.235217213126368E-5	7.231662005811881E-5	0	0	99.82601351351352	1032.0841228557276	CHAF1B;CDC6;AURKB
VRK1 human kinase ARCHS4 coexpression	3/299	3.235217213126368E-5	7.231662005811881E-5	0	0	99.82601351351352	1032.0841228557276	CDK1;CDC6;AURKB
AURKB human kinase ARCHS4 coexpression	3/299	3.235217213126368E-5	7.231662005811881E-5	0	0	99.82601351351352	1032.0841228557276	TOP2A;CDK1;CDC6
CDK1 human kinase ARCHS4 coexpression	3/299	3.235217213126368E-5	7.231662005811881E-5	0	0	99.82601351351352	1032.0841228557276	TOP2A;CDC6;AURKB
CDC7 human kinase ARCHS4 coexpression	3/299	3.235217213126368E-5	7.231662005811881E-5	0	0	99.82601351351352	1032.0841228557276	CDK1;CDC6;AURKB
CSNK2A2 human kinase ARCHS4 coexpression	3/299	3.235217213126368E-5	7.231662005811881E-5	0	0	99.82601351351352	1032.0841228557276	CDK1;CDC6;AURKB
SRPK1 human kinase ARCHS4 coexpression	2/299	0.002162184810492964	0.0034234592832805264	0	0	44.215488215488215	271.3343603732352	CDC6;AURKB
NEK4 human kinase ARCHS4 coexpression	2/299	0.002162184810492964	0.0034234592832805264	0	0	44.215488215488215	271.3343603732352	CDK1;CDC6
MASTL human kinase ARCHS4 coexpression	2/299	0.002162184810492964	0.0034234592832805264	0	0	44.215488215488215	271.3343603732352	CDK1;AURKB
CSNK2A1 human kinase ARCHS4 coexpression	2/299	0.002162184810492964	0.0034234592832805264	0	0	44.215488215488215	271.3343603732352	CDC6;AURKB
GSG2 human kinase ARCHS4 coexpression	2/299	0.002162184810492964	0.0034234592832805264	0	0	44.215488215488215	271.3343603732352	CDC6;AURKB
TGFBR1 human kinase ARCHS4 coexpression	2/299	0.002162184810492964	0.0034234592832805264	0	0	44.215488215488215	271.3343603732352	TOP2A;CDK1
PKMYT1 human kinase ARCHS4 coexpression	2/299	0.002162184810492964	0.0034234592832805264	0	0	44.215488215488215	271.3343603732352	CDC6;AURKB
STK26 human kinase ARCHS4 coexpression	1/299	0.0725549020892867	0.0725549020892867	0	0	16.524328859060404	43.35011821721803	CDC6
YES1 human kinase ARCHS4 coexpression	1/299	0.0725549020892867	0.0725549020892867	0	0	16.524328859060404	43.35011821721803	CDC6
ERBB2 human kinase ARCHS4 coexpression	1/299	0.0725549020892867	0.0725549020892867	0	0	16.524328859060404	43.35011821721803	CDC6
MAPKAPK5 human kinase ARCHS4 coexpression	1/299	0.0725549020892867	0.0725549020892867	0	0	16.524328859060404	43.35011821721803	CHAF1B
NEK3 human kinase ARCHS4 coexpression	1/299	0.0725549020892867	0.0725549020892867	0	0	16.524328859060404	43.35011821721803	CHAF1B
CHUK human kinase ARCHS4 coexpression	1/299	0.0725549020892867	0.0725549020892867	0	0	16.524328859060404	43.35011821721803	CDC6
CDK2 human kinase ARCHS4 coexpression	1/299	0.0725549020892867	0.0725549020892867	0	0	16.524328859060404	43.35011821721803	CDC6
CDK4 human kinase ARCHS4 coexpression	1/299	0.0725549020892867	0.0725549020892867	0	0	16.524328859060404	43.35011821721803	CDC6
PRKCI human kinase ARCHS4 coexpression	1/299	0.0725549020892867	0.0725549020892867	0	0	16.524328859060404	43.35011821721803	CDC6
PIK3R4 human kinase ARCHS4 coexpression	1/299	0.0725549020892867	0.0725549020892867	0	0	16.524328859060404	43.35011821721803	CDC6
MAP3K7 human kinase ARCHS4 coexpression	1/299	0.0725549020892867	0.0725549020892867	0	0	16.524328859060404	43.35011821721803	CDK1
PRKDC human kinase ARCHS4 coexpression	1/299	0.0725549020892867	0.0725549020892867	0	0	16.524328859060404	43.35011821721803	CDC6
RIOK1 human kinase ARCHS4 coexpression	1/299	0.0725549020892867	0.0725549020892867	0	0	16.524328859060404	43.35011821721803	CDC6
EPHA1 human kinase ARCHS4 coexpression	1/299	0.0725549020892867	0.0725549020892867	0	0	16.524328859060404	43.35011821721803	CDC6
