Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
G0 and early G1 pathway	3/25	1.7221502471564355E-8	1.6532642372701782E-6	0	0	1361.7954545454545	24344.963175870806	TOP2A;CDK1;CDC6
Cell cycle	4/453	1.2755434625995312E-6	6.12260862047775E-5	0	0	174.1291759465479	2363.305244950927	TOP2A;CDK1;CDC6;AURKB
Mitotic G1-G1/S phases	3/135	2.9779780289933855E-6	9.529529692778833E-5	0	0	225.7159090909091	2872.069268043618	TOP2A;CDK1;CDC6
G1/S-specific transcription	2/17	6.789684747717526E-6	1.6295243394522064E-4	0	0	888.0	10567.294169184646	CDK1;CDC6
E2F-mediated regulation of DNA replication	2/33	2.6318160402538746E-5	5.053086797287439E-4	0	0	429.3333333333333	4527.427911847286	CDK1;CDC6
FOXM1 transcription factor network	2/41	4.084035796971542E-5	6.166660956146983E-4	0	0	341.12820512820514	3447.38699212753	CDK1;AURKB
G2/M checkpoints	2/43	4.496523613857176E-5	6.166660956146983E-4	0	0	324.4552845528455	3247.674396403277	CDK1;CDC6
E2F transcription factor network	2/74	1.340817157708724E-4	0.0016089805892504688	0	0	184.47222222222223	1644.9500813633047	CDK1;CDC6
APC/C-mediated degradation of cell cycle proteins	2/82	1.6472762985412622E-4	0.001757094718444013	0	0	165.95833333333334	1445.6990838624515	CDK1;AURKB
Cell cycle checkpoints	2/117	3.354207386174795E-4	0.0032200390907278034	0	0	115.2463768115942	921.9854062293039	CDK1;CDC6
DNA replication	2/207	0.0010443888124217202	0.008567817470639292	0	0	64.35772357723577	441.7722300562864	CDC6;AURKB
Chk1/Chk2(Cds1)-mediated inactivation of cyclin B-Cdk1 complex	1/5	0.0012494733811348967	0.008567817470639292	0	0	1249.4375	8352.531058286915	CDK1
ERK activation	1/5	0.0012494733811348967	0.008567817470639292	0	0	1249.4375	8352.531058286915	CDK1
Cyclin B2-mediated events	1/5	0.0012494733811348967	0.008567817470639292	0	0	1249.4375	8352.531058286915	CDK1
Phosphorylation of Emi1	1/6	0.0014992198216206949	0.009595006858372447	0	0	999.5	6499.5590198897235	CDK1
G2/M DNA damage checkpoint	1/9	0.00224816055240216	0.010549268576013775	0	0	624.59375	3808.549663430724	CDK1
Apoptotic DNA fragmentation and tissue homeostasis	1/10	0.0024977078641967437	0.010549268576013775	0	0	555.1666666666666	3326.7706415121643	TOP2A
Cdc25 and Chk1 regulatory pathway in response to DNA damage	1/10	0.0024977078641967437	0.010549268576013775	0	0	555.1666666666666	3326.7706415121643	CDK1
E2F-enabled inhibition of pre-replication complex formation	1/10	0.0024977078641967437	0.010549268576013775	0	0	555.1666666666666	3326.7706415121643	CDK1
Splicing regulation through Sam68	1/10	0.0024977078641967437	0.010549268576013775	0	0	555.1666666666666	3326.7706415121643	CDK1
Activation of Src by protein tyrosine phosphatase alpha	1/10	0.0024977078641967437	0.010549268576013775	0	0	555.1666666666666	3326.7706415121643	CDK1
Recruitment of NuMA to mitotic centrosomes	1/11	0.002747205358336921	0.010549268576013775	0	0	499.625	2946.3741195064317	CDK1
Sonic Hedgehog (SHH) receptor PTCH1 regulation of cell cycle	1/11	0.002747205358336921	0.010549268576013775	0	0	499.625	2946.3741195064317	CDK1
BTG family proteins and cell cycle regulation	1/11	0.002747205358336921	0.010549268576013775	0	0	499.625	2946.3741195064317	CHAF1B
CDC6 association with the ORC-origin complex	1/11	0.002747205358336921	0.010549268576013775	0	0	499.625	2946.3741195064317	CDC6
AKAP95 role in mitosis and chromosome dynamics	1/15	0.00374469708393798	0.011980641851285459	0	0	356.80357142857144	1993.609466758919	CDK1
Signaling to p38 via RIT and RIN	1/15	0.00374469708393798	0.011980641851285459	0	0	356.80357142857144	1993.609466758919	CDK1
Association of licensing factors with the pre-replicative complex	1/15	0.00374469708393798	0.011980641851285459	0	0	356.80357142857144	1993.609466758919	CDC6
Cyclin A/B1-associated events during G2/M transition	1/15	0.00374469708393798	0.011980641851285459	0	0	356.80357142857144	1993.609466758919	CDK1
Rb tumor suppressor/checkpoint signaling in response to DNA damage	1/16	0.003993945448655638	0.011980641851285459	0	0	333.0	1839.1509089009865	CDK1
Control of cell cycle and breast tumor growth by estrogen-responsive protein Efp	1/16	0.003993945448655638	0.011980641851285459	0	0	333.0	1839.1509089009865	CDK1
Protein kinase A (PKA) at the centrosome	1/16	0.003993945448655638	0.011980641851285459	0	0	333.0	1839.1509089009865	CDK1
SHC-related events	1/17	0.004243143988996933	0.011980641851285459	0	0	312.171875	1705.2235013634931	CDK1
SHC1 events in EGFR signaling	1/17	0.004243143988996933	0.011980641851285459	0	0	312.171875	1705.2235013634931	CDK1
CDK regulation of DNA replication	1/18	0.0044922927083929694	0.01230198904060429	0	0	293.79411764705884	1588.072397289777	CDC6
Cell cycle progression regulation by PLK3	1/19	0.00474139160939957	0.01230198904060429	0	0	277.4583333333333	1484.7973498875915	CDK1
FRS2-mediated activation	1/19	0.00474139160939957	0.01230198904060429	0	0	277.4583333333333	1484.7973498875915	CDK1
APC/C activator regulation between G1/S and early anaphase	1/21	0.005239439972471158	0.013236479930453451	0	0	249.6875	1311.2440590040192	CDK1
Progesterone-initiated oocyte maturation	1/23	0.005737289113328647	0.013769493871988753	0	0	226.9659090909091	1171.3185051583378	CDK1
Cyclins and cell cycle regulation	1/23	0.005737289113328647	0.013769493871988753	0	0	226.9659090909091	1171.3185051583378	CDK1
APC/C- and Cdc20-mediated degradation of Nek2A	1/25	0.0062349390704731535	0.014251289303938635	0	0	208.03125	1056.2966607689368	CDK1
SHC1 events in ERBB2 signaling	1/25	0.0062349390704731535	0.014251289303938635	0	0	208.03125	1056.2966607689368	CDK1
Cell cycle: G2/M checkpoint	1/27	0.006732389888591648	0.015030451844297634	0	0	192.0096153846154	960.2065018708713	CDK1
Cell cycle: G1/S checkpoint	1/28	0.006981040634233312	0.015231361383781769	0	0	184.88888888888889	917.8914803082985	CDK1
Retinoic acid receptor-mediated signaling	1/30	0.007478192828541258	0.015606663294346972	0	0	172.1206896551724	842.6622961465415	CDK1
Activation of the pre-replicative complex	1/30	0.007478192828541258	0.015606663294346972	0	0	172.1206896551724	842.6622961465415	CDC6
Stathmin and breast cancer resistance to antimicrotubule agents	1/31	0.007726694289035996	0.015782184079733096	0	0	166.375	809.0939625056958	CDK1
Integrated cancer pathway	1/35	0.008720202703732128	0.017440405407464256	0	0	146.77205882352942	696.0096581675563	CDK1
Signaling to ERKs	1/36	0.008968455482759895	0.0175708515580602	0	0	142.57142857142858	672.0876744444516	CDK1
Aurora B signaling	1/39	0.009712915544850792	0.01828313514324855	0	0	131.29605263157896	608.465136485093	AURKB
FRS2-mediated cascade	1/39	0.009712915544850792	0.01828313514324855	0	0	131.29605263157896	608.465136485093	CDK1
Polo-like kinase 1 (PLK1) pathway	1/46	0.011448249952996578	0.021135230682455222	0	0	110.83333333333333	495.41595635428416	CDK1
Delta Np63 pathway	1/47	0.011695956218302144	0.02118512824447181	0	0	108.41847826086956	482.3009144981259	TOP2A
Autodegradation of Cdh1 by Cdh1-APC/C	1/58	0.014417450339007641	0.025631022824902473	0	0	87.44736842105263	370.71702609175657	CDC6
Licensing factor removal from origins	1/61	0.015158634769837415	0.02645870796189803	0	0	83.0625	347.9641755392504	CDC6
G1 to S cell cycle control	1/67	0.016639666196472655	0.027807221720322448	0	0	75.48863636363636	309.1988806923386	CDK1
Activation of NF-kappaB in B cells	1/68	0.016886331477543003	0.027807221720322448	0	0	74.35820895522389	303.4744977483959	CDC6
NCAM signaling for neurite out-growth	1/70	0.017379513575201528	0.027807221720322448	0	0	72.19565217391305	292.57021981956115	CDK1
AP-1 transcription factor network	1/70	0.017379513575201528	0.027807221720322448	0	0	72.19565217391305	292.57021981956115	CDK1
MicroRNA regulation of DNA damage response	1/70	0.017379513575201528	0.027807221720322448	0	0	72.19565217391305	292.57021981956115	CDK1
RANKL regulation of apoptosis and immune response	1/74	0.01836528410293502	0.028902742194782984	0	0	68.22602739726027	272.71943060410257	CDK1
Signaling by SCF-KIT	1/78	0.01935026346677325	0.02986115769849067	0	0	64.66883116883118	255.1217234964787	CDK1
p73 transcription factor network	1/79	0.019596384739634504	0.02986115769849067	0	0	63.83653846153846	251.0314538182023	CDK1
Progesterone-mediated oocyte maturation	1/86	0.0213178505521487	0.031722550653155726	0	0	58.55882352941177	225.34667975778618	CDK1
Mitotic G2-G2/M phases	1/87	0.021563576738673543	0.031722550653155726	0	0	57.875	222.05188597816456	CDK1
DNA replication pre-Initiation	1/88	0.02180925357404456	0.031722550653155726	0	0	57.206896551724135	218.84045903047985	CDC6
Gap junction pathway	1/90	0.02230045921440739	0.03195289678482253	0	0	55.91573033707865	212.65579845592376	CDK1
Signaling by ERBB4	1/93	0.023036897706439092	0.032522679114972836	0	0	54.08423913043478	203.9331743799736	CDK1
M phase pathway	1/96	0.02377289241868387	0.03293914341607722	0	0	52.36842105263158	195.81648814874995	AURKB
Mitochondrial pathway of apoptosis: BH3-only Bcl-2 family	1/97	0.024018125407556302	0.03293914341607722	0	0	51.8203125	193.23517335892032	CDK1
