Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
ESPL1-CDC2 complex (human)	1/2	4.999362185987752E-4	0.001449531996963375	0	0	4998.5	37993.74860736107	CDK1
CyclinB1-Cdc2 complex (mouse)	1/2	4.999362185987752E-4	0.001449531996963375	0	0	4998.5	37993.74860736107	CDK1
CCNB2-CDC2 complex (human)	1/2	4.999362185987752E-4	0.001449531996963375	0	0	4998.5	37993.74860736107	CDK1
CCNB1-CDC2 complex (human)	1/2	4.999362185987752E-4	0.001449531996963375	0	0	4998.5	37993.74860736107	CDK1
CDC2-CCNA2 complex (human)	1/2	4.999362185987752E-4	0.001449531996963375	0	0	4998.5	37993.74860736107	CDK1
Chromatin assembly complex (CAF-1 complex) (human)	1/3	7.498314718703743E-4	0.001449531996963375	0	0	2499.125	17982.858997820545	CHAF1B
Chromosomal passenger complex CPC (INCENP, BIRC5, AURKB) (human)	1/3	7.498314718703743E-4	0.001449531996963375	0	0	2499.125	17982.858997820545	AURKB
MCM8-ORC2-CDC6 complex (human)	1/3	7.498314718703743E-4	0.001449531996963375	0	0	2499.125	17982.858997820545	CDC6
CRM1-Survivin-AuroraB mitotic complex (human)	1/3	7.498314718703743E-4	0.001449531996963375	0	0	2499.125	17982.858997820545	AURKB
RalBP1-CDC2-CCNB1 complex (human)	1/3	7.498314718703743E-4	0.001449531996963375	0	0	2499.125	17982.858997820545	CDK1
CDC2-CCNB1-CCNF complex (human)	1/3	7.498314718703743E-4	0.001449531996963375	0	0	2499.125	17982.858997820545	CDK1
CDC2-CCNB1-PTCH1 complex (human)	1/3	7.498314718703743E-4	0.001449531996963375	0	0	2499.125	17982.858997820545	CDK1
CDC2-CCNA2-CDK2 complex (human)	1/3	7.498314718703743E-4	0.001449531996963375	0	0	2499.125	17982.858997820545	CDK1
RasGAP-AURKA/AURKB-survivin complex (human)	1/4	9.996772392850861E-4	0.001449531996963375	0	0	1666.0	11508.858100931304	AURKB
BIRC5-AURKB-INCENP-EVI5 complex (human)	1/4	9.996772392850861E-4	0.001449531996963375	0	0	1666.0	11508.858100931304	AURKB
BRCA1-IRIS-pre-replication complex (human)	1/4	9.996772392850861E-4	0.001449531996963375	0	0	1666.0	11508.858100931304	CDC6
Chromosomal passenger complex CPC (INCENP, CDCA8, BIRC5, AURKB) (human)	1/4	9.996772392850861E-4	0.001449531996963375	0	0	1666.0	11508.858100931304	AURKB
CDC2-PCNA-CCNB1-GADD45A complex (human)	1/4	9.996772392850861E-4	0.001449531996963375	0	0	1666.0	11508.858100931304	CDK1
CDC2-PCNA-CCNB1-GADD45B complex (human)	1/4	9.996772392850861E-4	0.001449531996963375	0	0	1666.0	11508.858100931304	CDK1
CDC2-PCNA-CCNB1-GADD45G complex (human)	1/4	9.996772392850861E-4	0.001449531996963375	0	0	1666.0	11508.858100931304	CDK1
Cell cycle kinase complex CDC2 (human)	1/6	0.0014992198216206949	0.0019762443103181885	0	0	999.5	6499.5590198897235	CDK1
ASF1-interacting protein complex (human)	1/6	0.0014992198216206949	0.0019762443103181885	0	0	999.5	6499.5590198897235	CHAF1B
Toposome (human)	1/7	0.0017489165149326186	0.002113274122210247	0	0	832.875	5287.722499803602	TOP2A
ASF1-histone containing complex (human)	1/7	0.0017489165149326186	0.002113274122210247	0	0	832.875	5287.722499803602	CHAF1B
Histone H3.1 complex (human)	1/10	0.0024977078641967437	0.0028973411224682225	0	0	555.1666666666666	3326.7706415121643	CHAF1B
DNA synthesome complex (mouse)	1/13	0.003246050875089783	0.003486499088059397	0	0	416.3125	2385.6022367218384	TOP2A
RC complex during G2/M-phase of cell cycle (human)	1/13	0.003246050875089783	0.003486499088059397	0	0	416.3125	2385.6022367218384	CDK1
DNA synthesome complex (17 subunits) (human)	1/18	0.0044922927083929694	0.004652731733692719	0	0	293.79411764705884	1588.072397289777	TOP2A
CDC5L complex (human)	1/30	0.007478192828541258	0.007478192828541258	0	0	172.1206896551724	842.6622961465415	TOP2A
