Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Metaphase/Anaphase Phase Transition	2/8	1.3991087462114677E-6	3.54514206888363E-5	0	0	2221.0	29938.358472423224	CDK1;AURKB
Cell Cycle Overiew	3/107	1.4771425287015126E-6	3.54514206888363E-5	0	0	286.8894230769231	3851.6055647624516	CDK1;CDC6;AURKB
Chromosome Condensation	2/15	5.243069539504879E-6	6.518097357808825E-5	0	0	1024.7179487179487	12459.139177497858	CDK1;AURKB
Spindle Assembly	2/16	5.9914892032562716E-6	6.518097357808825E-5	0	0	951.4761904761905	11441.663476001768	CDK1;AURKB
Histone Phosphorylation	2/17	6.789684747717526E-6	6.518097357808825E-5	0	0	888.0	10567.294169184646	CDK1;AURKB
APC/C-FZR1 Complex	2/23	1.2623316154643204E-5	1.0098652923714563E-4	0	0	634.0952380952381	7152.572070560204	CDK1;AURKB
APC/C-CDC20 Complex	2/33	2.6318160402538746E-5	1.6776158131698185E-4	0	0	429.3333333333333	4527.427911847286	CDK1;AURKB
SCF/BTRC Complex	2/34	2.796026355283031E-5	1.6776158131698185E-4	0	0	415.8958333333333	4360.553946283013	CDK1;AURKB
GPR3 in Oocyte Meiotic Arrest	1/7	0.0017489165149326186	0.008882667143939179	0	0	832.875	5287.722499803602	CDK1
HPV E4 Contribution to Life Cycle of Virus and Cell	1/8	0.001998563431658992	0.008882667143939179	0	0	713.8571428571429	4436.855317641398	CDK1
Proteins Involved in Glioma	2/290	0.002035611220486062	0.008882667143939179	0	0	45.61805555555556	282.6932268321044	CDK1;AURKB
FOXM1 Signaling in Prostate Cancer	1/11	0.002747205358336921	0.010537707731175386	0	0	499.625	2946.3741195064317	CDK1
Microtubule Cytoskeleton	1/12	0.002996653029893649	0.010537707731175386	0	0	454.1818181818182	2638.914119276588	AURKB
SCF/FBXO7 Complex	1/14	0.0034953988931204698	0.010537707731175386	0	0	384.2692307692308	2173.5450385769154	CDK1
