Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Barasertib	1/5	0.0012494733811348967	0.046966240643986315	0	0	1249.4375	8352.531058286915	AURKB
Tozasertib	1/8	0.001998563431658992	0.046966240643986315	0	0	713.8571428571429	4436.855317641398	AURKB
Lapatinib	1/19	0.00474139160939957	0.06447985959666938	0	0	277.4583333333333	1484.7973498875915	AURKB
XMD11-50	1/47	0.011695956218302144	0.06447985959666938	0	0	108.41847826086956	482.3009144981259	AURKB
GSK429286A	1/48	0.011943612841183377	0.06447985959666938	0	0	106.1063829787234	469.7922320558719	AURKB
SCH772984	1/52	0.012933743059820464	0.06447985959666938	0	0	97.76470588235294	425.072693906196	AURKB
XMD-12	1/59	0.014664561368472842	0.06447985959666938	0	0	85.9353448275862	362.8466529663449	AURKB
XMD13-2	1/77	0.01910409277212023	0.06447985959666938	0	0	65.52302631578948	259.33048567400635	AURKB
Barasertib	1/85	0.021072075004587548	0.06447985959666938	0	0	59.25892857142857	228.72800210045258	AURKB
GW843682X	1/89	0.02205488106340276	0.06447985959666938	0	0	56.55397727272727	215.70938687184352	AURKB
Vemurafenib	1/89	0.02205488106340276	0.06447985959666938	0	0	56.55397727272727	215.70938687184352	AURKB
ZM-447439	1/91	0.022545988033330695	0.06447985959666938	0	0	55.291666666666664	209.67695566371845	AURKB
WZ4003	1/92	0.022791467529210928	0.06447985959666938	0	0	54.68131868131868	206.77024575968775	AURKB
MLN8054	1/96	0.02377289241868387	0.06447985959666938	0	0	52.36842105263158	195.81648814874995	AURKB
WZ4002	1/98	0.024263309113639643	0.06447985959666938	0	0	51.28350515463917	190.71258524794393	AURKB
ZG-10	1/100	0.024753528718293626	0.06447985959666938	0	0	50.24242424242424	185.83603697375267	AURKB
GW-5074	1/101	0.024998564628756072	0.06447985959666938	0	0	49.7375	183.4784976020638	AURKB
Sorafenib	1/106	0.02622300558108204	0.06447985959666938	0	0	47.357142857142854	172.43295370979877	AURKB
PLX-4720	1/106	0.02622300558108204	0.06447985959666938	0	0	47.357142857142854	172.43295370979877	AURKB
KIN001-111	1/121	0.02988895006178911	0.06447985959666938	0	0	41.40625	145.34696936891217	AURKB
RO-3306	1/122	0.030132953261913564	0.06447985959666938	0	0	41.06198347107438	143.80464698625332	AURKB
AG1478	1/123	0.030376907361236518	0.06447985959666938	0	0	40.72336065573771	142.29037805694	AURKB
JWE-035	1/128	0.03159594168817669	0.06447985959666938	0	0	39.110236220472444	135.11517317733276	AURKB
HG-5-113-01	1/157	0.03864218727302653	0.06447985959666938	0	0	31.79326923076923	103.4365611840871	AURKB
XMD16-144	1/160	0.03936876192627337	0.06447985959666938	0	0	31.18867924528302	100.88859761506068	AURKB
BI-D1870	1/164	0.04033684473355617	0.06447985959666938	0	0	30.41717791411043	97.65404449742661	AURKB
GSK1059615	1/165	0.040578743452340534	0.06447985959666938	0	0	30.23018292682927	96.87295099328173	AURKB
MRT67307	1/172	0.042270669050299865	0.06447985959666938	0	0	28.982456140350877	91.69069041958767	AURKB
Palbociclib	1/184	0.04516555932399569	0.06447985959666938	0	0	27.065573770491802	83.83346153729981	AURKB
BMS-536924	1/184	0.04516555932399569	0.06447985959666938	0	0	27.065573770491802	83.83346153729981	AURKB
KIN001-220	1/190	0.04661037711452347	0.06447985959666938	0	0	26.1984126984127	80.32255387898532	AURKB
Dabrafenib	1/195	0.047813055481733785	0.06447985959666938	0	0	25.516752577319586	77.58257749681158	AURKB
WH-4-023	1/198	0.0485340797362059	0.06447985959666938	0	0	25.124365482233504	76.0134927256932	AURKB
Crizotinib	1/200	0.04901451987041608	0.06447985959666938	0	0	24.86934673366834	74.99696447567176	AURKB
Baricitinib	1/203	0.04973481617713605	0.06447985959666938	0	0	24.496287128712872	73.51458406594195	AURKB
AZD4547	1/209	0.051174099476704094	0.06447985959666938	0	0	23.782451923076923	70.69385547952577	AURKB
HG-6-64-01	1/210	0.05141381038329779	0.06447985959666938	0	0	23.667464114832537	70.24144688058605	AURKB
HG-9-91-01	1/213	0.052132652439860344	0.06447985959666938	0	0	23.329009433962263	68.91304936340102	AURKB
CP466722	1/228	0.05572032903214463	0.06660939989042698	0	0	21.770925110132158	62.861591770453565	AURKB
R406	1/234	0.0571523543038795	0.06660939989042698	0	0	21.203862660944207	60.68619059136709	AURKB
NVP-TAE684	1/238	0.058106072244840566	0.06660939989042698	0	0	20.841772151898734	59.30495225973282	AURKB
AZD 5438	1/258	0.06286309274757028	0.07034679426513817	0	0	19.200389105058367	53.12356070087529	AURKB
HG-14-10-04	1/268	0.06523438464665215	0.07130269949750351	0	0	18.471910112359552	50.42403978521334	AURKB
BX-912	1/285	0.06925456304900494	0.0732608980424061	0	0	17.351232394366196	46.32720477922364	AURKB
THZ1	1/289	0.0701984742084176	0.0732608980424061	0	0	17.106770833333332	45.44291705918145	AURKB
OTSSP167	1/298	0.07231947451883926	0.0732608980424061	0	0	16.58080808080808	43.55217567950979	AURKB
AZD7762	1/302	0.0732608980424061	0.0732608980424061	0	0	16.357142857142858	42.75312659443924	AURKB
