Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CDK1	3/494	1.4433215559489122E-4	0.0013999540774332713	0	0	59.58452138492871	526.9293559189418	TOP2A;CHAF1B;CDK1
PLK1	2/77	1.4520749739458026E-4	0.0013999540774332713	0	0	177.06666666666666	1564.799543941313	TOP2A;CDC6
GSK3B	3/527	1.7485819782631044E-4	0.0013999540774332713	0	0	55.73759541984733	482.21576933150095	TOP2A;CHAF1B;CDC6
WEE2	1/1	2.499917995416556E-4	0.0013999540774332713	0	0	19995.0	165840.17843725558	CDK1
PKMYT1	1/1	2.499917995416556E-4	0.0013999540774332713	0	0	19995.0	165840.17843725558	CDK1
CHEK1	2/137	4.595524823877063E-4	0.0021445782511426295	0	0	98.07407407407408	753.7245041531471	CDK1;AURKB
WEE1	1/4	9.996772392850861E-4	0.0039987089571403445	0	0	1666.0	11508.858100931304	CDK1
CSNK2A2	2/229	0.0012759532799700437	0.004465836479895153	0	0	58.055800293685756	386.8874357325693	TOP2A;CDK1
CSNK2A1	2/286	0.0019805454237495747	0.006161696873887566	0	0	46.26995305164319	288.00190944777097	TOP2A;CDK1
STK4	1/10	0.0024977078641967437	0.0069928863666757985	0	0	555.1666666666666	3326.7706415121643	AURKB
EIF2AK2	1/11	0.002747205358336921	0.0069928863666757985	0	0	499.625	2946.3741195064317	CDK1
MAPK14	2/396	0.0037587997612581647	0.008770532776269052	0	0	33.165820642978005	185.18651966330418	CHAF1B;CDC6
ERBB2	1/17	0.004243143988996933	0.008850597670879198	0	0	312.171875	1705.2235013634931	CDK1
PLK3	1/18	0.0044922927083929694	0.008850597670879198	0	0	293.79411764705884	1588.072397289777	TOP2A
MAP3K8	1/19	0.00474139160939957	0.008850597670879198	0	0	277.4583333333333	1484.7973498875915	CDK1
CDK7	1/21	0.005239439972471158	0.009169019951824526	0	0	249.6875	1311.2440590040192	CDK1
PRKCG	1/37	0.009216658544821541	0.015180378779706067	0	0	138.60416666666666	649.6020692107373	TOP2A
AURKB	1/77	0.01910409277212023	0.029717477645520355	0	0	65.52302631578948	259.33048567400635	AURKB
LYN	1/82	0.020334452124159075	0.02984499077300818	0	0	61.46296296296296	239.42520346643704	CDK1
IGF1R	1/86	0.0213178505521487	0.02984499077300818	0	0	58.55882352941177	225.34667975778618	CDK1
PRKG1	1/106	0.02622300558108204	0.03496400744144272	0	0	47.357142857142854	172.43295370979877	AURKB
MAPK3	1/202	0.04949476591627397	0.06299333843889414	0	0	24.619402985074625	74.00317671683035	TOP2A
PRKCB	1/250	0.06096259652118944	0.07361717796229254	0	0	19.825301204819276	55.46117652652877	TOP2A
SRC	1/259	0.0631004382533936	0.07361717796229254	0	0	19.125	52.84290216303815	CDK1
MAPK1	1/326	0.07889340226138043	0.08647395090108559	0	0	15.13076923076923	38.42697422306126	TOP2A
RPS6KA3	1/332	0.08029724012243662	0.08647395090108559	0	0	14.851963746223564	37.45695002613068	CDK1
PRKCA	1/442	0.1057324371554781	0.10964845334642173	0	0	11.085034013605442	24.90633721663968	TOP2A
CDK2	1/553	0.1308252721232547	0.1308252721232547	0	0	8.80570652173913	17.909861743304347	CDC6
