Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
AURKA druginhibition 196 GSE57810	3/300	3.2676487994584795E-5	5.555002959079415E-4	0	0	99.48484848484848	1027.564550845814	TOP2A;CDC6;AURKB
SYK knockdown 190 GSE54065	3/300	3.2676487994584795E-5	5.555002959079415E-4	0	0	99.48484848484848	1027.564550845814	CDK1;CDC6;AURKB
RET knockout 270 GSE32093	2/300	0.002176476887111483	0.024666738053930142	0	0	44.064876957494405	270.11980276970104	CDC6;AURKB
IGF1R knockout 151 GSE32936	1/300	0.07279028186522928	0.07279028186522928	0	0	16.468227424749163	43.149601950408574	AURKB
BRD4 knockdown 223 GSE50865	1/300	0.07279028186522928	0.07279028186522928	0	0	16.468227424749163	43.149601950408574	AURKB
MAP2K1 knockdown 134 GSE31534	1/300	0.07279028186522928	0.07279028186522928	0	0	16.468227424749163	43.149601950408574	AURKB
ERBB3 knockdown 65 GSE19921	1/300	0.07279028186522928	0.07279028186522928	0	0	16.468227424749163	43.149601950408574	AURKB
HUNK knockout 240 GSE14226	1/300	0.07279028186522928	0.07279028186522928	0	0	16.468227424749163	43.149601950408574	TOP2A
FGFR2 activemutant 59 GSE17916	1/300	0.07279028186522928	0.07279028186522928	0	0	16.468227424749163	43.149601950408574	CDC6
PTK7 knockdown 185 GSE50138	1/300	0.07279028186522928	0.07279028186522928	0	0	16.468227424749163	43.149601950408574	CHAF1B
TGFBR2 knockout 292 GSE46150	1/300	0.07279028186522928	0.07279028186522928	0	0	16.468227424749163	43.149601950408574	CDK1
PDK1 knockout 265 GSE42187	1/300	0.07279028186522928	0.07279028186522928	0	0	16.468227424749163	43.149601950408574	CDC6
MAPK14 knockout 13 GDS2693	1/300	0.07279028186522928	0.07279028186522928	0	0	16.468227424749163	43.149601950408574	CDC6
RAF1 activemutant 219 GSE42964	1/300	0.07279028186522928	0.07279028186522928	0	0	16.468227424749163	43.149601950408574	TOP2A
IGF1R druginhibition 46 GSE14024	1/300	0.07279028186522928	0.07279028186522928	0	0	16.468227424749163	43.149601950408574	CDK1
HIPK2 knockout 171 GSE39253	1/300	0.07279028186522928	0.07279028186522928	0	0	16.468227424749163	43.149601950408574	CDC6
GSK3A knockdown 203 GDS4305	1/300	0.07279028186522928	0.07279028186522928	0	0	16.468227424749163	43.149601950408574	CDC6
EPHA4 knockout 227 GSE34430	1/300	0.07279028186522928	0.07279028186522928	0	0	16.468227424749163	43.149601950408574	AURKB
BRAF overexpression 180 GSE46801	1/300	0.07279028186522928	0.07279028186522928	0	0	16.468227424749163	43.149601950408574	CDK1
ERBB3 knockout 239 GSE32129	1/300	0.07279028186522928	0.07279028186522928	0	0	16.468227424749163	43.149601950408574	TOP2A
SYK druginhibition 153 GSE34176	1/300	0.07279028186522928	0.07279028186522928	0	0	16.468227424749163	43.149601950408574	CDC6
ULK1 knockout 198 GSE60778	1/300	0.07279028186522928	0.07279028186522928	0	0	16.468227424749163	43.149601950408574	CDC6
SYK druginhibition 154 GSE34176	1/300	0.07279028186522928	0.07279028186522928	0	0	16.468227424749163	43.149601950408574	CDK1
SYK druginhibition 281 GSE43510	1/300	0.07279028186522928	0.07279028186522928	0	0	16.468227424749163	43.149601950408574	CDC6
SYK druginhibition 282 GSE43510	1/300	0.07279028186522928	0.07279028186522928	0	0	16.468227424749163	43.149601950408574	CDC6
SYK druginhibition 284 GSE43510	1/300	0.07279028186522928	0.07279028186522928	0	0	16.468227424749163	43.149601950408574	CDC6
SYK druginhibition 290 GSE43510	1/300	0.07279028186522928	0.07279028186522928	0	0	16.468227424749163	43.149601950408574	CDK1
AURKB knockdown 92 GSE27869	1/300	0.07279028186522928	0.07279028186522928	0	0	16.468227424749163	43.149601950408574	AURKB
SYK druginhibition 288 GSE43510	1/300	0.07279028186522928	0.07279028186522928	0	0	16.468227424749163	43.149601950408574	CDC6
PRKACA knockout 266 GSE20984	1/300	0.07279028186522928	0.07279028186522928	0	0	16.468227424749163	43.149601950408574	CHAF1B
FGFR1 knockdown 94 GSE27869	1/300	0.07279028186522928	0.07279028186522928	0	0	16.468227424749163	43.149601950408574	AURKB
KSR1 knockout 126 GSE28228	1/300	0.07279028186522928	0.07279028186522928	0	0	16.468227424749163	43.149601950408574	AURKB
CDK8 knockdown 161 GSE38061	1/300	0.07279028186522928	0.07279028186522928	0	0	16.468227424749163	43.149601950408574	AURKB
CDK8 knockdown 63 GSE19199	1/300	0.07279028186522928	0.07279028186522928	0	0	16.468227424749163	43.149601950408574	CDK1
