Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
JAK1 druginhibition 165 GSE38335	3/300	3.2676487994584795E-5	4.2479434392960234E-4	0	0	99.48484848484848	1027.564550845814	TOP2A;CHAF1B;AURKB
JAK2 druginhibition 167 GSE38335	3/300	3.2676487994584795E-5	4.2479434392960234E-4	0	0	99.48484848484848	1027.564550845814	TOP2A;CHAF1B;AURKB
JAK2 activemutant 72 GSE21842	1/300	0.07279028186522928	0.07279028186522928	0	0	16.468227424749163	43.149601950408574	CHAF1B
MYLK knockdown 48 GSE14525	1/300	0.07279028186522928	0.07279028186522928	0	0	16.468227424749163	43.149601950408574	CHAF1B
TGFBR2 knockout 293 GSE46211	1/300	0.07279028186522928	0.07279028186522928	0	0	16.468227424749163	43.149601950408574	TOP2A
TRIM28 knockout 302 GSE32224	1/300	0.07279028186522928	0.07279028186522928	0	0	16.468227424749163	43.149601950408574	CHAF1B
GSK3A knockdown 201 GDS4305	1/300	0.07279028186522928	0.07279028186522928	0	0	16.468227424749163	43.149601950408574	TOP2A
ABL1 mutant 179 GSE45452	1/300	0.07279028186522928	0.07279028186522928	0	0	16.468227424749163	43.149601950408574	CDK1
RET druginhibition 184 GSE49414	1/300	0.07279028186522928	0.07279028186522928	0	0	16.468227424749163	43.149601950408574	AURKB
ATM knockdown 113 GSE27869	1/300	0.07279028186522928	0.07279028186522928	0	0	16.468227424749163	43.149601950408574	AURKB
CSF1R druginhibition 195 GSE57686	1/300	0.07279028186522928	0.07279028186522928	0	0	16.468227424749163	43.149601950408574	CHAF1B
EGFR drugactivation 30 GDS4361	1/300	0.07279028186522928	0.07279028186522928	0	0	16.468227424749163	43.149601950408574	TOP2A
GSK3B knockdown 158 GSE35351	1/300	0.07279028186522928	0.07279028186522928	0	0	16.468227424749163	43.149601950408574	CDK1
ALK druginhibition 187 GSE50803	1/300	0.07279028186522928	0.07279028186522928	0	0	16.468227424749163	43.149601950408574	CDC6
GSK3B knockdown 209 GSE35351	1/300	0.07279028186522928	0.07279028186522928	0	0	16.468227424749163	43.149601950408574	CDK1
SYK druginhibition 281 GSE43510	1/300	0.07279028186522928	0.07279028186522928	0	0	16.468227424749163	43.149601950408574	TOP2A
SYK druginhibition 283 GSE43510	1/300	0.07279028186522928	0.07279028186522928	0	0	16.468227424749163	43.149601950408574	CDK1
SYK druginhibition 287 GSE43510	1/300	0.07279028186522928	0.07279028186522928	0	0	16.468227424749163	43.149601950408574	CDK1
SYK druginhibition 288 GSE43510	1/300	0.07279028186522928	0.07279028186522928	0	0	16.468227424749163	43.149601950408574	TOP2A
SYK druginhibition 289 GSE43510	1/300	0.07279028186522928	0.07279028186522928	0	0	16.468227424749163	43.149601950408574	TOP2A
JAK1 druginhibition 166 GSE38335	1/300	0.07279028186522928	0.07279028186522928	0	0	16.468227424749163	43.149601950408574	TOP2A
PLK1 knockdown 98 GSE27869	1/300	0.07279028186522928	0.07279028186522928	0	0	16.468227424749163	43.149601950408574	AURKB
JAK2 druginhibition 168 GSE38335	1/300	0.07279028186522928	0.07279028186522928	0	0	16.468227424749163	43.149601950408574	TOP2A
CDK9 knockdown 71 GSE21751	1/300	0.07279028186522928	0.07279028186522928	0	0	16.468227424749163	43.149601950408574	CDC6
MAP2K1 druginhibition 172 GSE39984	1/300	0.07279028186522928	0.07279028186522928	0	0	16.468227424749163	43.149601950408574	TOP2A
MAPK1 knockdown 112 GSE27869	1/300	0.07279028186522928	0.07279028186522928	0	0	16.468227424749163	43.149601950408574	AURKB
