Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MAPK1 knockdown 96h A375	4/300	2.452017552830487E-7	2.91790088786828E-5	0	0	266.2027027027027	4051.9204454038904	CHAF1B;CDK1;CDC6;AURKB
FGFR1 knockdown 96h HT29	4/300	2.452017552830487E-7	2.91790088786828E-5	0	0	266.2027027027027	4051.9204454038904	TOP2A;CHAF1B;CDK1;CDC6
RXRA knockdown 96h A375	4/300	2.452017552830487E-7	2.91790088786828E-5	0	0	266.2027027027027	4051.9204454038904	TOP2A;CHAF1B;CDK1;AURKB
WEE1 knockdown 96h A375	4/300	2.452017552830487E-7	2.91790088786828E-5	0	0	266.2027027027027	4051.9204454038904	TOP2A;CHAF1B;CDK1;AURKB
SRC knockdown 96h HT29	4/300	2.452017552830487E-7	2.91790088786828E-5	0	0	266.2027027027027	4051.9204454038904	TOP2A;CHAF1B;CDK1;AURKB
STK3 knockdown 96h A549	4/300	2.452017552830487E-7	2.91790088786828E-5	0	0	266.2027027027027	4051.9204454038904	CHAF1B;CDK1;CDC6;AURKB
ABL1 knockdown 96h A375	3/300	3.2676487994584795E-5	5.555002959079415E-4	0	0	99.48484848484848	1027.564550845814	TOP2A;CDC6;AURKB
CSNK1A1 knockdown 96h A375	3/300	3.2676487994584795E-5	5.555002959079415E-4	0	0	99.48484848484848	1027.564550845814	CHAF1B;CDK1;AURKB
MAP2K2 knockdown 96h A375	3/300	3.2676487994584795E-5	5.555002959079415E-4	0	0	99.48484848484848	1027.564550845814	CHAF1B;CDK1;AURKB
AURKB knockdown 96h HT29	3/300	3.2676487994584795E-5	5.555002959079415E-4	0	0	99.48484848484848	1027.564550845814	CHAF1B;CDK1;AURKB
PKN2 knockdown 96h A375	3/300	3.2676487994584795E-5	5.555002959079415E-4	0	0	99.48484848484848	1027.564550845814	TOP2A;CDK1;AURKB
PRKACB knockdown 96h A375	3/300	3.2676487994584795E-5	5.555002959079415E-4	0	0	99.48484848484848	1027.564550845814	CHAF1B;CDK1;AURKB
PRKCA knockdown 96h A375	3/300	3.2676487994584795E-5	5.555002959079415E-4	0	0	99.48484848484848	1027.564550845814	CHAF1B;CDK1;AURKB
PRKDC knockdown 96h A375	3/300	3.2676487994584795E-5	5.555002959079415E-4	0	0	99.48484848484848	1027.564550845814	TOP2A;CDK1;AURKB
PTK2 knockdown 96h A375	3/300	3.2676487994584795E-5	5.555002959079415E-4	0	0	99.48484848484848	1027.564550845814	CHAF1B;CDK1;CDC6
ADCK3 knockdown 96h HCC515	3/300	3.2676487994584795E-5	5.555002959079415E-4	0	0	99.48484848484848	1027.564550845814	TOP2A;CDK1;CDC6
GPR56 knockdown 96h HT29	3/300	3.2676487994584795E-5	5.555002959079415E-4	0	0	99.48484848484848	1027.564550845814	CHAF1B;CDK1;CDC6
SRC knockdown 96h A375	3/300	3.2676487994584795E-5	5.555002959079415E-4	0	0	99.48484848484848	1027.564550845814	CHAF1B;CDK1;CDC6
TAOK3 knockdown 96h A375	3/300	3.2676487994584795E-5	5.555002959079415E-4	0	0	99.48484848484848	1027.564550845814	TOP2A;CDK1;AURKB
ABL2 knockdown 96h A549	3/300	3.2676487994584795E-5	5.555002959079415E-4	0	0	99.48484848484848	1027.564550845814	TOP2A;CDK1;AURKB
FZD5 knockdown 96h HCC515	3/300	3.2676487994584795E-5	5.555002959079415E-4	0	0	99.48484848484848	1027.564550845814	TOP2A;CHAF1B;CDC6
RAF1 knockdown 96h PC3	3/300	3.2676487994584795E-5	5.555002959079415E-4	0	0	99.48484848484848	1027.564550845814	CHAF1B;CDK1;CDC6
MST1R knockdown 96h HT29	3/300	3.2676487994584795E-5	5.555002959079415E-4	0	0	99.48484848484848	1027.564550845814	CHAF1B;CDK1;CDC6
NEK7 knockdown 96h HT29	3/300	3.2676487994584795E-5	5.555002959079415E-4	0	0	99.48484848484848	1027.564550845814	TOP2A;CHAF1B;CDK1
CD97 knockdown 96h A549	3/300	3.2676487994584795E-5	5.555002959079415E-4	0	0	99.48484848484848	1027.564550845814	TOP2A;CDK1;CDC6
DYRK3 knockdown 96h A549	3/300	3.2676487994584795E-5	5.555002959079415E-4	0	0	99.48484848484848	1027.564550845814	TOP2A;CDK1;CDC6
ERBB3 knockdown 96h A549	3/300	3.2676487994584795E-5	5.555002959079415E-4	0	0	99.48484848484848	1027.564550845814	TOP2A;CDK1;CDC6
RARA knockdown 96h HT29	3/300	3.2676487994584795E-5	5.555002959079415E-4	0	0	99.48484848484848	1027.564550845814	TOP2A;CHAF1B;CDC6
RET knockdown 96h HT29	3/300	3.2676487994584795E-5	5.555002959079415E-4	0	0	99.48484848484848	1027.564550845814	TOP2A;CDK1;CDC6
MST1R knockdown 96h HCC515	3/300	3.2676487994584795E-5	5.555002959079415E-4	0	0	99.48484848484848	1027.564550845814	CHAF1B;CDK1;CDC6
NR3C1 knockdown 96h HCC515	3/300	3.2676487994584795E-5	5.555002959079415E-4	0	0	99.48484848484848	1027.564550845814	TOP2A;CHAF1B;CDK1
WEE1 knockdown 96h HT29	3/300	3.2676487994584795E-5	5.555002959079415E-4	0	0	99.48484848484848	1027.564550845814	CHAF1B;CDK1;AURKB
MST1R knockdown 96h A549	3/300	3.2676487994584795E-5	5.555002959079415E-4	0	0	99.48484848484848	1027.564550845814	CHAF1B;CDK1;CDC6
TESK1 knockdown 96h HCC515	3/300	3.2676487994584795E-5	5.555002959079415E-4	0	0	99.48484848484848	1027.564550845814	TOP2A;CHAF1B;CDK1
PIK3R4 knockdown 96h A549	3/300	3.2676487994584795E-5	5.555002959079415E-4	0	0	99.48484848484848	1027.564550845814	TOP2A;CHAF1B;CDK1
RXRA knockdown 96h A549	3/300	3.2676487994584795E-5	5.555002959079415E-4	0	0	99.48484848484848	1027.564550845814	TOP2A;CHAF1B;CDK1
SLK knockdown 96h A549	3/300	3.2676487994584795E-5	5.555002959079415E-4	0	0	99.48484848484848	1027.564550845814	TOP2A;CHAF1B;CDK1
STK33 knockdown 96h A549	3/300	3.2676487994584795E-5	5.555002959079415E-4	0	0	99.48484848484848	1027.564550845814	TOP2A;CDK1;CDC6
TGFBR2 knockdown 96h A549	3/300	3.2676487994584795E-5	5.555002959079415E-4	0	0	99.48484848484848	1027.564550845814	TOP2A;CHAF1B;CDC6
TTK knockdown 96h A549	3/300	3.2676487994584795E-5	5.555002959079415E-4	0	0	99.48484848484848	1027.564550845814	TOP2A;CHAF1B;CDK1
VRK2 knockdown 96h A549	3/300	3.2676487994584795E-5	5.555002959079415E-4	0	0	99.48484848484848	1027.564550845814	TOP2A;CHAF1B;AURKB
WEE1 knockdown 96h A549	3/300	3.2676487994584795E-5	5.555002959079415E-4	0	0	99.48484848484848	1027.564550845814	CHAF1B;CDK1;AURKB
PTK2 knockdown 96h MCF7	2/300	0.002176476887111483	0.009141202925868229	0	0	44.064876957494405	270.11980276970104	CHAF1B;CDK1
ARAF knockdown 96h A375	2/300	0.002176476887111483	0.009141202925868229	0	0	44.064876957494405	270.11980276970104	TOP2A;CHAF1B
ATR knockdown 96h A375	2/300	0.002176476887111483	0.009141202925868229	0	0	44.064876957494405	270.11980276970104	CHAF1B;CDC6
CHEK1 knockdown 96h A375	2/300	0.002176476887111483	0.009141202925868229	0	0	44.064876957494405	270.11980276970104	CDC6;AURKB
GPR78 knockdown 96h HA1E	2/300	0.002176476887111483	0.009141202925868229	0	0	44.064876957494405	270.11980276970104	CDK1;CDC6
EIF2AK3 knockdown 96h A375	2/300	0.002176476887111483	0.009141202925868229	0	0	44.064876957494405	270.11980276970104	CHAF1B;CDC6
FGFR3 knockdown 96h A375	2/300	0.002176476887111483	0.009141202925868229	0	0	44.064876957494405	270.11980276970104	TOP2A;CDC6
LGR5 knockdown 96h HA1E	2/300	0.002176476887111483	0.009141202925868229	0	0	44.064876957494405	270.11980276970104	CHAF1B;CDC6
C9ORF96 knockdown 96h PC3	2/300	0.002176476887111483	0.009141202925868229	0	0	44.064876957494405	270.11980276970104	CHAF1B;CDK1
