Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
PXK knockdown 96h HA1E	2/300	0.002176476887111483	0.030159751149973407	0	0	44.064876957494405	270.11980276970104	CDC6;AURKB
GPR128 knockdown 96h HA1E	2/300	0.002176476887111483	0.030159751149973407	0	0	44.064876957494405	270.11980276970104	CDK1;AURKB
ADORA2B knockdown 96h HEPG2	2/300	0.002176476887111483	0.030159751149973407	0	0	44.064876957494405	270.11980276970104	CHAF1B;CDC6
PIM3 knockdown 96h HEPG2	2/300	0.002176476887111483	0.030159751149973407	0	0	44.064876957494405	270.11980276970104	CHAF1B;CDC6
CSNK1A1L knockdown 96h PC3	2/300	0.002176476887111483	0.030159751149973407	0	0	44.064876957494405	270.11980276970104	CHAF1B;CDC6
GPRC5A knockdown 96h A375	2/300	0.002176476887111483	0.030159751149973407	0	0	44.064876957494405	270.11980276970104	CDK1;AURKB
GPR150 knockdown 96h PC3	2/300	0.002176476887111483	0.030159751149973407	0	0	44.064876957494405	270.11980276970104	CHAF1B;CDK1
STRADB knockdown 96h HCC515	1/300	0.07279028186522928	0.07279028186522928	0	0	16.468227424749163	43.149601950408574	CDC6
MET knockdown 96h A375	1/300	0.07279028186522928	0.07279028186522928	0	0	16.468227424749163	43.149601950408574	AURKB
TAAR1 knockdown 96h HCC515	1/300	0.07279028186522928	0.07279028186522928	0	0	16.468227424749163	43.149601950408574	CHAF1B
PROKR1 knockdown 96h HA1E	1/300	0.07279028186522928	0.07279028186522928	0	0	16.468227424749163	43.149601950408574	CDC6
PROKR2 knockdown 96h HA1E	1/300	0.07279028186522928	0.07279028186522928	0	0	16.468227424749163	43.149601950408574	CDK1
GPR39 knockdown 96h HCC515	1/300	0.07279028186522928	0.07279028186522928	0	0	16.468227424749163	43.149601950408574	CHAF1B
AKT2 knockdown 96h A375	1/300	0.07279028186522928	0.07279028186522928	0	0	16.468227424749163	43.149601950408574	AURKB
PTGFR knockdown 96h HA1E	1/300	0.07279028186522928	0.07279028186522928	0	0	16.468227424749163	43.149601950408574	CDK1
ATM knockdown 96h A375	1/300	0.07279028186522928	0.07279028186522928	0	0	16.468227424749163	43.149601950408574	AURKB
