Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
G2-M Checkpoint	4/200	4.814120178011603E-8	4.814120178011603E-7	0	0	404.0612244897959	6808.079065245498	TOP2A;CDK1;CDC6;AURKB
E2F Targets	3/200	9.70634307108318E-6	4.8531715355415895E-5	0	0	150.746192893401	1740.0227480112783	TOP2A;CDK1;AURKB
Mitotic Spindle	2/199	9.658105071984863E-4	0.0024386704598635843	0	0	66.99830795262267	465.1386275445571	TOP2A;CDK1
Estrogen Response Late	2/200	9.754681839454337E-4	0.0024386704598635843	0	0	66.65656565656566	462.10284137848555	TOP2A;CDC6
Pperoxisome	1/104	0.025733376891533367	0.0432970264083246	0	0	48.28155339805825	176.70886404310096	TOP2A
PI3K/AKT/mTOR  Signaling	1/105	0.025978215844994757	0.0432970264083246	0	0	47.81490384615385	174.54816038097263	CDK1
Spermatogenesis	1/135	0.03330052977721721	0.047572185396024584	0	0	37.05410447761194	126.06480627555659	CDK1
Apoptosis	1/161	0.03961085583189059	0.04901451987041608	0	0	30.9921875	100.06299005053823	TOP2A
IL-2/STAT5 Signaling	1/199	0.048774324068948355	0.04901451987041608	0	0	24.99621212121212	75.50233978585439	CDC6
Glycolysis	1/200	0.04901451987041608	0.04901451987041608	0	0	24.86934673366834	74.99696447567176	CDK1
