Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
BL2593 (RPL7A)	3/251	1.9171190872881184E-5	0.027031379130762468	0	0	119.4375	1297.342293428876	TOP2A;CHAF1B;AURKB
BL9062 (CDC6)	2/68	1.1315119111665648E-4	0.05636812684702128	0	0	201.3030303030303	1829.1974888825955	TOP2A;CDC6
BL1075 (AURKB)	2/70	1.1993218478089633E-4	0.05636812684702128	0	0	195.36274509803923	1763.848974466872	TOP2A;AURKB
BL2460 (DDX17)	2/133	4.3318693263396074E-4	0.06818251998526846	0	0	101.08905852417303	782.8681616101092	TOP2A;CDC6
BL4773 (MTOR)	2/138	4.6626386256346224E-4	0.06818251998526846	0	0	97.34803921568627	746.733333870393	TOP2A;CDC6
BL1805 (MTA1)	2/168	6.898442667143013E-4	0.06818251998526846	0	0	79.63453815261045	579.6633617826236	TOP2A;CDC6
BL992 (INCENP)	2/170	7.062748926140779E-4	0.06818251998526846	0	0	78.67857142857143	570.8528494275001	TOP2A;AURKB
BL443 (EP300)	2/179	7.825622025090394E-4	0.06818251998526846	0	0	74.64406779661017	533.9243253220434	TOP2A;CHAF1B
BL4650 (KIF22)	2/201	9.851729216045707E-4	0.06818251998526846	0	0	66.31825795644892	459.10096514730185	TOP2A;CHAF1B
BL1476 (PNKP)	2/203	0.0010047235215473135	0.06818251998526846	0	0	65.65174129353234	453.1967851814795	TOP2A;CHAF1B
SRC3 Wu (NCOA3)	2/215	0.00112597250002909	0.06818251998526846	0	0	61.91549295774648	420.35097922971016	TOP2A;AURKB
BL1012 (ZHX1)	2/221	0.0011891280716658193	0.06818251998526846	0	0	60.20091324200913	405.4251544494841	TOP2A;CHAF1B
SC-28236 (BAP1)	2/225	0.0012321670941094337	0.06818251998526846	0	0	59.10911808669656	395.9708468563215	TOP2A;CHAF1B
BL1686 (BUB3)	2/236	0.0013543741765156734	0.06818251998526846	0	0	56.2991452991453	371.82296438502453	TOP2A;CDC6
BL990 (INCENP)	2/266	0.0017162309761919769	0.06818251998526846	0	0	49.82575757575758	317.27172391133195	TOP2A;CDC6
BL4588 (CHAF1B)	2/271	0.0017805851505916235	0.06818251998526846	0	0	48.88723667905824	309.4959648638709	TOP2A;CHAF1B
BL8230 (TOP3A)	2/291	0.0020494921051946173	0.06818251998526846	0	0	45.457900807381776	281.39182791331314	TOP2A;CDC6
BL1074 (AURKB)	2/302	0.002205197875012394	0.06818251998526846	0	0	43.766666666666666	267.71798799302945	TOP2A;AURKB
BL1073 (AURKB)	2/303	0.0022196267573037103	0.06818251998526846	0	0	43.61904761904762	266.5305362718773	TOP2A;AURKB
BL1544 (TTK)	2/311	0.0023366972527896616	0.06818251998526846	0	0	42.47249190938511	257.34154104210495	TOP2A;CDC6
SC-7300 (CREBBP)	1/10	0.0024977078641967437	0.06818251998526846	0	0	555.1666666666666	3326.7706415121643	TOP2A
BL2385 (ERCC4)	2/325	0.0025485668600191518	0.06818251998526846	0	0	40.60268317853457	242.48832273880265	TOP2A;CDC6
BL322 (MLH1)	2/330	0.0026263863954434467	0.06818251998526846	0	0	39.97357723577236	237.52884693604966	TOP2A;CDC6
BL8111 (RAD54L2)	2/337	0.002737231208673139	0.06818251998526846	0	0	39.124378109452735	230.86545810385067	TOP2A;CDC6
BL940 (POLR2B)	1/12	0.002996653029893649	0.06818251998526846	0	0	454.1818181818182	2638.914119276588	TOP2A
BL2986 (RBBP4)	2/388	0.0036111904568625823	0.06818251998526846	0	0	33.86701208981002	190.45851853785436	TOP2A;CHAF1B
BL8107 (AHDC1)	2/400	0.0038336668693710265	0.06818251998526846	0	0	32.82579564489112	182.64054492806378	TOP2A;CDC6
BL4520 (SMARCA1)	1/16	0.003993945448655638	0.06818251998526846	0	0	333.0	1839.1509089009865	TOP2A
SC-7230 (ATM)	1/17	0.004243143988996933	0.06818251998526846	0	0	312.171875	1705.2235013634931	TOP2A
BL3029 (HIST4H4)	1/17	0.004243143988996933	0.06818251998526846	0	0	312.171875	1705.2235013634931	TOP2A
BL6579 (SOX2)	1/18	0.0044922927083929694	0.06818251998526846	0	0	293.79411764705884	1588.072397289777	TOP2A
BL7304 (TRIM25)	1/18	0.0044922927083929694	0.06818251998526846	0	0	293.79411764705884	1588.072397289777	TOP2A
BL2291 (BTBD12)	2/435	0.004518816814942834	0.06818251998526846	0	0	30.11855273287144	162.62527866441246	TOP2A;CHAF1B
BL8104 (AHDC1)	2/435	0.004518816814942834	0.06818251998526846	0	0	30.11855273287144	162.62527866441246	TOP2A;CDC6
BL2790 (PTEN)	2/442	0.004662290129319394	0.06818251998526846	0	0	29.62878787878788	159.05469630944702	TOP2A;AURKB
SC-242 (ATF2)	1/19	0.00474139160939957	0.06818251998526846	0	0	277.4583333333333	1484.7973498875915	TOP2A
BL6193 (CASP8AP2)	1/19	0.00474139160939957	0.06818251998526846	0	0	277.4583333333333	1484.7973498875915	TOP2A
BL117 (ATR)	2/447	0.004766079429431506	0.06818251998526846	0	0	29.288389513108616	156.58250282600906	TOP2A;CHAF1B
BL5978 (ZFP106)	1/23	0.005737289113328647	0.06818251998526846	0	0	226.9659090909091	1171.3185051583378	TOP2A
BL3015 (DDX18)	1/24	0.0059861389875960165	0.06818251998526846	0	0	217.08695652173913	1111.1180475941821	TOP2A
BL8669 (MLLT6)	1/25	0.0062349390704731535	0.06818251998526846	0	0	208.03125	1056.2966607689368	TOP2A
BL3591 (HIST1H3A)	1/27	0.006732389888591648	0.06818251998526846	0	0	192.0096153846154	960.2065018708713	TOP2A
BL2856 (GNL3)	1/28	0.006981040634233312	0.06818251998526846	0	0	184.88888888888889	917.8914803082985	TOP2A
BL5752 (FKBP5)	1/28	0.006981040634233312	0.06818251998526846	0	0	184.88888888888889	917.8914803082985	TOP2A
BL8108 (RAD54L2)	2/546	0.007042961549078765	0.06818251998526846	0	0	23.837009803921568	118.12970170681746	TOP2A;CDC6
BL8037 (SKP2)	1/29	0.007229641611706164	0.06818251998526846	0	0	178.27678571428572	878.8271482248972	TOP2A
EPI-1006-1 (CASP8)	1/30	0.007478192828541258	0.06818251998526846	0	0	172.1206896551724	842.6622961465415	TOP2A
BL625 (PUM2)	1/30	0.007478192828541258	0.06818251998526846	0	0	172.1206896551724	842.6622961465415	TOP2A
BL5445 (GTF2IRD1)	1/30	0.007478192828541258	0.06818251998526846	0	0	172.1206896551724	842.6622961465415	TOP2A
BL7222 (GCN1L1)	1/30	0.007478192828541258	0.06818251998526846	0	0	172.1206896551724	842.6622961465415	TOP2A
BL896 (EIF4G1)	1/30	0.007478192828541258	0.06818251998526846	0	0	172.1206896551724	842.6622961465415	TOP2A
BL6854 (NCBP2)	1/31	0.007726694289035996	0.06818251998526846	0	0	166.375	809.0939625056958	TOP2A
BL2417 (UBAP2L)	1/31	0.007726694289035996	0.06818251998526846	0	0	166.375	809.0939625056958	TOP2A
BL2391 (CUL4A)	1/31	0.007726694289035996	0.06818251998526846	0	0	166.375	809.0939625056958	TOP2A
BL9197 (BRCC3)	1/31	0.007726694289035996	0.06818251998526846	0	0	166.375	809.0939625056958	TOP2A
BL4374 (PAPOLA)	1/31	0.007726694289035996	0.06818251998526846	0	0	166.375	809.0939625056958	TOP2A
BL4148 (USP36)	1/31	0.007726694289035996	0.06818251998526846	0	0	166.375	809.0939625056958	TOP2A
BL9124 (ELL2)	1/31	0.007726694289035996	0.06818251998526846	0	0	166.375	809.0939625056958	TOP2A
BL2606 (PPARGC1B)	1/31	0.007726694289035996	0.06818251998526846	0	0	166.375	809.0939625056958	TOP2A
BL8110 (RAD54L2)	2/574	0.007762464503872911	0.06818251998526846	0	0	22.63752913752914	109.98342578282237	TOP2A;CDC6
BL4907 (SUB1)	1/33	0.008223547969126478	0.06818251998526846	0	0	155.9609375	748.7300222782447	TOP2A
MTMR3 (MTMR3)	1/33	0.008223547969126478	0.06818251998526846	0	0	155.9609375	748.7300222782447	TOP2A
BL8125 (EPHA2)	1/33	0.008223547969126478	0.06818251998526846	0	0	155.9609375	748.7300222782447	TOP2A
BL1581 (E4F1)	1/33	0.008223547969126478	0.06818251998526846	0	0	155.9609375	748.7300222782447	TOP2A
BL444 (NRIP1)	1/33	0.008223547969126478	0.06818251998526846	0	0	155.9609375	748.7300222782447	TOP2A
BL2756 (CRABP2)	1/34	0.008471900201487836	0.06818251998526846	0	0	151.22727272727272	721.5053863184621	TOP2A
