Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
PIN1	3/145	3.6929343367927905E-6	2.531382871272426E-4	0	0	209.71478873239437	2623.3409993796135	TOP2A;CDK1;AURKB
CDK1	4/659	5.688500834320058E-6	2.531382871272426E-4	0	0	118.10687022900764	1426.38420913526	TOP2A;CHAF1B;CDK1;AURKB
RB1	3/209	1.1076248330456186E-5	3.2859536713686685E-4	0	0	144.09466019417476	1644.222024444296	TOP2A;CDK1;AURKB
MYC	3/498	1.4782879119760447E-4	0.0026945766269955234	0	0	59.09090909090909	521.1496591399643	TOP2A;CDK1;CDC6
TP53	3/502	1.5138070938177097E-4	0.0026945766269955234	0	0	58.605210420841686	515.4745900681371	TOP2A;CDK1;AURKB
HIST1H3A	2/122	3.64647899802241E-4	0.0046429565060423705	0	0	110.41666666666667	874.1221903877367	CHAF1B;AURKB
GSK3B	3/696	3.9816343137043215E-4	0.0046429565060423705	0	0	41.77922077922078	327.0748134196573	TOP2A;CHAF1B;CDC6
TOP1	2/136	4.5288908464819556E-4	0.0046429565060423705	0	0	98.81094527363184	760.8307720116071	TOP2A;CDK1
NPM1	2/144	5.075389505379983E-4	0.0046429565060423705	0	0	93.20657276995306	707.0591983548046	TOP2A;CDK1
PCNA	2/146	5.216805062968955E-4	0.0046429565060423705	0	0	91.90277777777777	694.643029909295	CDK1;CDC6
SUMO2	2/162	6.416935262749492E-4	0.004995894496776029	0	0	82.64583333333333	607.5625578156757	TOP2A;CHAF1B
PLK1	2/166	6.73603752374296E-4	0.004995894496776029	0	0	80.61382113821138	588.7121370238503	TOP2A;CDC6
PPP1CA	2/184	8.266025718921549E-4	0.005659048376800137	0	0	72.57509157509158	515.1515384827694	CDK1;AURKB
VIM	2/199	9.658105071984863E-4	0.006139795367190377	0	0	66.99830795262267	465.1386275445571	CDK1;AURKB
BRCA1	2/216	0.0011363814062815842	0.006742529677270733	0	0	61.62305295950156	417.79852314077834	TOP2A;CDK1
CSNK2A2	2/289	0.00202177609575616	0.01124612953264364	0	0	45.77932636469222	284.00481889169373	TOP2A;CDK1
PRKCB	2/338	0.0027532466451527294	0.014414055965799583	0	0	39.00595238095238	229.93909328527334	TOP2A;CDK1
UBC	2/540	0.006893071934654856	0.03338267247021151	0	0	24.110285006195788	120.002637313716	TOP2A;CDK1
MAPK14	2/552	0.007194368776089363	0.03338267247021151	0	0	23.56969696969697	116.30364850221287	CHAF1B;CDC6
CSNK2A1	2/564	0.0075017241506093275	0.03338267247021151	0	0	23.052194543297745	112.78568334817082	TOP2A;CDK1
ESR1	2/591	0.008215302053090148	0.03481723251071539	0	0	21.964912280701753	105.47016601976023	TOP2A;CDK1
CDK2	2/675	0.010627759266528829	0.042994117032775725	0	0	19.140168400198117	86.97839742701146	CHAF1B;CDC6
BCL2	1/121	0.02988895006178911	0.06624991860420158	0	0	41.40625	145.34696936891217	CDK1
PRKG1	1/121	0.02988895006178911	0.06624991860420158	0	0	41.40625	145.34696936891217	AURKB
