Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
G0 and Early G1 Homo sapiens R-HSA-1538133	3/25	1.7221502471564355E-8	1.601599729855485E-6	0	0	1361.7954545454545	24344.963175870806	TOP2A;CDK1;CDC6
Cell Cycle, Mitotic Homo sapiens R-HSA-69278	4/462	1.3798254729585425E-6	6.416188449257223E-5	0	0	170.6288209606987	2302.389130360355	TOP2A;CDK1;CDC6;AURKB
Mitotic G1-G1/S phases Homo sapiens R-HSA-453279	3/136	3.0449218011769685E-6	7.213495676185014E-5	0	0	224.00751879699249	2845.3514197798036	TOP2A;CDK1;CDC6
Cell Cycle Homo sapiens R-HSA-1640170	4/566	3.10257878545592E-6	7.213495676185014E-5	0	0	138.31316725978647	1754.264202868866	TOP2A;CDK1;CDC6;AURKB
G1/S-Specific Transcription Homo sapiens R-HSA-69205	2/17	6.789684747717526E-6	1.26288136307546E-4	0	0	888.0	10567.294169184646	CDK1;CDC6
E2F mediated regulation of DNA replication Homo sapiens R-HSA-113510	2/33	2.6318160402538746E-5	4.079314862393506E-4	0	0	429.3333333333333	4527.427911847286	CDK1;CDC6
SUMOylation of DNA replication proteins Homo sapiens R-HSA-4615885	2/44	4.710174260680587E-5	6.25780294633278E-4	0	0	316.7142857142857	3155.4879486634554	TOP2A;AURKB
APC/C-mediated degradation of cell cycle proteins Homo sapiens R-HSA-174143	2/85	1.7702535507589228E-4	0.001829262002450887	0	0	159.93574297188755	1381.7196834139886	CDK1;AURKB
Regulation of mitotic cell cycle Homo sapiens R-HSA-453276	2/85	1.7702535507589228E-4	0.001829262002450887	0	0	159.93574297188755	1381.7196834139886	CDK1;AURKB
SUMO E3 ligases SUMOylate target proteins Homo sapiens R-HSA-3108232	2/96	2.2586768599568456E-4	0.0019376038361440507	0	0	141.1418439716312	1184.964987580801	TOP2A;AURKB
Resolution of Sister Chromatid Cohesion Homo sapiens R-HSA-2500257	2/99	2.402094713818293E-4	0.0019376038361440507	0	0	136.75601374570448	1139.724511594925	CDK1;AURKB
SUMOylation Homo sapiens R-HSA-2990846	2/101	2.5001339821213557E-4	0.0019376038361440507	0	0	133.97979797979798	1111.227915048666	TOP2A;AURKB
Mitotic Prometaphase Homo sapiens R-HSA-68877	2/107	2.80589014069377E-4	0.002007290639111697	0	0	126.28571428571429	1032.8428108124656	CDK1;AURKB
G1/S Transition Homo sapiens R-HSA-69206	2/112	3.0740049563306946E-4	0.0020420175781339614	0	0	120.51515151515152	974.649309044046	CDK1;CDC6
G2/M Checkpoints Homo sapiens R-HSA-69481	2/150	5.505377030005599E-4	0.0032426281961837507	0	0	89.40090090090091	670.919352240136	CDK1;CDC6
Regulation of TP53 Activity Homo sapiens R-HSA-5633007	2/151	5.578715176230109E-4	0.0032426281961837507	0	0	88.79642058165548	665.2078959102289	CDK1;AURKB
Cell Cycle Checkpoints Homo sapiens R-HSA-69620	2/182	8.088444396722006E-4	0.004424854875853803	0	0	73.38888888888889	522.5218396347041	CDK1;CDC6
