Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
down 60min BMP4 vs ctrl hESC (Human) [19664995]	3/561	2.1045763808434016E-4	0.0032359761979982842	0	0	52.25	442.36031734849024	TOP2A;CHAF1B;CDC6
down 240min BMP4 vs ctrl hESC (Human) [19664995]	3/610	2.696646831665237E-4	0.0032359761979982842	0	0	47.911037891268535	393.7487815976017	TOP2A;CHAF1B;CDC6
up M-phase HeLa (Human) [18669648]	4/2252	7.297194775796708E-4	0.005837755820637366	0	0	31.57829181494662	228.08527687629078	TOP2A;CHAF1B;CDC6;AURKB
up metaphase anaphase telophase 60min noscapine release vs ctrl HeLa (Human) [19691289]	2/229	0.0012759532799700437	0.00728541268371995	0	0	58.055800293685756	386.8874357325693	TOP2A;AURKB
up 10min PPase inhibitors vs ctrl Hepa1-6 (Mouse) [18846507]	3/1098	0.001517794309108323	0.00728541268371995	0	0	25.89041095890411	168.0416375167673	TOP2A;CHAF1B;CDK1
up metaphase anaphase telophase 15min noscapine release vs ctrl HeLa (Human) [19691289]	2/359	0.0030999607740455183	0.012399843096182073	0	0	36.67226890756302	211.83244070001118	TOP2A;AURKB
down metaphase anaphase telophase 15min noscapine release vs ctrl HeLa (Human) [19691289]	2/429	0.0043975438424966335	0.014549683622496517	0	0	30.551131928181107	165.79210600233102	TOP2A;AURKB
down 50nM dasatinib vs ctrl K562 (Human) [19651622]	2/451	0.004849894540832172	0.014549683622496517	0	0	29.021529324424648	154.64987666218752	TOP2A;CHAF1B
down 30min BMP4 vs ctrl hESC (Human) [19664995]	2/488	0.0056580445971912904	0.015088118925843441	0	0	26.761316872427983	138.4811688752355	TOP2A;CHAF1B
down metaphase anaphase telophase 60min noscapine release vs ctrl HeLa (Human) [19691289]	2/517	0.006332607813338776	0.015198258752013062	0	0	25.216828478964402	127.6486738877085	TOP2A;AURKB
down Rapamycin vs Ctrl Exp1 MEFs (Mouse) [21659605]	2/637	0.009500622991301878	0.020728631981022278	0	0	20.325459317585302	94.64342617428247	TOP2A;AURKB
up Rapamycin vs Ctrl Exp2 MEFs (Mouse) [21659605]	2/844	0.01633684518918095	0.0326736903783619	0	0	15.164687252573238	62.39256229557446	TOP2A;CHAF1B
down G1-phase HeLa (Human) [18669648]	2/1439	0.04469214268426151	0.08250857110940588	0	0	8.609603340292276	26.75828189070125	TOP2A;CHAF1B
up G1-phase HeLa (Human) [18669648]	2/1554	0.051505070056579845	0.08829440581127973	0	0	7.922250859106529	23.497990442372043	TOP2A;CHAF1B
down 5nM dasatinib vs ctrl K562 (Human) [19651622]	1/352	0.08496434296780435	0.13594294874848697	0	0	13.991452991452991	34.4962576186846	CHAF1B
up 1min EGF vs ctrl HeLa (Human) [17081983]	1/787	0.18187955314599152	0.2577265811149592	0	0	6.109732824427481	10.413493431218559	CHAF1B
up Rapamycin vs Ctrl Exp1 MEFs (Mouse) [21659605]	1/837	0.19247077573719518	0.2577265811149592	0	0	5.729366028708134	9.440912085146033	TOP2A
up 0min EGF vs ctrl HeLa (Human) [17081983]	1/876	0.20065554132146654	0.2577265811149592	0	0	5.462857142857143	8.774253033730721	CHAF1B
up 20min EGF vs ctrl HeLa (Human) [17081983]	1/948	0.21559146687380465	0.2577265811149592	0	0	5.028511087645195	7.715596654288374	CHAF1B
down 10min PPase inhibitors vs ctrl Hepa1-6 (Mouse) [18846507]	1/958	0.21764811908552847	0.2577265811149592	0	0	4.9733542319749215	7.583746781803834	TOP2A
down M-phase HeLa (Human) [18669648]	1/1001	0.22644262598760723	0.2577265811149592	0	0	4.74875	7.053145867370738	CHAF1B
down 10min EGF vs ctrl HeLa (Human) [17081983]	1/1102	0.2467886904846365	0.2577265811149592	0	0	4.290190735694823	6.002932747864151	CHAF1B
down 20min EGF vs ctrl HeLa (Human) [17081983]	1/1103	0.24698797356850258	0.2577265811149592	0	0	4.286070780399274	5.993708385793417	CHAF1B
down 1min EGF vs ctrl HeLa (Human) [17081983]	1/1209	0.2678740874500671	0.2678740874500671	0	0	3.8880380794701987	5.121472405050826	CHAF1B
