Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
U251 Nuclear N2 30609389	1/172	0.042270669050299865	0.2236078931617133	0	0	28.982456140350877	91.69069041958767	CHAF1B
MCF7 Nuclear N2 30609389	1/207	0.050694532278435595	0.2236078931617133	0	0	24.015776699029125	71.61353837740344	CHAF1B
MCF7 Nuclear N3 30609389	1/236	0.057629309791798006	0.2236078931617133	0	0	21.02127659574468	59.98892132482973	TOP2A
HCC827 Nuclear N3 30609389	1/246	0.06001119288942942	0.2236078931617133	0	0	20.153061224489797	56.69507925869006	TOP2A
HCC827 Nuclear N2 30609389	1/262	0.06381218627175123	0.2236078931617133	0	0	18.902298850574713	52.01555578263835	AURKB
U251 Nuclear N3 30609389	1/291	0.07067014253134274	0.2236078931617133	0	0	16.987068965517242	45.011182048949685	TOP2A
H322 Nuclear N2 30609389	1/320	0.07748785069041207	0.2236078931617133	0	0	15.420062695924765	39.43887848667108	CHAF1B
A431 Nuclear N2 30609389	1/331	0.0800633860831911	0.2236078931617133	0	0	14.897727272727273	37.615817324349365	CHAF1B
A431 Nuclear N3 30609389	1/349	0.08426548802987102	0.2236078931617133	0	0	14.114224137931034	34.91552621279723	TOP2A
H322 Nuclear Unclassified 30609389	1/399	0.0958574827080112	0.2236078931617133	0	0	12.30967336683417	28.864863779616243	AURKB
MCF7 Nuclear Unclassified 30609389	1/429	0.1027561313807611	0.2236078931617133	0	0	11.429322429906541	26.006243164065552	AURKB
HCC827 Nuclear Unclassified 30609389	1/449	0.10733178871762238	0.2236078931617133	0	0	10.907924107142858	24.34463676544263	CHAF1B
A431 Nuclear Unclassified 30609389	1/500	0.11891526936765551	0.22868321032241445	0	0	9.76753507014028	20.798442798066006	AURKB
H322 Secretory S1 30609389	1/562	0.13283486945760276	0.23658199055158802	0	0	8.66042780748663	17.482359647877576	CDC6
H322 Unclassified Unclassified 30609389	1/635	0.14899797717632188	0.23658199055158802	0	0	7.634463722397476	14.534664185189866	TOP2A
U251 Nuclear Unclassified 30609389	1/646	0.15141247395301632	0.23658199055158802	0	0	7.5	14.158106629994037	AURKB
U251 Unclassified Unclassified 30609389	1/942	0.21435540098655073	0.31522853086257463	0	0	5.062167906482466	7.796345475298248	CDC6
A431 Secretory Unclassified 30609389	1/1119	0.25017077074965555	0.347459403818966	0	0	4.221153846153846	5.848879360267723	CDC6
HCC827 Secretory Unclassified 30609389	1/1326	0.29038684693361744	0.38208795649160193	0	0	3.5226415094339623	4.355891676232174	CDC6
MCF7 Secretory Unclassified 30609389	1/1808	0.3773685777981726	0.47171072224771576	0	0	2.5163254012174874	2.4522419137177875	CDC6
HCC827 Cytosol Unclassified 30609389	1/2501	0.4872736586221365	0.527273192713966	0	0	1.7495	1.2577669614474694	CDK1
H322 Cytosol Unclassified 30609389	1/2508	0.4882984650110739	0.527273192713966	0	0	1.7439170323095332	1.250089345738312	CDK1
A431 Cytosol Unclassified 30609389	1/2549	0.49426804641564914	0.527273192713966	0	0	1.7118328100470959	1.2062897309725702	CDK1
U251 Cytosol Unclassified 30609389	1/2632	0.5061822650054073	0.527273192713966	0	0	1.6499429874572407	1.1233776531324107	CDK1
MCF7 Cytosol Unclassified 30609389	1/2871	0.5392405567111602	0.5392405567111602	0	0	1.4917247386759582	0.9212795109881133	CDK1
