Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Molluscum contagiosum virus subtype 1 MC017L (gene: MC017L)	2/260	0.0016405275906497545	0.053539904910471454	0	0	51.0	327.04960675052496	CDK1;AURKB
Human gammaherpesvirus 8 ORF72	2/337	0.002737231208673139	0.053539904910471454	0	0	39.124378109452735	230.86545810385067	CDK1;CDC6
Cowpox virus CPXV196 protein (gene: CPXV196 CDS)	2/356	0.0030492182074554897	0.053539904910471454	0	0	36.98870056497175	214.27073556711707	CDK1;AURKB
Horsepox virus HSPV050 (Ser/Thr kinase; Provisional)	2/414	0.00410126422260206	0.053539904910471454	0	0	31.687702265372167	174.1701881781059	CDK1;AURKB
Vaccinia virus Ankara Serine/threonine-protein kinase 2	2/414	0.00410126422260206	0.053539904910471454	0	0	31.687702265372167	174.1701881781059	CDK1;AURKB
Human alphaherpesvirus 2 tegument serine/threonine protein kinase (gene: UL13)	2/417	0.004159729734785185	0.053539904910471454	0	0	31.453815261044177	172.43941416084704	CDK1;AURKB
Human alphaherpesvirus 1 tegument serine/threonine protein kinase (gene: UL13)	2/424	0.004297686995403974	0.053539904910471454	0	0	30.921011058451818	168.50956325922175	CDK1;AURKB
Vaccinia virus Ser/Thr kinase (gene: F10L)	2/439	0.004600539669938737	0.053539904910471454	0	0	29.83676582761251	160.5689918556321	CDK1;AURKB
Monkeypox virus virokine protein	1/20	0.00499044069595166	0.053539904910471454	0	0	262.8421052631579	1393.123889480945	TOP2A
Monkeypox virus Zaire-96-I-16 putative virulence factor (gene: P1L)	1/20	0.00499044069595166	0.053539904910471454	0	0	262.8421052631579	1393.123889480945	TOP2A
Ectromelia virus ERPV virokine/NFKb inhibitor	1/20	0.00499044069595166	0.053539904910471454	0	0	262.8421052631579	1393.123889480945	TOP2A
Variola virus putative virulence factor (gene: P1L)	1/21	0.005239439972471158	0.053539904910471454	0	0	249.6875	1311.2440590040192	TOP2A
Cowpox virus CPXV037 protein (gene: CPXV037 CDS)	1/21	0.005239439972471158	0.053539904910471454	0	0	249.6875	1311.2440590040192	TOP2A
Human betaherpesvirus 6B Phosphotransferase (gene: U69)	2/489	0.0056807059071523475	0.053539904910471454	0	0	26.704996577686515	138.0829856834809	CDK1;AURKB
