Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
ATM Signaling Network in Development and Disease  WP3878	2/45	4.928760745700244E-5	4.894667502492397E-4	0	0	309.3333333333333	3067.91785043298	CDK1;AURKB
Regulation of Microtubule Cytoskeleton WP2038	2/46	5.152281581570945E-5	4.894667502492397E-4	0	0	302.2878787878788	2984.6350856326303	CDK1;AURKB
Retinoblastoma gene in cancer WP2446	2/87	1.854676106804791E-4	0.0011746282009763675	0	0	156.15686274509804	1341.7981898546207	TOP2A;CDK1
Cell cycle WP179	2/120	3.528123230355634E-4	0.0016758585344189261	0	0	112.29943502824858	892.7327031893252	CDK1;CDC6
PPAR-alpha pathway WP2878	1/26	0.006483689369798885	0.0208101080917796	0	0	199.7	1006.1815770136444	CDK1
Gastric Cancer Network 1 WP2361	1/29	0.007229641611706164	0.0208101080917796	0	0	178.27678571428572	878.8271482248972	TOP2A
Gastric Cancer Network 2 WP2363	1/31	0.007726694289035996	0.0208101080917796	0	0	166.375	809.0939625056958	TOP2A
ATM Signaling Pathway WP2516	1/40	0.009960969495176103	0.0208101080917796	0	0	127.92307692307692	589.6078070933972	CDK1
DNA Replication WP466	1/42	0.01045692833454581	0.0208101080917796	0	0	121.67073170731707	554.8782187239776	CDC6
Integrated Cancer Pathway WP1971	1/44	0.010952688469357683	0.0208101080917796	0	0	116.0	523.6437583425852	CDK1
Prader-Willi and Angelman Syndrome WP3998	1/61	0.015158634769837415	0.023921041264985878	0	0	83.0625	347.9641755392504	CDC6
G1 to S cell cycle control WP45	1/64	0.015899373323518626	0.023921041264985878	0	0	79.0952380952381	327.57099739379095	CDK1
DNA damage response WP707	1/68	0.016886331477543003	0.023921041264985878	0	0	74.35820895522389	303.4744977483959	CDK1
miRNA regulation of DNA damage response WP1530	1/71	0.017626030405779067	0.023921041264985878	0	0	71.16071428571429	287.37389642812474	CDK1
DNA IR-damage and cellular response via ATR WP4016	1/80	0.01984245660574517	0.025133778367277215	0	0	63.0253164556962	247.054914696706	CDK1
Spinal Cord Injury WP2431	1/118	0.029156645820732532	0.03462351691211988	0	0	42.47435897435897	150.14993433803429	CDK1
TGF-beta Signaling Pathway WP366	1/132	0.03257028617210754	0.03640208454529666	0	0	37.908396946564885	129.81180382529053	CDK1
Circadian rhythm related genes WP3594	1/201	0.04925466715339655	0.051991037550807466	0	0	24.74375	74.49727380042336	TOP2A
Nuclear Receptors Meta-Pathway WP2882	1/319	0.0772534253718486	0.0772534253718486	0	0	15.46933962264151	39.611781428237286	CDK1
