Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MAP kinase pathway regulation through dual specificity phosphatases	2/9	6.451389896168581E-4	0.11525381821065582	0	0	67.71088435374149	497.4071883260797	DUSP2;DUSP6
Alpha-M beta-2 integrin signaling	3/41	7.271534271965667E-4	0.11525381821065582	0	0	18.90551680405834	136.6183173401744	YES1;PLAU;CTGF
FGF signaling pathway	3/61	0.0023077831819962864	0.18037317202629163	0	0	12.373909430826755	75.12779361835821	PLAU;PTK2B;DUSP6
Cell adhesion molecules (CAMs)	4/133	0.002604939215151845	0.18037317202629163	0	0	7.481565513329552	44.51790296185119	HLA-DMB;CLDN8;CLDN23;NRXN3
Telomeres, telomerase, cellular aging, and immortality	2/19	0.0029800022502311685	0.18037317202629163	0	0	27.866946778711483	162.06945917517382	TEP1;MYC
AP-1 transcription factor network	3/70	0.003414003256018138	0.18037317202629163	0	0	10.706887250494516	60.813724484876275	PLAU;MYC;NFATC3
Tight junction interactions	2/30	0.007352053041878027	0.2441789980780126	0	0	16.90986394557823	83.07436833271562	CLDN8;CLDN23
Alpha-V beta-3 integrin/OPN pathway	2/31	0.007837281084236711	0.2441789980780126	0	0	16.325944170771756	79.16227161319938	PLAU;PTK2B
Alpha-synuclein signaling	2/32	0.008336574343939954	0.2441789980780126	0	0	15.780952380952382	75.54504286216243	YES1;PTK2B
Interleukin-7 signaling pathway	2/35	0.009917579220528824	0.2441789980780126	0	0	14.344155844155845	66.17599439349425	MYC;PTK2B
Interleukin-2 signaling pathway	9/847	0.010504484427924319	0.2441789980780126	0	0	2.660694913678207	12.122001039566456	YES1;PLAU;MYC;TIMP2;NRXN3;NFATC3;NRL;PTK2B;DUSP6
FRA pathway	2/37	0.011039601287524271	0.2441789980780126	0	0	13.52312925170068	60.938822348351906	PLAU;NFATC3
FOXM1 transcription factor network	2/41	0.01344245462757058	0.2441789980780126	0	0	12.133699633699633	52.28820471678212	MYC;NFATC3
Leukocyte transendothelial migration	3/117	0.014045104230061459	0.2441789980780126	0	0	6.2777425491439445	26.777594060429596	CLDN8;CLDN23;PTK2B
