Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MUC20	2/21	0.0036393011944989987	0.19844696374143275	0	0	24.93107769423559	140.0120247223521	RBM15;PPM1F
DUSP22	2/38	0.011620646525927768	0.19844696374143275	0	0	13.146825396825397	58.56873758614498	GNA14;YES1
B3GNT1	2/42	0.014075545888969407	0.19844696374143275	0	0	11.829761904761904	50.434017006992256	SUSD1;GPRC5C
PMEL	2/49	0.018856539279652515	0.19844696374143275	0	0	10.064336372847011	39.96442815292184	SLC26A2;RBM15
CAMKV	2/53	0.021852861604271988	0.19844696374143275	0	0	9.27310924369748	35.45502287445614	EAF1;NRXN3
SLC22A9	2/65	0.031913456894228094	0.19844696374143275	0	0	7.5022675736961455	25.843267512966868	ARV1;SLC26A2
LYPD4	2/67	0.033737540369749436	0.19844696374143275	0	0	7.270695970695971	24.64143638145943	EDEM2;ME1
CLEC2D	2/73	0.0394459256583925	0.19844696374143275	0	0	6.654258886653253	21.51205126222182	ARV1;SUSD1
PINX1	1/10	0.0421865092184754	0.19844696374143275	0	0	26.019607843137255	82.36909635390154	EAF1
TAF1A	1/10	0.0421865092184754	0.19844696374143275	0	0	26.019607843137255	82.36909635390154	EAF1
NLGN2	1/10	0.0421865092184754	0.19844696374143275	0	0	26.019607843137255	82.36909635390154	TTC5
ZBTB9	1/10	0.0421865092184754	0.19844696374143275	0	0	26.019607843137255	82.36909635390154	TTC5
MAB21L1	1/10	0.0421865092184754	0.19844696374143275	0	0	26.019607843137255	82.36909635390154	PBX1
HSPB9	1/10	0.0421865092184754	0.19844696374143275	0	0	26.019607843137255	82.36909635390154	FBXW5
NFKBIL1	1/10	0.0421865092184754	0.19844696374143275	0	0	26.019607843137255	82.36909635390154	EAF1
SLC25A11	1/10	0.0421865092184754	0.19844696374143275	0	0	26.019607843137255	82.36909635390154	YES1
CCR1	1/10	0.0421865092184754	0.19844696374143275	0	0	26.019607843137255	82.36909635390154	YES1
NFKB2	1/10	0.0421865092184754	0.19844696374143275	0	0	26.019607843137255	82.36909635390154	NFKBID
