Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GNA14-p115RhoGEF complex (human)	1/2	0.008581630520246299	0.018773652442855726	0	0	234.27058823529413	1114.690229377954	GNA14
BKCA-beta2AR complex (human)	1/2	0.008581630520246299	0.018773652442855726	0	0	234.27058823529413	1114.690229377954	KCNMA1
MYC-MAX complex (human)	1/2	0.008581630520246299	0.018773652442855726	0	0	234.27058823529413	1114.690229377954	MYC
AGPS-GNPAT complex (human)	1/2	0.008581630520246299	0.018773652442855726	0	0	234.27058823529413	1114.690229377954	AGPS
MKP3-CK2alpha complex (mouse)	1/2	0.008581630520246299	0.018773652442855726	0	0	234.27058823529413	1114.690229377954	DUSP6
HIF1A-OS9-EGLN3 complex (human)	1/3	0.012845130618796025	0.018773652442855726	0	0	117.12941176470588	510.0740472374152	EGLN3
BKCA-beta2AR-AKAP79 signaling complex (human)	1/3	0.012845130618796025	0.018773652442855726	0	0	117.12941176470588	510.0740472374152	KCNMA1
Serine-palmitoyltransferase (SPT) complex (human)	1/3	0.012845130618796025	0.018773652442855726	0	0	117.12941176470588	510.0740472374152	SPTLC2
c-Myc-Max-Arf complex (mouse)	1/3	0.012845130618796025	0.018773652442855726	0	0	117.12941176470588	510.0740472374152	MYC
Acinar cell-specific C complex (mouse)	1/3	0.012845130618796025	0.018773652442855726	0	0	117.12941176470588	510.0740472374152	PBX1
CTGF/Hcs24-actin complex (human)	1/3	0.012845130618796025	0.018773652442855726	0	0	117.12941176470588	510.0740472374152	CTGF
SKI complex (human)	1/3	0.012845130618796025	0.018773652442855726	0	0	117.12941176470588	510.0740472374152	TTC37
Fgr-Pyk2-p190RhoGap complex (mouse)	1/3	0.012845130618796025	0.018773652442855726	0	0	117.12941176470588	510.0740472374152	PTK2B
ITGAV-ITGB3-PXN-PTK2b complex (human)	1/4	0.017090512409021402	0.021647982384760442	0	0	78.08235294117647	317.73519355477225	PTK2B
p21(ras)GAP-Fyn-Lyn-Yes complex, thrombin stimulated (human)	1/4	0.017090512409021402	0.021647982384760442	0	0	78.08235294117647	317.73519355477225	YES1
cMYC-ATPase-helicase complex (human)	1/5	0.0213178505521487	0.025314947530676583	0	0	58.55882352941177	225.34667975778618	MYC
Parvulin-associated pre-rRNP complex (mouse)	1/62	0.23477349240113526	0.2623939032718571	0	0	3.828929604628737	5.548632425072559	RBM28
Nop56p-associated pre-rRNA complex (human)	1/104	0.361940593415089	0.3820484041603717	0	0	2.2628212450028555	2.2996490843913855	RBM28
Spliceosome (human)	1/142	0.45886543445060396	0.45886543445060396	0	0	1.6498122653316645	1.2852009220254814	RBM15
