Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Myocardial Remodeling	3/51	0.001377254667314228	0.21772644796618956	0	0	14.95933734939759	98.54707514703038	MYC;TIMP2;PTK2B
Proteins Involved in Glioma	6/290	0.0015720103663818836	0.21772644796618956	0	0	5.183978873239437	33.4646571696134	CYP27B1;IGFBP5;PLAU;MYC;PTK2B;HOXB2
TRPM8 Effects in Prostate Cancer (Hypothesis)	2/15	0.0018503664133103928	0.21772644796618956	0	0	36.44871794871795	229.34887761330484	MYC;PTK2B
Proteins Involved in Prostate Cancer	4/138	0.0029757163932822616	0.2601297229488897	0	0	7.20058245358573	41.887735634503564	IGFBP5;PLAU;MYC;PTK2B
Endothelin Signaling in Arterial Hypertension	2/27	0.005982042701273519	0.2601297229488897	0	0	18.941904761904762	96.96348130198568	MYC;PTK2B
Glutamine in Cancer Metabolism	2/28	0.006424304780695358	0.2601297229488897	0	0	18.21245421245421	91.93040155644884	MYC;GOT2
Vitamine D Deficite and Dentin Formation	2/31	0.007837281084236711	0.2601297229488897	0	0	16.325944170771756	79.16227161319938	CYP27B1;PTK2B
Aldosterone Synthesis Chronic Regulation	2/31	0.007837281084236711	0.2601297229488897	0	0	16.325944170771756	79.16227161319938	MYC;PTK2B
Endothelial Cell Dysfunction in Arterial Hypertension	2/32	0.008336574343939954	0.2601297229488897	0	0	15.780952380952382	75.54504286216243	MYC;PTK2B
Tumor Infiltrating Macrophages in Cancer Progression and Immune Escape	2/36	0.010471871180313822	0.2601297229488897	0	0	13.92156862745098	63.469302191660454	PLAU;VTCN1
PDGFR -> AP-1/MYC Signaling	2/37	0.011039601287524271	0.2601297229488897	0	0	13.52312925170068	60.938822348351906	MYC;PTK2B
HGFR -> AP-1/CREB/MYC Signaling	2/38	0.011620646525927768	0.2601297229488897	0	0	13.146825396825397	58.56873758614498	MYC;PTK2B
Proteins Involved in Stem Cell Exhaustion in Aging	2/39	0.012214884664152803	0.2601297229488897	0	0	12.790862290862291	56.345027688088976	IGFBP5;MYC
TRPM4/6/7/8 Signaling in Arterial Hypertension (Hypothesis)	2/39	0.012214884664152803	0.2601297229488897	0	0	12.790862290862291	56.345027688088976	MYC;PTK2B
Telomer Attrition Triggers Genomic Instability	2/40	0.012822194254667357	0.2601297229488897	0	0	12.453634085213032	54.2552243331824	TEP1;MYC
Mesangial Cell Dysfunction in Glomerulonephritis	2/41	0.01344245462757058	0.2601297229488897	0	0	12.133699633699633	52.28820471678212	MYC;PTK2B
VEGFR -> AP-1/CREB/MYC Signaling	2/43	0.014721348919376426	0.2601297229488897	0	0	11.540650406504065	48.68373208317524	MYC;PTK2B
Prostate Cancer	3/123	0.01604275901928787	0.2601297229488897	0	0	5.962048192771085	24.638150340484763	IGFBP5;MYC;PTK2B
EGFR -> AP-1/CREB/ELK/SRF/MYC Signaling	2/49	0.018856539279652515	0.2601297229488897	0	0	10.064336372847011	39.96442815292184	MYC;PTK2B
Mesangial Cell Dysfunction in Diabetic Nephropathy	2/49	0.018856539279652515	0.2601297229488897	0	0	10.064336372847011	39.96442815292184	MYC;PTK2B
