Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
5z-7-oxozeaenol	1/47	0.1835332098896196	0.7305333187267006	0	0	5.081329923273657	8.61468170774335	SRPK3
SCH772984	1/52	0.20097927946738411	0.7305333187267006	0	0	4.582006920415225	7.3520750737676215	SRPK3
SP600125	1/75	0.2766017531435907	0.7305333187267006	0	0	3.1542130365659777	4.053720538658391	SRPK3
XMD13-2	1/77	0.2828330655678514	0.7305333187267006	0	0	3.0708978328173373	3.878232050839515	SRPK3
GW843682X	1/89	0.3191222318731329	0.7305333187267006	0	0	2.6505347593582886	3.02739064758815	SRPK3
WZ4003	1/92	0.32790718892886034	0.7305333187267006	0	0	2.5627666451195865	2.8575480358922407	SRPK3
WZ4002	1/98	0.3451423773061049	0.7305333187267006	0	0	2.4035172832019405	2.5568575019215602	SRPK3
ZG-10	1/100	0.3507897886854045	0.7305333187267006	0	0	2.354723707664884	2.46673350535558	SRPK3
GW-5074	1/101	0.35359541597416516	0.7305333187267006	0	0	2.331058823529412	2.4233732103374237	SRPK3
WZ3105	1/110	0.37831278895769554	0.7305333187267006	0	0	2.1376146788990824	2.0778340217890414	SRPK3
GSK461364	1/110	0.37831278895769554	0.7305333187267006	0	0	2.1376146788990824	2.0778340217890414	SRPK3
Momelotinib	1/122	0.4098215751066792	0.7305333187267006	0	0	1.924453087019932	1.716676423946221	SRPK3
RO-3306	1/122	0.4098215751066792	0.7305333187267006	0	0	1.924453087019932	1.716676423946221	SRPK3
A443654	1/134	0.4397510418557994	0.7305333187267006	0	0	1.7497567448031843	1.4375065753304215	SRPK3
Abemaciclib	1/136	0.4445912947172885	0.7305333187267006	0	0	1.7236601307189543	1.397198656643996	SRPK3
JNK-9L	1/145	0.4658659197562531	0.7305333187267006	0	0	1.6151960784313726	1.233779496508637	SRPK3
HG-5-113-01	1/157	0.49298386894593876	0.7305333187267006	0	0	1.4900452488687783	1.0538774538084532	SRPK3
BI-D1870	1/164	0.5081694751227666	0.7305333187267006	0	0	1.425550342836521	0.9650124405266453	SRPK3
GSK1059615	1/165	0.5103018265829375	0.7305333187267006	0	0	1.4167862266857962	0.9531470589603733	SRPK3
MRT67307	1/172	0.5249745817383216	0.7305333187267006	0	0	1.3583075335397317	0.8753007547041342	SRPK3
Palbociclib	1/184	0.5491236492677792	0.7305333187267006	0	0	1.2684667309546769	0.7603590883556923	SRPK3
BMS-536924	1/184	0.5491236492677792	0.7305333187267006	0	0	1.2684667309546769	0.7603590883556923	SRPK3
KIN001-220	1/190	0.5607390420252832	0.7305333187267006	0	0	1.2278244631185808	0.7102960189990499	SRPK3
WH-4-023	1/198	0.575767323420109	0.7305333187267006	0	0	1.1774858166616902	0.6500329906392318	SRPK3
Crizotinib	1/200	0.5794442849420854	0.7305333187267006	0	0	1.1655335501034585	0.636015065932131	SRPK3
Baricitinib	1/203	0.5849007441298377	0.7305333187267006	0	0	1.1480489225393127	0.6157136930154435	SRPK3
HG-6-64-01	1/210	0.5973618618707845	0.7305333187267006	0	0	1.1092034900084435	0.5714973715169794	SRPK3
CP466722	1/228	0.6277323978801912	0.7305333187267006	0	0	1.020316144078777	0.4751013575268402	SRPK3
R406	1/234	0.6373437917777434	0.7305333187267006	0	0	0.9937389548093916	0.4476258013147821	SRPK3
NVP-TAE684	1/238	0.643614701599994	0.7305333187267006	0	0	0.9767684288905436	0.4304179129017444	SRPK3
AZD 5438	1/258	0.6733970936729096	0.7305333187267006	0	0	0.8998397802700847	0.35581472524834074	SRPK3
HG-14-10-04	1/268	0.6873519297497401	0.7305333187267006	0	0	0.8656972901520159	0.3245575733757874	SRPK3
BX-912	1/285	0.7097352146638868	0.7305333187267006	0	0	0.8131731565865783	0.2788072446227491	SRPK3
THZ1	1/289	0.7147672537931605	0.7305333187267006	0	0	0.8017156862745098	0.2692147713099336	SRPK3
AZD7762	1/302	0.7305333187267006	0.7305333187267006	0	0	0.7665819816298612	0.24069174634007617	SRPK3
