Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
PIM2	1/3	0.012845130618796025	0.24678791672076988	0	0	117.12941176470588	510.0740472374152	MYC
RAF1	1/6	0.025527220063161046	0.24678791672076988	0	0	46.84470588235294	171.82684693856828	MYC
YES1	1/7	0.029718695945433443	0.24678791672076988	0	0	39.03529411764706	137.24727196053433	YES1
PTK2B	1/8	0.03389235304552857	0.24678791672076988	0	0	33.457142857142856	113.23790361856584	PTK2B
CSNK1G3	1/10	0.0421865092184754	0.24678791672076988	0	0	26.019607843137255	82.36909635390154	NFATC3
CSNK1A1L	1/10	0.0421865092184754	0.24678791672076988	0	0	26.019607843137255	82.36909635390154	NFATC3
CSNK1G2	1/12	0.05041028257884421	0.24678791672076988	0	0	21.28663101604278	63.595089599609956	NFATC3
CSNK1G1	1/12	0.05041028257884421	0.24678791672076988	0	0	21.28663101604278	63.595089599609956	NFATC3
IGF1R	2/86	0.05294524480218262	0.24678791672076988	0	0	5.620748299319728	16.51655210750391	YES1;PTK2B
PAK2	1/15	0.06261526327259834	0.24678791672076988	0	0	16.722689075630253	46.33432734971711	MYC
CSK	1/15	0.06261526327259834	0.24678791672076988	0	0	16.722689075630253	46.33432734971711	YES1
MAPK8	3/225	0.07297968070098104	0.24678791672076988	0	0	3.2061217844350374	8.392261739188761	RBM15;MYC;KCNMA1
PIM1	1/18	0.07466517827093744	0.24678791672076988	0	0	13.76955017301038	35.728422579909434	MYC
MAPK10	2/105	0.07510936595849518	0.24678791672076988	0	0	4.579519186315303	11.855505132619507	MYC;NFATC3
INSR	2/113	0.08518532035645178	0.26123498242645216	0	0	4.247747747747748	10.46188903319615	YES1;PTK2B
MAPK9	2/131	0.10920014225785252	0.313950408991326	0	0	3.65171650055371	8.086992447879068	MYC;NFATC3
CSNK2A1	3/286	0.1254282360194036	0.339394050405445	0	0	2.5072587168461835	5.205123023574097	TEP1;MYC;STC2
GSK3A	1/34	0.1363917975983422	0.3485568160846522	0	0	7.0877005347593585	14.12028477327799	MYC
SYK	1/39	0.1548332599823739	0.37283086905560164	0	0	6.1535603715170275	11.47889141140809	PTK2B
HCK	1/41	0.1621003778502616	0.37283086905560164	0	0	5.845294117647059	10.635743648833243	PTK2B
GSK3B	4/527	0.1914657625733185	0.4134061394060795	0	0	1.808608870027515	2.9897141498580444	MYC;KCNMA1;NFATC3;WRNIP1
PRKAA1	1/53	0.2044240199319846	0.4134061394060795	0	0	4.493665158371041	7.133958175164451	KCNMA1
CDK2	4/553	0.21453440596477982	0.4134061394060795	0	0	1.720645075303212	2.6485634174955583	MYC;BOD1L1;C1ORF198;NFATC3
MAPK3	2/202	0.21569015969012842	0.4134061394060795	0	0	2.346904761904762	3.5999461914704916	MYC;DUSP6
CSNK1D	1/72	0.2671543160230924	0.4664825541018574	0	0	3.287986743993372	4.3399084793012666	NFATC3
MTOR	1/78	0.285928797233274	0.4664825541018574	0	0	3.030863254392666	3.7946785586949976	MYC
PRKCB	2/250	0.2920248277987372	0.4664825541018574	0	0	1.8880568356374807	2.3240402243566742	KCNMA1;NFATC3
PRKCA	3/442	0.29605548184748237	0.4664825541018574	0	0	1.6034525345116228	1.951735899698822	RBM15;PLAU;KCNMA1
LYN	1/82	0.2981801959831634	0.4664825541018574	0	0	2.8806100217864925	3.485703158576593	PTK2B
CSNK1A1	1/84	0.30422775267512436	0.4664825541018574	0	0	2.810914245216159	3.34492799962935	NFATC3
ABL1	1/94	0.33370149159207996	0.47714613895491753	0	0	2.5074003795066413	2.7518930372832235	MYC
LCK	1/96	0.3394464157511476	0.47714613895491753	0	0	2.4543653250773994	2.6517924525695524	YES1
CDK5	1/97	0.34230049098939735	0.47714613895491753	0	0	2.4286764705882353	2.6037021954467265	MYC
CDK1	3/494	0.3573645026534066	0.48292744433520995	0	0	1.4298088484283367	1.4712718784392231	MYC;NFATC3;WRNIP1
PRKG1	1/106	0.36744479460287716	0.48292744433520995	0	0	2.2194957983193278	2.22211966490254	CRIP2
PRKACB	1/111	0.381000823351529	0.4868343853936204	0	0	2.1180748663101605	2.043844269840429	CRIP2
FYN	1/115	0.3916385661993983	0.4869020012208735	0	0	2.043343653250774	1.9154628083065537	PTK2B
MAPK1	2/326	0.4102143961482001	0.4965753216530843	0	0	1.439594356261023	1.2827870283408422	MYC;DUSP6
CSNK1E	1/128	0.4249787390653726	0.5012569742822344	0	0	1.8329782306623437	1.568509050816366	NFATC3
ATM	1/161	0.5017172040124291	0.5724917721284805	0	0	1.4525	1.0018163487781477	TTC5
MAPK14	2/396	0.510264405592776	0.5724917721284805	0	0	1.1795987430505197	0.7936649932116416	MYC;AGPS
PRKDC	1/180	0.5412119320340754	0.5927559255611302	0	0	1.2970752546828788	0.796332005411865	PTK2B
CSNK2A2	1/229	0.6293516018744535	0.67325985316802	0	0	1.0157894736842106	0.4703767486422906	MYC
SRC	1/259	0.6748198337320725	0.7054934625380758	0	0	0.8963064295485637	0.35252586657094503	PTK2B
RPS6KA3	1/332	0.7637042815038182	0.7806754877594585	0	0	0.6960369646347965	0.1876339077920796	RBM15
PRKACA	1/393	0.8192049454335804	0.8192049454335804	0	0	0.5858943577430973	0.11683963157278347	KCNMA1
