Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cell adhesion molecules	5/148	4.4614995316002537E-4	0.051753394566562944	0	0	8.534490201156867	65.84235819532456	HLA-DMB;CLDN8;CLDN23;NRXN3;VTCN1
Herpes simplex virus 1 infection	7/498	0.005629289302447499	0.32649877954195494	0	0	3.5051432107040656	18.155842935078322	ZNF251;HLA-DMB;ZSCAN32;ZNF514;ZNF701;ZNF44;ZNF211
Transcriptional misregulation in cancer	4/192	0.009482376509422978	0.36665189169768847	0	0	5.1183186299948105	23.842767614277797	PLAU;MYC;DUSP6;PBX1
Leukocyte transendothelial migration	3/114	0.013102836312370051	0.3799822530587315	0	0	6.448388147183328	27.953289047226384	CLDN8;CLDN23;PTK2B
Phenylalanine, tyrosine and tryptophan biosynthesis	1/6	0.025527220063161046	0.4891943353613668	0	0	46.84470588235294	171.82684693856828	GOT2
Hepatitis C	3/157	0.030247247264919154	0.4891943353613668	0	0	4.63777186668753	16.2245496650366	MYC;CLDN8;CLDN23
Hepatitis B	3/162	0.03275018416492613	0.4891943353613668	0	0	4.490793362127756	15.353334037572413	MYC;NFATC3;PTK2B
Acute myeloid leukemia	2/67	0.033737540369749436	0.4891943353613668	0	0	7.270695970695971	24.64143638145943	MYC;DUSP6
MAPK signaling pathway	4/294	0.03803259773721025	0.48936350693431463	0	0	3.3009251471825065	10.791753045391276	DUSP2;MYC;NFATC3;DUSP6
Sulfur metabolism	1/10	0.0421865092184754	0.48936350693431463	0	0	26.019607843137255	82.36909635390154	PAPSS2
Th1 and Th2 cell differentiation	2/92	0.05965366104364009	0.5058446847728955	0	0	5.2444444444444445	14.785136502876078	HLA-DMB;NFATC3
Human T-cell leukemia virus 1 infection	3/219	0.06848826011526923	0.5058446847728955	0	0	3.2961847389558234	8.83737761139076	HLA-DMB;MYC;NFATC3
Selenocompound metabolism	1/17	0.0706656488135395	0.5058446847728955	0	0	14.630882352941176	38.768849097220134	PAPSS2
Phenylalanine metabolism	1/17	0.0706656488135395	0.5058446847728955	0	0	14.630882352941176	38.768849097220134	GOT2
Human cytomegalovirus infection	3/225	0.07297968070098104	0.5058446847728955	0	0	3.2061217844350374	8.392261739188761	MYC;NFATC3;PTK2B
Th17 cell differentiation	2/107	0.07759037070545761	0.5058446847728955	0	0	4.4918367346938775	11.48253591488967	HLA-DMB;NFATC3
Steroid biosynthesis	1/20	0.08261326946777713	0.5058446847728955	0	0	12.318885448916408	30.718187529247054	CYP27B1
Arginine biosynthesis	1/22	0.0904938789441273	0.5058446847728955	0	0	11.14453781512605	26.774451939878727	GOT2
Yersinia infection	2/137	0.11756506839470834	0.5058446847728955	0	0	3.4883597883597885	7.467752699680994	NFATC3;PTK2B
Asthma	1/31	0.12513660526532908	0.5058446847728955	0	0	7.79764705882353	16.206234277302418	HLA-DMB
