Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CDK3 knockdown 110 GSE27869	5/300	0.009523222218383318	0.38816346396489276	0	0	4.1052521448001675	19.105933875975577	DUSP22;ZBTB20;TMCC3;NOL9;PBX1
IRAK1 knockdown 115 GSE27869	5/300	0.009523222218383318	0.38816346396489276	0	0	4.1052521448001675	19.105933875975577	EPM2A;ARV1;FAM179B;SERINC3;PPM1F
CDK8 knockdown 163 GSE38061	5/300	0.009523222218383318	0.38816346396489276	0	0	4.1052521448001675	19.105933875975577	EGLN3;TIMP2;SERINC3;PBX1;AVPI1
MET knockout 261 GSE8747	5/300	0.009523222218383318	0.38816346396489276	0	0	4.1052521448001675	19.105933875975577	INSIG2;MYC;EDEM2;ARHGEF3;NFATC3
TRPM7 overexpression 305 GSE23102	5/300	0.009523222218383318	0.38816346396489276	0	0	4.1052521448001675	19.105933875975577	RBM28;ZNF251;ESRP1;ZNF514;SLC1A4
SYK druginhibition 283 GSE43510	4/300	0.04047201993946749	0.38816346396489276	0	0	3.2330257086354646	10.368780326636378	ARV1;SPTLC2;MYC;PPM1F
TGFBR1 activemutant 291 GSE14523	4/300	0.04047201993946749	0.38816346396489276	0	0	3.2330257086354646	10.368780326636378	ZNF296;AGPS;GOT2;GPRC5C
HIPK2 knockout 171 GSE39253	4/300	0.04047201993946749	0.38816346396489276	0	0	3.2330257086354646	10.368780326636378	STC2;NFATC3;GPRC5C;SLC29A3
SRC activemutant 51 GSE15815	4/300	0.04047201993946749	0.38816346396489276	0	0	3.2330257086354646	10.368780326636378	ARV1;EDEM2;ARHGEF3;JADE2
FLT1 knockdown 111 GSE27869	4/300	0.04047201993946749	0.38816346396489276	0	0	3.2330257086354646	10.368780326636378	TEP1;INSIG2;ZBTB20;SERINC3
SYK knockdown 280 GDS3609	4/300	0.04047201993946749	0.38816346396489276	0	0	3.2330257086354646	10.368780326636378	SPTLC2;IGFBP5;ZSCAN32;FAIM2
CDK10 knockdown 116 GSE27869	4/300	0.04047201993946749	0.38816346396489276	0	0	3.2330257086354646	10.368780326636378	TIMP2;ZBTB20;PPM1F;CTGF
PDGFRA knockdown 117 GSE27869	4/300	0.04047201993946749	0.38816346396489276	0	0	3.2330257086354646	10.368780326636378	KLHL28;C1ORF198;ZBTB20;CTGF
CDK19 knockdown 162 GSE38061	4/300	0.04047201993946749	0.38816346396489276	0	0	3.2330257086354646	10.368780326636378	XKR8;SLC1A4;SERINC3;PBX1
FGFR1 activemutant 58 GSE17916	4/300	0.04047201993946749	0.38816346396489276	0	0	3.2330257086354646	10.368780326636378	AGPS;NFATC3;ZBTB20;AVPI1
ROCK1 knockdown 156 GSE34769	4/300	0.04047201993946749	0.38816346396489276	0	0	3.2330257086354646	10.368780326636378	TIMP2;GPCPD1;PAPSS2;CTGF
ROCK2 knockdown 157 GSE34769	4/300	0.04047201993946749	0.38816346396489276	0	0	3.2330257086354646	10.368780326636378	FBXW5;TIMP2;NFATC3;ANKRD50
MAP4K5 knockdown 199 GSE61497	4/300	0.04047201993946749	0.38816346396489276	0	0	3.2330257086354646	10.368780326636378	YES1;ESRP1;ME1;NOL9
EGFR drugactivation 30 GDS4361	4/300	0.04047201993946749	0.38816346396489276	0	0	3.2330257086354646	10.368780326636378	PLAU;CRIP2;PBX1;CTGF
HIPK2 defectivemutant 29 GDS4233	4/300	0.04047201993946749	0.38816346396489276	0	0	3.2330257086354646	10.368780326636378	RBM15;RPL32P3;NOL9;ZNF211
PRKCA knockdown 118 GSE27869	4/300	0.04047201993946749	0.38816346396489276	0	0	3.2330257086354646	10.368780326636378	EGLN3;MYC;TIMP2;PPM1F
TIE1 knockdown 107 GSE27869	4/300	0.04047201993946749	0.38816346396489276	0	0	3.2330257086354646	10.368780326636378	ZNF691;ZBTB20;GPCPD1;PBX1
TGFBR2 knockout 295 GSE45968	3/300	0.13899223506445144	0.5056441654930905	0	0	2.3873676524278933	4.711081423101069	ZFP3;ME1;PPM1F
TGFBR2 knockout 296 GSE22989	3/300	0.13899223506445144	0.5056441654930905	0	0	2.3873676524278933	4.711081423101069	RBM28;NFATC3;CTGF
SYK knockdown 189 GSE54065	3/300	0.13899223506445144	0.5056441654930905	0	0	2.3873676524278933	4.711081423101069	DUSP2;RBM15;ZNF44
ILK activemutant 78 GSE25729	3/300	0.13899223506445144	0.5056441654930905	0	0	2.3873676524278933	4.711081423101069	SLC26A2;INSIG2;GOT2
SYK druginhibition 287 GSE43510	3/300	0.13899223506445144	0.5056441654930905	0	0	2.3873676524278933	4.711081423101069	DUSP2;MYC;NFKBID
MET knockout 249 GDS3148	3/300	0.13899223506445144	0.5056441654930905	0	0	2.3873676524278933	4.711081423101069	KIAA1217;EAF1;PPM1F
RET druginhibition 184 GSE49414	3/300	0.13899223506445144	0.5056441654930905	0	0	2.3873676524278933	4.711081423101069	IGFBP5;PLAU;KCNMA1
TRIM28 knockout 301 GSE32224	3/300	0.13899223506445144	0.5056441654930905	0	0	2.3873676524278933	4.711081423101069	RBM15;MYC;TMCC3
TEK knockdown 122 GSE27869	3/300	0.13899223506445144	0.5056441654930905	0	0	2.3873676524278933	4.711081423101069	EAF1;SLC1A4;SERINC3
AURKB knockdown 92 GSE27869	3/300	0.13899223506445144	0.5056441654930905	0	0	2.3873676524278933	4.711081423101069	EGLN3;NRXN3;ZNF211
MET knockout 257 GSE25583	3/300	0.13899223506445144	0.5056441654930905	0	0	2.3873676524278933	4.711081423101069	RBM28;IGFBP5;AGPS
MET knockout 256 GSE25583	3/300	0.13899223506445144	0.5056441654930905	0	0	2.3873676524278933	4.711081423101069	RBM28;NIPBL;ARHGEF3
ATR knockdown 120 GSE27869	3/300	0.13899223506445144	0.5056441654930905	0	0	2.3873676524278933	4.711081423101069	FAM179B;PTK2B;TMCC3
MAP3K7 knockdown 37 GDS5023	3/300	0.13899223506445144	0.5056441654930905	0	0	2.3873676524278933	4.711081423101069	GOT2;NRXN3;AVPI1
SYK knockdown 279 GDS3609	3/300	0.13899223506445144	0.5056441654930905	0	0	2.3873676524278933	4.711081423101069	TIMP2;SLC29A3;PBX1
FGFR3 knockdown 173 GSE41035	3/300	0.13899223506445144	0.5056441654930905	0	0	2.3873676524278933	4.711081423101069	YES1;ZSCAN32;NRXN3
FGFR3 knockdown 34 GDS4454	3/300	0.13899223506445144	0.5056441654930905	0	0	2.3873676524278933	4.711081423101069	YES1;ZSCAN32;NRXN3
IGF1R knockdown 52 GSE16684	3/300	0.13899223506445144	0.5056441654930905	0	0	2.3873676524278933	4.711081423101069	EGLN3;NRL;NFKBID
PRKACB knockdown 91 GSE27869	3/300	0.13899223506445144	0.5056441654930905	0	0	2.3873676524278933	4.711081423101069	MYC;ZBTB20;PTK2B
MAPK1 knockdown 45 GSE12291	3/300	0.13899223506445144	0.5056441654930905	0	0	2.3873676524278933	4.711081423101069	NIPBL;PBX1;ZNF211
CDK19 knockdown 164 GSE38061	3/300	0.13899223506445144	0.5056441654930905	0	0	2.3873676524278933	4.711081423101069	KIAA1217;EAF1;SERINC3
CDK8 knockdown 161 GSE38061	3/300	0.13899223506445144	0.5056441654930905	0	0	2.3873676524278933	4.711081423101069	EGLN3;ZNF691;PBX1
MAPK1 knockdown 112 GSE27869	3/300	0.13899223506445144	0.5056441654930905	0	0	2.3873676524278933	4.711081423101069	EAF1;NRL;TMCC3
FGFR2 activemutant 59 GSE17916	3/300	0.13899223506445144	0.5056441654930905	0	0	2.3873676524278933	4.711081423101069	NIPBL;AGPS;AVPI1
ABL1 knockdown 100 GSE27869	3/300	0.13899223506445144	0.5056441654930905	0	0	2.3873676524278933	4.711081423101069	NOL9;NPTXR;PPM1F
SCYL1 knockdown 194 GSE57646	3/300	0.13899223506445144	0.5056441654930905	0	0	2.3873676524278933	4.711081423101069	NIPBL;NOL9;ANKRD50
PLK3 knockdown 121 GSE27869	3/300	0.13899223506445144	0.5056441654930905	0	0	2.3873676524278933	4.711081423101069	XKR8;ARHGEF3;NPTXR
JAK1 knockdown 160 GSE37012	3/300	0.13899223506445144	0.5056441654930905	0	0	2.3873676524278933	4.711081423101069	RPL32P3;SLC29A3;CTGF
ERBB3 drugactivation 31 GDS4361	3/300	0.13899223506445144	0.5056441654930905	0	0	2.3873676524278933	4.711081423101069	GOT2;VTCN1;PBX1
IRAK4 knockout 41 GSE12124	3/300	0.13899223506445144	0.5056441654930905	0	0	2.3873676524278933	4.711081423101069	SUSD1;SERINC3;PAPSS2
PLK1 knockdown 98 GSE27869	3/300	0.13899223506445144	0.5056441654930905	0	0	2.3873676524278933	4.711081423101069	XKR8;ZNF514;CTGF
CDK9 knockdown 71 GSE21751	3/300	0.13899223506445144	0.5056441654930905	0	0	2.3873676524278933	4.711081423101069	SPTLC2;NOL9;DUSP6
ATM knockout 74 GSE23116	3/300	0.13899223506445144	0.5056441654930905	0	0	2.3873676524278933	4.711081423101069	INSIG2;ME1;SERINC3
GSK3B knockdown 206 GDS4305	3/300	0.13899223506445144	0.5056441654930905	0	0	2.3873676524278933	4.711081423101069	RBM15;IGFBP5;KLHL28
MYLK knockdown 48 GSE14525	3/300	0.13899223506445144	0.5056441654930905	0	0	2.3873676524278933	4.711081423101069	EDEM2;KLHL28;GOT2
SRC overexpression 276 GSE37428	3/300	0.13899223506445144	0.5056441654930905	0	0	2.3873676524278933	4.711081423101069	DUSP22;TTC5;ME1
BRAF druginhibition 175 GSE42872	2/300	0.37061664038432274	0.6800009662703661	0	0	1.5672738894215403	1.5556557898579908	NRXN3;DUSP6
BRAF druginhibition 38 GDS5085	2/300	0.37061664038432274	0.6800009662703661	0	0	1.5672738894215403	1.5556557898579908	NRXN3;DUSP6
FGFR3 druginhibition 36 GDS5023	2/300	0.37061664038432274	0.6800009662703661	0	0	1.5672738894215403	1.5556557898579908	GOT2;LONRF3
RAF1 activemutant 219 GSE42964	2/300	0.37061664038432274	0.6800009662703661	0	0	1.5672738894215403	1.5556557898579908	STC2;CTGF
IGF1R druginhibition 46 GSE14024	2/300	0.37061664038432274	0.6800009662703661	0	0	1.5672738894215403	1.5556557898579908	TMCC3;DUSP6
RET knockout 270 GSE32093	2/300	0.37061664038432274	0.6800009662703661	0	0	1.5672738894215403	1.5556557898579908	EAF1;FAIM2
GSK3A knockdown 201 GDS4305	2/300	0.37061664038432274	0.6800009662703661	0	0	1.5672738894215403	1.5556557898579908	RBM28;NOL9
GSK3A knockdown 207 GDS4305	2/300	0.37061664038432274	0.6800009662703661	0	0	1.5672738894215403	1.5556557898579908	NOL9;PBX1
ALK druginhibition 187 GSE50803	2/300	0.37061664038432274	0.6800009662703661	0	0	1.5672738894215403	1.5556557898579908	DUSP6;PPM1F
SYK druginhibition 286 GSE43510	2/300	0.37061664038432274	0.6800009662703661	0	0	1.5672738894215403	1.5556557898579908	ZNF296;SLC1A4
SYK druginhibition 288 GSE43510	2/300	0.37061664038432274	0.6800009662703661	0	0	1.5672738894215403	1.5556557898579908	DUSP2;MYC
SYK druginhibition 289 GSE43510	2/300	0.37061664038432274	0.6800009662703661	0	0	1.5672738894215403	1.5556557898579908	ARHGEF3;GPCPD1
JAK1 druginhibition 166 GSE38335	2/300	0.37061664038432274	0.6800009662703661	0	0	1.5672738894215403	1.5556557898579908	WRNIP1;CTGF
JAK2 druginhibition 168 GSE38335	2/300	0.37061664038432274	0.6800009662703661	0	0	1.5672738894215403	1.5556557898579908	WRNIP1;CTGF
KSR1 knockout 126 GSE28228	2/300	0.37061664038432274	0.6800009662703661	0	0	1.5672738894215403	1.5556557898579908	RBM15;MYC
ITK defectivemutant 125 GSE28200	2/300	0.37061664038432274	0.6800009662703661	0	0	1.5672738894215403	1.5556557898579908	SPTLC2;TIMP2
