Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
ROCK2 knockdown 157 GSE34769	6/300	0.0018654920340149936	0.2317317406473274	0	0	5.005102040816326	31.453214577545968	EGLN3;PLAU;INSIG2;ZFP3;LONRF3;DUSP6
RAF1 activemutant 219 GSE42964	5/300	0.009523222218383318	0.2317317406473274	0	0	4.1052521448001675	19.105933875975577	DUSP22;HLA-DMB;PLAU;PTK2B;SERINC3
SYK druginhibition 153 GSE34176	5/300	0.009523222218383318	0.2317317406473274	0	0	4.1052521448001675	19.105933875975577	YES1;PLAU;TIMP2;NRXN3;JADE2
SYK druginhibition 155 GSE34176	5/300	0.009523222218383318	0.2317317406473274	0	0	4.1052521448001675	19.105933875975577	PLAU;TIMP2;CRIP2;JADE2;AVPI1
MET knockout 250 GDS3148	5/300	0.009523222218383318	0.2317317406473274	0	0	4.1052521448001675	19.105933875975577	EGLN3;ZNF251;TIMP2;ZBTB20;PAPSS2
CDK8 knockdown 63 GSE19199	5/300	0.009523222218383318	0.2317317406473274	0	0	4.1052521448001675	19.105933875975577	AGPS;ARHGEF3;CRIP2;DUSP6;PAPSS2
MAPK1 knockdown 112 GSE27869	5/300	0.009523222218383318	0.2317317406473274	0	0	4.1052521448001675	19.105933875975577	ARV1;EGLN3;MYC;AGPS;ZNF514
ERBB2 druginhibition 7 GDS2139	5/300	0.009523222218383318	0.2317317406473274	0	0	4.1052521448001675	19.105933875975577	CYP27B1;SRPK3;SLC26A2;SH3BP5L;BOD1L1
CDK8 knockdown 147 GSE32108	5/300	0.009523222218383318	0.2317317406473274	0	0	4.1052521448001675	19.105933875975577	RBM15;TTC5;ME1;ZNF701;ZNF44
ERBB3 knockdown 65 GSE19921	4/300	0.04047201993946749	0.46120150725931613	0	0	3.2330257086354646	10.368780326636378	KIAA1217;DUSP2;INSIG2;ANKRD50
SYK druginhibition 286 GSE43510	4/300	0.04047201993946749	0.46120150725931613	0	0	3.2330257086354646	10.368780326636378	DUSP22;HLA-DMB;JADE2;SLC29A3
CDK9 knockdown 104 GSE27869	4/300	0.04047201993946749	0.46120150725931613	0	0	3.2330257086354646	10.368780326636378	AGPS;TIMP2;NPTXR;PPM1F
ROCK1 knockdown 156 GSE34769	4/300	0.04047201993946749	0.46120150725931613	0	0	3.2330257086354646	10.368780326636378	EGLN3;PLAU;ZFP3;SLC1A4
JAK1 knockdown 160 GSE37012	4/300	0.04047201993946749	0.46120150725931613	0	0	3.2330257086354646	10.368780326636378	KIAA1217;RBM28;TTC37;PLAC4
IRAK4 knockout 41 GSE12124	4/300	0.04047201993946749	0.46120150725931613	0	0	3.2330257086354646	10.368780326636378	RBM28;TTC5;TMEM99;AGPS
JAK2 knockout 79 GSE26188	4/300	0.04047201993946749	0.46120150725931613	0	0	3.2330257086354646	10.368780326636378	DUSP22;SLC26A2;GOT2;ARHGEF3
MAP2K4 knockdown 62 GSE19091	4/300	0.04047201993946749	0.46120150725931613	0	0	3.2330257086354646	10.368780326636378	MYC;ME1;CTGF;AVPI1
TGFBR1 knockdown 102 GSE27869	4/300	0.04047201993946749	0.46120150725931613	0	0	3.2330257086354646	10.368780326636378	SLC26A2;ZNF514;NOL9;SERINC3
ATM knockout 75 GSE23116	4/300	0.04047201993946749	0.46120150725931613	0	0	3.2330257086354646	10.368780326636378	SLC26A2;ARHGEF3;LONRF3;OASL
BRAF druginhibition 175 GSE42872	3/300	0.13899223506445144	0.46120150725931613	0	0	2.3873676524278933	4.711081423101069	TIMP2;SERINC3;PBX1
BRAF druginhibition 38 GDS5085	3/300	0.13899223506445144	0.46120150725931613	0	0	2.3873676524278933	4.711081423101069	TIMP2;SERINC3;PBX1
FGFR3 druginhibition 36 GDS5023	3/300	0.13899223506445144	0.46120150725931613	0	0	2.3873676524278933	4.711081423101069	IGFBP5;NRXN3;SLC29A3
TGFBR2 knockout 295 GSE45968	3/300	0.13899223506445144	0.46120150725931613	0	0	2.3873676524278933	4.711081423101069	PTK2B;GPRC5C;DUSP6
TRIM28 knockout 303 GSE32224	3/300	0.13899223506445144	0.46120150725931613	0	0	2.3873676524278933	4.711081423101069	DUSP2;INSIG2;SLC1A4
IRAK4 defectivemutant 200 GSE6789	3/300	0.13899223506445144	0.46120150725931613	0	0	2.3873676524278933	4.711081423101069	TIMP2;HOXB2;SERINC3
SYK knockdown 191 GSE54065	3/300	0.13899223506445144	0.46120150725931613	0	0	2.3873676524278933	4.711081423101069	DUSP22;SERINC3;PAPSS2
PIK3CA druginhibition 57 GSE17785	3/300	0.13899223506445144	0.46120150725931613	0	0	2.3873676524278933	4.711081423101069	DUSP22;NIPBL;SERINC3
SYK druginhibition 154 GSE34176	3/300	0.13899223506445144	0.46120150725931613	0	0	2.3873676524278933	4.711081423101069	KCNMA1;FAIM2;PAPSS2
SYK druginhibition 282 GSE43510	3/300	0.13899223506445144	0.46120150725931613	0	0	2.3873676524278933	4.711081423101069	DUSP22;NOL9;SERINC3
SYK druginhibition 284 GSE43510	3/300	0.13899223506445144	0.46120150725931613	0	0	2.3873676524278933	4.711081423101069	HLA-DMB;NOL9;JADE2
SYK druginhibition 288 GSE43510	3/300	0.13899223506445144	0.46120150725931613	0	0	2.3873676524278933	4.711081423101069	SLC26A2;HLA-DMB;ARHGEF3
NTRK2 drugactivation 66 GSE20358	3/300	0.13899223506445144	0.46120150725931613	0	0	2.3873676524278933	4.711081423101069	KIAA1217;TIMP2;WRNIP1
NTRK3 drugactivation 67 GSE20358	3/300	0.13899223506445144	0.46120150725931613	0	0	2.3873676524278933	4.711081423101069	KIAA1217;TIMP2;WRNIP1
MELK druginhibition 186 GSE50227	3/300	0.13899223506445144	0.46120150725931613	0	0	2.3873676524278933	4.711081423101069	XKR8;RBM28;KLHL28
AKT1 druginhibition 81 GSE26290	3/300	0.13899223506445144	0.46120150725931613	0	0	2.3873676524278933	4.711081423101069	MYC;AGPS;SERINC3
