Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GABRB3 knockdown 96h A375	6/300	0.0018654920340149936	0.7281650706695516	0	0	5.005102040816326	31.453214577545968	RBM15;TEP1;AGPS;GOT2;ZNF44;NPTXR
MAPK9 knockdown 96h HA1E	6/300	0.0018654920340149936	0.7281650706695516	0	0	5.005102040816326	31.453214577545968	RBM28;NRL;FAIM2;HOXB2;CTGF;ZNF211
TP53RK knockdown 96h A375	5/300	0.009523222218383318	0.7281650706695516	0	0	4.1052521448001675	19.105933875975577	RBM15;AGPS;GOT2;ZNF44;NPTXR
LPHN1 knockdown 96h A549	5/300	0.009523222218383318	0.7281650706695516	0	0	4.1052521448001675	19.105933875975577	SPTLC2;MYC;KLHL28;NOL9;NPTXR
PTK7 knockdown 96h A549	5/300	0.009523222218383318	0.7281650706695516	0	0	4.1052521448001675	19.105933875975577	SPTLC2;KLHL28;NOL9;CRIP2;NPTXR
AKT2 knockdown 96h HA1E	5/300	0.009523222218383318	0.7281650706695516	0	0	4.1052521448001675	19.105933875975577	NRL;FAIM2;HOXB2;CTGF;ZNF211
AKT3 knockdown 96h HA1E	5/300	0.009523222218383318	0.7281650706695516	0	0	4.1052521448001675	19.105933875975577	RBM28;FAIM2;HOXB2;CTGF;ZNF211
CAMK1 knockdown 96h HA1E	5/300	0.009523222218383318	0.7281650706695516	0	0	4.1052521448001675	19.105933875975577	RBM28;NRL;FAIM2;HOXB2;CTGF
CDK10 knockdown 96h HA1E	5/300	0.009523222218383318	0.7281650706695516	0	0	4.1052521448001675	19.105933875975577	RBM28;NRL;FAIM2;CTGF;ZNF211
CDK6 knockdown 96h HA1E	5/300	0.009523222218383318	0.7281650706695516	0	0	4.1052521448001675	19.105933875975577	NRL;FAIM2;HOXB2;CTGF;ZNF211
CHEK2 knockdown 96h HA1E	5/300	0.009523222218383318	0.7281650706695516	0	0	4.1052521448001675	19.105933875975577	EPM2A;FAIM2;HOXB2;CTGF;ZNF211
