Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CSNK2A2 knockdown 96h A549	6/300	0.0018654920340149936	0.5569530105998097	0	0	5.005102040816326	31.453214577545968	EPM2A;RBM28;YES1;MYC;NFATC3;WRNIP1
SCNN1A knockdown 96h A549	6/300	0.0018654920340149936	0.5569530105998097	0	0	5.005102040816326	31.453214577545968	EPM2A;TEP1;NRXN3;ZNF701;ZNF44;WRNIP1
GPR39 knockdown 96h HCC515	6/300	0.0018654920340149936	0.5569530105998097	0	0	5.005102040816326	31.453214577545968	RBM28;SPTLC2;MYC;ZBTB20;PTK2B;SLC1A4
LPAR1 knockdown 96h HEPG2	6/300	0.0018654920340149936	0.5569530105998097	0	0	5.005102040816326	31.453214577545968	DUSP2;KLHL28;ZBTB20;ZNF701;PLAC4;ZNF211
PPARG knockdown 96h HT29	6/300	0.0018654920340149936	0.5569530105998097	0	0	5.005102040816326	31.453214577545968	NIPBL;SLC26A2;HLA-DMB;EDEM2;NRXN3;ZNF211
CSK knockdown 96h PC3	6/300	0.0018654920340149936	0.5569530105998097	0	0	5.005102040816326	31.453214577545968	EPM2A;KLHL28;NFATC3;NRL;ZNF701;LONRF3
GPR113 knockdown 96h PC3	6/300	0.0018654920340149936	0.5569530105998097	0	0	5.005102040816326	31.453214577545968	EPM2A;NIPBL;TIMP2;NFATC3;WRNIP1;SERINC3
GRPR knockdown 96h PC3	6/300	0.0018654920340149936	0.5569530105998097	0	0	5.005102040816326	31.453214577545968	IGFBP5;TEP1;ZBTB20;ZNF44;PLAC4;PPM1F
TRIO knockdown 96h PC3	6/300	0.0018654920340149936	0.5569530105998097	0	0	5.005102040816326	31.453214577545968	EPM2A;DUSP22;INSIG2;MYC;ARHGEF3;WRNIP1
MRGPRX4 knockdown 96h A375	5/300	0.009523222218383318	0.5975182284469733	0	0	4.1052521448001675	19.105933875975577	DUSP22;XKR8;SPTLC2;IGFBP5;PLAU
EDNRB knockdown 96h HA1E	5/300	0.009523222218383318	0.5975182284469733	0	0	4.1052521448001675	19.105933875975577	SPTLC2;TEP1;KCNMA1;KLHL28;WRNIP1
FER knockdown 96h HA1E	5/300	0.009523222218383318	0.5975182284469733	0	0	4.1052521448001675	19.105933875975577	DUSP22;MYC;KLHL28;WRNIP1;NPTXR
GPR39 knockdown 96h HA1E	5/300	0.009523222218383318	0.5975182284469733	0	0	4.1052521448001675	19.105933875975577	SPTLC2;TEP1;KCNMA1;KLHL28;WRNIP1
GSK3B knockdown 96h HA1E	5/300	0.009523222218383318	0.5975182284469733	0	0	4.1052521448001675	19.105933875975577	DUSP2;KLHL28;NRL;ZNF701;WRNIP1
PIM3 knockdown 96h HA1E	5/300	0.009523222218383318	0.5975182284469733	0	0	4.1052521448001675	19.105933875975577	DUSP22;CLDN8;SLC1A4;PBX1;CTGF
VRK3 knockdown 96h HA1E	5/300	0.009523222218383318	0.5975182284469733	0	0	4.1052521448001675	19.105933875975577	NIPBL;YES1;SPTLC2;WRNIP1;OASL
CLK1 knockdown 96h HEPG2	5/300	0.009523222218383318	0.5975182284469733	0	0	4.1052521448001675	19.105933875975577	EPM2A;TEP1;KCNMA1;EDEM2;ZNF701
CSNK1E knockdown 96h HEPG2	5/300	0.009523222218383318	0.5975182284469733	0	0	4.1052521448001675	19.105933875975577	DUSP2;KLHL28;ZBTB20;ZNF701;ZNF211
GPR141 knockdown 96h HEPG2	5/300	0.009523222218383318	0.5975182284469733	0	0	4.1052521448001675	19.105933875975577	DUSP2;KLHL28;ZBTB20;ZNF701;ZNF211
KISS1R knockdown 96h HEPG2	5/300	0.009523222218383318	0.5975182284469733	0	0	4.1052521448001675	19.105933875975577	DUSP2;KLHL28;ZBTB20;ZNF701;ZNF211
MKNK1 knockdown 96h HEPG2	5/300	0.009523222218383318	0.5975182284469733	0	0	4.1052521448001675	19.105933875975577	GNA14;TEP1;EDEM2;PTK2B;HOXB2
NPY1R knockdown 96h HEPG2	5/300	0.009523222218383318	0.5975182284469733	0	0	4.1052521448001675	19.105933875975577	DUSP2;KLHL28;ZBTB20;ZNF701;ZNF211
PDK2 knockdown 96h HEPG2	5/300	0.009523222218383318	0.5975182284469733	0	0	4.1052521448001675	19.105933875975577	TTC37;DUSP2;KLHL28;ZBTB20;ZNF211
STRADB knockdown 96h HEPG2	5/300	0.009523222218383318	0.5975182284469733	0	0	4.1052521448001675	19.105933875975577	EPM2A;WRNIP1;PLAC4;OASL;AVPI1
ANO1 knockdown 96h HT29	5/300	0.009523222218383318	0.5975182284469733	0	0	4.1052521448001675	19.105933875975577	SLC26A2;HLA-DMB;KCNMA1;EDEM2;SLC1A4
GPR110 knockdown 96h HT29	5/300	0.009523222218383318	0.5975182284469733	0	0	4.1052521448001675	19.105933875975577	TTC37;KLHL28;NFATC3;NPTXR;ZNF211
