Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Estrogen Response Early	5/200	0.001719952740982219	0.056758440452413225	0	0	6.2421652421652425	39.734243578842936	SLC26A2;MYC;STC2;SLC1A4;PAPSS2
UV Response Dn	4/144	0.003466447899116152	0.05719639033541651	0	0	6.8898954703832755	39.02867322991511	NIPBL;IGFBP5;MYC;KCNMA1
Estrogen Response Late	4/200	0.010894336372464229	0.07038393617978203	0	0	4.90741662518666	22.179129424034084	DUSP2;SLC26A2;SLC1A4;PAPSS2
mTORC1 Signaling	4/200	0.010894336372464229	0.07038393617978203	0	0	4.90741662518666	22.179129424034084	EGLN3;IGFBP5;ME1;SLC1A4
Glycolysis	4/200	0.010894336372464229	0.07038393617978203	0	0	4.90741662518666	22.179129424034084	EGLN3;STC2;GOT2;ME1
Unfolded Protein Response	3/113	0.012797079305414915	0.07038393617978203	0	0	6.507338444687842	28.3624839291586	TTC37;STC2;SLC1A4
Coagulation	3/138	0.021703095510140612	0.10231459311923431	0	0	5.295582329317269	20.283670999686162	PLAU;CRIP2;DUSP6
Myc Targets V2	2/58	0.025855110939157076	0.10665233262402293	0	0	8.443027210884354	30.86134973425539	DUSP2;MYC
TNF-alpha Signaling via NF-kB	3/200	0.05514889117814504	0.16544667353443512	0	0	3.6175769066112164	10.482720030479646	DUSP2;PLAU;MYC
Complement	3/200	0.05514889117814504	0.16544667353443512	0	0	3.6175769066112164	10.482720030479646	ME1;TIMP2;DUSP6
KRAS Signaling Dn	3/200	0.05514889117814504	0.16544667353443512	0	0	3.6175769066112164	10.482720030479646	CLDN8;GPRC5C;SLC29A3
Androgen Response	2/100	0.06902351244139765	0.18981465921384355	0	0	4.814382896015549	12.870328659591635	SLC26A2;PTK2B
Wnt-beta Catenin Signaling	1/42	0.16571074221421955	0.42065034562071113	0	0	5.702439024390244	10.250199880384558	MYC
Myc Targets V1	2/200	0.2125388044387241	0.4675853697651931	0	0	2.370851370851371	3.6715732136876564	MYC;GOT2
KRAS Signaling Up	2/200	0.2125388044387241	0.4675853697651931	0	0	2.370851370851371	3.6715732136876564	PLAU;DUSP6
Interferon Alpha Response	1/97	0.34230049098939735	0.5794442849420854	0	0	2.4286764705882353	2.6037021954467265	OASL
PI3K/AKT/mTOR  Signaling	1/105	0.364698585699192	0.5794442849420854	0	0	2.240950226244344	2.2604107705817387	GNA14
Fatty Acid Metabolism	1/158	0.49518128300875364	0.5794442849420854	0	0	1.4804795803671786	1.0405274697534328	ME1
UV Response Up	1/158	0.49518128300875364	0.5794442849420854	0	0	1.4804795803671786	1.0405274697534328	NPTXR
Apoptosis	1/161	0.5017172040124291	0.5794442849420854	0	0	1.4525	1.0018163487781477	TIMP2
Mitotic Spindle	1/199	0.5776097586829732	0.5794442849420854	0	0	1.1714795008912655	0.6429744858131342	ARHGEF3
IL-2/STAT5 Signaling	1/199	0.5776097586829732	0.5794442849420854	0	0	1.1714795008912655	0.6429744858131342	MYC
Hypoxia	1/200	0.5794442849420854	0.5794442849420854	0	0	1.1655335501034585	0.636015065932131	STC2
G2-M Checkpoint	1/200	0.5794442849420854	0.5794442849420854	0	0	1.1655335501034585	0.636015065932131	MYC
Adipogenesis	1/200	0.5794442849420854	0.5794442849420854	0	0	1.1655335501034585	0.636015065932131	ME1
Myogenesis	1/200	0.5794442849420854	0.5794442849420854	0	0	1.1655335501034585	0.636015065932131	STC2
Interferon Gamma Response	1/200	0.5794442849420854	0.5794442849420854	0	0	1.1655335501034585	0.636015065932131	OASL
Apical Junction	1/200	0.5794442849420854	0.5794442849420854	0	0	1.1655335501034585	0.636015065932131	CLDN8
E2F Targets	1/200	0.5794442849420854	0.5794442849420854	0	0	1.1655335501034585	0.636015065932131	MYC
Inflammatory Response	1/200	0.5794442849420854	0.5794442849420854	0	0	1.1655335501034585	0.636015065932131	MYC
Xenobiotic Metabolism	1/200	0.5794442849420854	0.5794442849420854	0	0	1.1655335501034585	0.636015065932131	PAPSS2
Oxidative Phosphorylation	1/200	0.5794442849420854	0.5794442849420854	0	0	1.1655335501034585	0.636015065932131	GOT2
Allograft Rejection	1/200	0.5794442849420854	0.5794442849420854	0	0	1.1655335501034585	0.636015065932131	HLA-DMB
