Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
amb2 Integrin signaling Homo sapiens 5d4f90b6-6188-11e5-8ac5-06603eb7f303	3/40	6.7603787799238E-4	0.04935076509344374	0	0	19.41745359817649	141.73307052493473	YES1;PLAU;CTGF
FGF signaling pathway Homo sapiens 98ed0df6-6192-11e5-8ac5-06603eb7f303	3/59	0.0020974812242110378	0.07655806468370288	0	0	12.817125645438898	79.04344547589636	PLAU;PTK2B;DUSP6
AP-1 transcription factor network Homo sapiens 3ce2f9c5-6189-11e5-8ac5-06603eb7f303	3/69	0.0032777744338807076	0.07975917789109721	0	0	10.869660460021906	62.18087759567566	PLAU;MYC;NFATC3
Osteopontin-mediated events Homo sapiens 94bf7f2a-6194-11e5-8ac5-06603eb7f303	2/31	0.007837281084236711	0.12066388051643402	0	0	16.325944170771756	79.16227161319938	PLAU;PTK2B
Alpha-synuclein signaling Homo sapiens 588134bc-6187-11e5-8ac5-06603eb7f303	2/32	0.008336574343939954	0.12066388051643402	0	0	15.780952380952382	75.54504286216243	YES1;PTK2B
Validated transcriptional targets of AP1 family members Fra1 and Fra2 Homo sapiens 76d028a7-6196-11e5-8ac5-06603eb7f303	2/35	0.009917579220528824	0.12066388051643402	0	0	14.344155844155845	66.17599439349425	PLAU;NFATC3
FOXM1 transcription factor network Homo sapiens c51cda49-6192-11e5-8ac5-06603eb7f303	2/40	0.012822194254667357	0.13371716865581673	0	0	12.453634085213032	54.2552243331824	MYC;NFATC3
IL2-mediated signaling events Homo sapiens a2a1883c-6193-11e5-8ac5-06603eb7f303	2/55	0.023420175322827873	0.1964570644186621	0	0	8.922282120395328	33.49565175775767	MYC;PTK2B
Thromboxane A2 receptor signaling Homo sapiens 27d5800d-6196-11e5-8ac5-06603eb7f303	2/56	0.024220733969424094	0.1964570644186621	0	0	8.756613756613756	32.579386361435965	GNA14;YES1
Endothelins Homo sapiens dfb9dc47-6191-11e5-8ac5-06603eb7f303	2/63	0.030130074139429686	0.21178930484351371	0	0	7.749024199843872	27.138876377223244	GNA14;PTK2B
LPA receptor mediated events Homo sapiens 4b994cde-6194-11e5-8ac5-06603eb7f303	2/65	0.031913456894228094	0.21178930484351371	0	0	7.5022675736961455	25.843267512966868	GNA14;PTK2B
E2F transcription factor network Homo sapiens bb4d0fd3-6191-11e5-8ac5-06603eb7f303	2/72	0.038470510433552325	0.23402893847077663	0	0	6.7496598639455785	21.98946911741363	PLAU;MYC
PAR4-mediated thrombin signaling events Homo sapiens c3b87da1-6194-11e5-8ac5-06603eb7f303	1/15	0.06261526327259834	0.27643646110499537	0	0	16.722689075630253	46.33432734971711	GNA14
CXCR4-mediated signaling events Homo sapiens 46a5529b-6191-11e5-8ac5-06603eb7f303	2/100	0.06902351244139765	0.27643646110499537	0	0	4.814382896015549	12.870328659591635	YES1;PTK2B
Beta5 beta6 beta7 and beta8 integrin cell surface interactions Homo sapiens 108637d6-618e-11e5-8ac5-06603eb7f303	1/17	0.0706656488135395	0.27643646110499537	0	0	14.630882352941176	38.768849097220134	PLAU
Hypoxic and oxygen homeostasis regulation of HIF-1-alpha Homo sapiens 4c0f3584-6193-11e5-8ac5-06603eb7f303	1/18	0.07466517827093744	0.27643646110499537	0	0	13.76955017301038	35.728422579909434	EGLN3
Sphingosine 1-phosphate (S1P) pathway Homo sapiens eff796f3-6195-11e5-8ac5-06603eb7f303	1/21	0.08656197393564473	0.27643646110499537	0	0	11.702352941176471	28.634424919991112	GNA14
C-MYC pathway Homo sapiens e3162de9-618e-11e5-8ac5-06603eb7f303	1/23	0.0944090551290999	0.27643646110499537	0	0	10.637433155080213	25.105600520866265	MYC
S1P2 pathway Homo sapiens 7796a240-6195-11e5-8ac5-06603eb7f303	1/24	0.09830757280729437	0.27643646110499537	0	0	10.174424552429668	23.601146819428006	GNA14
PDGFR-beta signaling pathway Homo sapiens c901a3e4-6194-11e5-8ac5-06603eb7f303	2/128	0.10508065966760403	0.27643646110499537	0	0	3.7392290249433104	8.424584088559756	YES1;MYC
Glypican 1 network Homo sapiens fb91e48c-6192-11e5-8ac5-06603eb7f303	1/27	0.1099038737594078	0.27643646110499537	0	0	8.999095022624434	19.871344206358376	YES1
IL8- and CXCR1-mediated signaling events Homo sapiens f6a58ef3-6193-11e5-8ac5-06603eb7f303	1/28	0.11373645491494558	0.27643646110499537	0	0	8.665359477124182	18.837376322734553	GNA14
Calcium signaling in the CD4+ TCR pathway Homo sapiens 5294f70b-618f-11e5-8ac5-06603eb7f303	1/29	0.117552724870697	0.27643646110499537	0	0	8.35546218487395	17.887944321802927	NFATC3
Beta2 integrin cell surface interactions Homo sapiens 95b6b434-618d-11e5-8ac5-06603eb7f303	1/29	0.117552724870697	0.27643646110499537	0	0	8.35546218487395	17.887944321802927	PLAU
S1P3 pathway Homo sapiens 7cb02d01-6195-11e5-8ac5-06603eb7f303	1/29	0.117552724870697	0.27643646110499537	0	0	8.35546218487395	17.887944321802927	GNA14
CD40/CD40L signaling Homo sapiens 1971792f-6190-11e5-8ac5-06603eb7f303	1/30	0.12135275220631468	0.27643646110499537	0	0	8.066937119675456	17.0136033150249	MYC
IL2 signaling events mediated by STAT5 Homo sapiens 9938526b-6193-11e5-8ac5-06603eb7f303	1/30	0.12135275220631468	0.27643646110499537	0	0	8.066937119675456	17.0136033150249	MYC
