Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
BL8333 (C1orf55)	4/206	0.012038022214318399	0.8084837181096299	0	0	4.760202849553248	21.038597704773448	KIAA1217;RBM28;RBM15;WRNIP1
BL8654 (BCCIP)	3/126	0.01709846802212676	0.8084837181096299	0	0	5.815750808110491	23.662931530201952	NIPBL;RBM15;WRNIP1
BL1118 (SMC5)	3/131	0.018942683473400876	0.8084837181096299	0	0	5.587161144578313	22.1605668690796	RBM28;RBM15;WRNIP1
BL2442 (RNF4)	4/237	0.019167430184546367	0.8084837181096299	0	0	4.1203810321365015	16.294223081776817	RBM28;NIPBL;RBM15;WRNIP1
BL2685 (ZBTB7A)	3/145	0.02467223207618354	0.8084837181096299	0	0	5.032750721194637	18.631630063507114	RBM28;RBM15;WRNIP1
BL131 (MSH6)	4/268	0.028469396033378887	0.8084837181096299	0	0	3.630820399113082	12.92181963857399	RBM28;NIPBL;RBM15;WRNIP1
BL2286 (ZC3H13)	4/275	0.030883815437175947	0.8084837181096299	0	0	3.5357753577535775	12.295740145525766	EPM2A;RBM28;RBM15;WRNIP1
BL5038 (CHD8)	3/159	0.03123576568804723	0.8084837181096299	0	0	4.577849860982391	15.867704297255992	RBM15;EAF1;WRNIP1
BL7740 (CCNK)	3/162	0.03275018416492613	0.8084837181096299	0	0	4.490793362127756	15.353334037572413	RBM28;RBM15;WRNIP1
SC-15402 (MKI67)	2/67	0.033737540369749436	0.8084837181096299	0	0	7.270695970695971	24.64143638145943	RBM28;WRNIP1
BL2762 (HNRNPU)	3/173	0.03862581613067791	0.8084837181096299	0	0	4.197873848334514	13.659186394981212	RBM28;RBM15;GOT2
BL8515 (CKAP2)	3/174	0.03918493808755054	0.8084837181096299	0	0	4.173113506658212	13.518646125588136	RBM28;RBM15;WRNIP1
BL8472 (MADD)	3/178	0.04146268740817141	0.8084837181096299	0	0	4.0769018932874355	12.976621173544334	RBM15;ME1;WRNIP1
BL1759 (CTBP1)	2/77	0.04344040984266654	0.8084837181096299	0	0	6.298095238095238	19.753126534025004	WRNIP1;GPRC5C
BL2753 (LCOR)	4/310	0.0447323765395157	0.8084837181096299	0	0	3.1257771401243426	9.71197003227885	RBM28;WRNIP1;NOL9;ANKRD50
BL956 (NF1)	2/79	0.04549200894918328	0.8084837181096299	0	0	6.133889919604205	18.95506069500997	RBM28;PAPSS2
BL8231 (TOP3A)	3/201	0.055816604749467556	0.8084837181096299	0	0	3.5991237677984667	10.385933430606459	RBM28;RBM15;EAF1
BL521 (EGLN1)	2/91	0.058515966222993196	0.8084837181096299	0	0	5.303638309256287	15.054142045405325	EGLN3;DUSP6
BL2222 (COL4A3BP)	2/91	0.058515966222993196	0.8084837181096299	0	0	5.303638309256287	15.054142045405325	EPM2A;RBM15
BL2800 (CCNA1)	3/206	0.05921319898939808	0.8084837181096299	0	0	3.5095851385838923	9.920231277442676	NIPBL;RBM15;WRNIP1
BL5913 (NUCKS1)	3/210	0.06199941711610479	0.8084837181096299	0	0	3.441068622315348	9.568339659534619	EPM2A;RBM28;RBM15
BL2838 (UIMC1)	4/347	0.06260252432316867	0.8084837181096299	0	0	2.7833321481902864	7.712473317116924	RBM28;RBM15;WRNIP1;NOL9
BL2457 (UBE2L3)	3/212	0.06341524714518601	0.8084837181096299	0	0	3.407793854845218	9.398869096491962	RBM28;RBM15;WRNIP1
BL2764 (HNRNPU)	3/222	0.0707176514970926	0.8084837181096299	0	0	3.250536392143918	8.610866161446987	RBM28;WRNIP1;NOL9
BL586 (FEN1)	4/362	0.07077886879589584	0.8084837181096299	0	0	2.6646682109279194	7.056560463042434	EPM2A;NIPBL;RBM15;PAPSS2
BL2841 (MED12)	2/102	0.07143746073477412	0.8084837181096299	0	0	4.717619047619047	12.44948005343785	RBM15;WRNIP1
BL1740 (CDK7)	3/229	0.07604586468151991	0.8084837181096299	0	0	3.1487365390766606	8.112463505638605	RBM28;RBM15;WRNIP1
BL1352 (FUS)	3/235	0.0807508120936116	0.8084837181096299	0	0	3.066368923971749	7.71617169487461	NIPBL;RBM15;WRNIP1
BL7558 (UPF1)	3/237	0.08234685934097079	0.8084837181096299	0	0	3.0398517145505095	7.589947240177338	NIPBL;RBM15;WRNIP1
BL3028 (HIST4H4)	1/20	0.08261326946777713	0.8084837181096299	0	0	12.318885448916408	30.718187529247054	NIPBL
BL3169 (ESPL1)	2/112	0.08390411125488344	0.8084837181096299	0	0	4.286580086580087	10.622491230942934	NIPBL;WRNIP1
BL2310 (MLLT3)	4/385	0.0843285024079409	0.8084837181096299	0	0	2.500864221240638	6.18472566035016	NIPBL;EAF1;WRNIP1;PAPSS2
BL580 (MDC1)	4/386	0.08494481932184986	0.8084837181096299	0	0	2.494189758651513	6.150056921917284	RBM28;FAM179B;RBM15;WRNIP1
BL2195 (USP4)	3/245	0.08886664861641667	0.8084837181096299	0	0	2.9381658866872447	7.112178298919228	RBM15;WRNIP1;PAPSS2
BL1873 (NCOA6)	2/122	0.09697654484794807	0.8084837181096299	0	0	3.927380952380952	9.1637035246627	RBM28;RBM15
BL5590 (MYBL2)	2/123	0.09831429456508352	0.8084837181096299	0	0	3.8947264856355766	9.034152424857972	WRNIP1;PAPSS2
BL7700 (ARHGAP29)	2/126	0.1023588626707606	0.8084837181096299	0	0	3.7999231950844856	8.661052380360013	EPM2A;WRNIP1
BL840 (UBE2A)	4/413	0.10241261019064425	0.8084837181096299	0	0	2.326316417198402	5.301082898761679	RBM28;RBM15;WRNIP1;PAPSS2
BL3837 (KDM5A)	3/263	0.10429705757922711	0.8084837181096299	0	0	2.7322520852641334	6.176288976865892	KIAA1217;WRNIP1;PAPSS2
BL7137 (CCDC28A)	2/129	0.10644898188957604	0.8084837181096299	0	0	3.709598800149981	8.309833143000272	RBM15;WRNIP1
BL990 (INCENP)	3/266	0.10696658776305248	0.8084837181096299	0	0	2.7006734160978514	6.036649890151567	RBM28;WRNIP1;NOL9
BL2292 (BTBD12)	4/420	0.10719450032337227	0.8084837181096299	0	0	2.2863508442776737	5.105673698912418	RBM28;RBM15;WRNIP1;PAPSS2
BL2449 (SMARCE1)	2/130	0.10782216469571927	0.8084837181096299	0	0	3.6804315476190474	8.197322252510986	RBM15;WRNIP1
BL8731 (MLLT1)	2/130	0.10782216469571927	0.8084837181096299	0	0	3.6804315476190474	8.197322252510986	EAF1;WRNIP1
BL1733 (SPEN)	2/131	0.10920014225785252	0.8084837181096299	0	0	3.65171650055371	8.086992447879068	RBM15;WRNIP1
BL844 (PRKD2)	3/273	0.11329906426768595	0.8084837181096299	0	0	2.6297188755020082	5.726802881095643	RBM28;RBM15;WRNIP1
