Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MAPK8	6/352	0.004110853083216828	0.6708927746116372	0	0	4.241618497109827	23.303980991910205	DUSP22;DUSP2;RBM15;MYC;KCNMA1;DUSP6
MAPK10	4/182	0.007892856171901615	0.6708927746116372	0	0	5.4086050972869275	26.18736907358684	DUSP2;MYC;NFATC3;DUSP6
MAPK9	4/222	0.015456390482797826	0.8292933490430359	0	0	4.407249944059074	18.377054374859142	DUSP2;MYC;NFATC3;DUSP6
SMARCA4	3/144	0.024235287081488203	0.8292933490430359	0	0	5.068700333247885	18.855289319990938	MYC;WRNIP1;PBX1
PTK2	3/163	0.03326340960165978	0.8292933490430359	0	0	4.4625	15.187214187379858	YES1;KCNMA1;PTK2B
HDAC3	3/164	0.03378083646378305	0.8292933490430359	0	0	4.4345581082092345	15.023669153525406	RBM15;MYC;PBX1
MAPK14	5/552	0.08933300547162945	0.8292933490430359	0	0	2.1855463019387456	5.278934131171563	DUSP22;DUSP2;MYC;AGPS;DUSP6
MAPK1	4/406	0.09773321624506136	0.8292933490430359	0	0	2.367673825991991	5.50605814600706	DUSP22;DUSP2;MYC;DUSP6
ATN1	2/124	0.09965730982184196	0.8292933490430359	0	0	3.862607338017174	8.907241585091118	TEP1;CRIP2
RFC1	2/128	0.10508065966760403	0.8292933490430359	0	0	3.7392290249433104	8.424584088559756	IGFBP5;MYC
ITGB1	2/129	0.10644898188957604	0.8292933490430359	0	0	3.709598800149981	8.309833143000272	TIMP2;PTK2B
CDK4	2/135	0.11475869934537765	0.8292933490430359	0	0	3.541174364482635	7.666372029966024	YES1;MYC
MAPK13	2/139	0.12038882474315822	0.8292933490430359	0	0	3.437087243656587	7.276411886089979	DUSP2;DUSP6
RUVBL1	2/147	0.13184791161622603	0.8292933490430359	0	0	3.246141215106732	6.577026859520895	MYC;EAF1
CUL1	2/151	0.13766921796169057	0.8292933490430359	0	0	3.158357302652605	6.262711251207276	FBXW5;MYC
JAK2	2/159	0.1494770295590744	0.8292933490430359	0	0	2.9962086745526237	5.694631798459699	YES1;PTK2B
RUVBL2	2/161	0.15246083134751892	0.8292933490430359	0	0	2.9582210242587603	5.563962794079106	MYC;EAF1
MDFI	2/163	0.1554565178753723	0.8292933490430359	0	0	2.9211771665187816	5.437447670750615	FBXW5;DUSP6
MAPK3	3/326	0.1654140350016831	0.8292933490430359	0	0	2.192286172553993	3.9445885013461175	DUSP2;MYC;DUSP6
FOS	2/173	0.17059885660194746	0.8292933490430359	0	0	2.7489557226399333	4.861364209732221	MYC;NFATC3
PRKCD	2/173	0.17059885660194746	0.8292933490430359	0	0	2.7489557226399333	4.861364209732221	YES1;PTK2B
GSK3B	5/696	0.18011463964947438	0.8292933490430359	0	0	1.7172285647924819	2.943607511259768	EPM2A;MYC;KCNMA1;NFATC3;WRNIP1
CBL	2/180	0.18134243915740958	0.8292933490430359	0	0	2.6399143927233815	4.507305637005851	YES1;PTK2B
SKP1	2/190	0.1968602956058781	0.8292933490430359	0	0	2.49822695035461	4.06027073457316	FBXW5;MYC
PRKCE	2/193	0.2015488866552961	0.8292933490430359	0	0	2.4586138120169534	3.9380190612255044	PTK2B;CRIP2
UBC	4/540	0.20289896972417729	0.8292933490430359	0	0	1.7635602475427739	2.812961676004037	EPM2A;INSIG2;MYC;WRNIP1
LCK	2/196	0.20625078940683342	0.8292933490430359	0	0	2.420225822287678	3.820719568921781	YES1;PTK2B
PRKCA	4/547	0.2091401622051749	0.8292933490430359	0	0	1.7401967389839643	2.7229739249075475	RBM15;PLAU;TEP1;KCNMA1
INSR	2/202	0.21569015969012842	0.8292933490430359	0	0	2.346904761904762	3.5999461914704916	YES1;PTK2B
CCT3	2/202	0.21569015969012842	0.8292933490430359	0	0	2.346904761904762	3.5999461914704916	MYC;EAF1
NR3C1	2/209	0.22675322900203948	0.8292933490430359	0	0	2.266735679779158	3.3635930941177485	ZBTB20;PBX1
IGF1R	2/215	0.2362698973774347	0.8292933490430359	0	0	2.2022132796780682	3.177310364541156	YES1;PTK2B
TGFBR1	2/216	0.23785847739985988	0.8292933490430359	0	0	2.1918113039608365	3.1476150950696846	FBXW5;DUSP6
GRIN2B	2/219	0.24262775603673706	0.8292933490430359	0	0	2.161180601272767	3.0607220564107385	GOT2;PTK2B
CCT8	2/232	0.2633364603371012	0.8292933490430359	0	0	2.03768115942029	2.718924323292658	MYC;EAF1
CDK2	4/675	0.33046970740720977	0.8292933490430359	0	0	1.3989313365562865	1.5489531258425258	MYC;GOT2;C1ORF198;NFATC3
PRKDC	2/296	0.36443150324530404	0.8292933490430359	0	0	1.5889212827988337	1.6038836221644208	MYC;PTK2B
VHL	2/314	0.3920764063176739	0.8292933490430359	0	0	1.495879120879121	1.4005894430425552	EGLN3;PAPSS2
BCL2	1/121	0.4072572721420906	0.8292933490430359	0	0	1.9405882352941177	1.743250157166395	MYC
TNIK	1/121	0.4072572721420906	0.8292933490430359	0	0	1.9405882352941177	1.743250157166395	GOT2
HSPA5	1/121	0.4072572721420906	0.8292933490430359	0	0	1.9405882352941177	1.743250157166395	EPM2A
PRKG1	1/121	0.4072572721420906	0.8292933490430359	0	0	1.9405882352941177	1.743250157166395	CRIP2
TAF9	1/122	0.4098215751066792	0.8292933490430359	0	0	1.924453087019932	1.716676423946221	MYC
