Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
HCC827 Nuclear N2 30609389	5/262	0.005461930289920657	0.2257321284955813	0	0	4.721381563145506	24.59817612758464	NIPBL;RBM15;MYC;ZBTB20;JADE2
HCC827 Secretory S3 30609389	6/379	0.0058631721687163975	0.2257321284955813	0	0	3.929155495978552	20.192183509187327	DUSP22;CYP27B1;PLAU;STC2;EDEM2;SUSD1
MCF7 Secretory Unclassified 30609389	15/1808	0.009762501084838095	0.2505708611775111	0	0	2.1351814175628228	9.884196022889055	SLC26A2;YES1;INSIG2;EDEM2;SUSD1;SLC1A4;DUSP22;GNA14;ARV1;SPTLC2;PLAU;CLDN23;TIMP2;NPTXR;ZNF211
H322 Secretory S3 30609389	6/543	0.02954355831894278	0.4784787112225265	0	0	2.7062849162011173	9.531236569709192	PLAU;STC2;KCNMA1;AGPS;EDEM2;NPTXR
U251 Secretory S3 30609389	4/280	0.032680460976264064	0.4784787112225265	0	0	3.4708377518557794	11.873659255138675	PLAU;EDEM2;TIMP2;CTGF
U251 Nuclear N2 30609389	3/172	0.03807083475906268	0.4784787112225265	0	0	4.222927211805803	13.80182164571413	NIPBL;RBM15;JADE2
U251 Secretory S2 30609389	3/182	0.04380608831522995	0.4784787112225265	0	0	3.984990240290772	12.464979609286747	ARV1;SPTLC2;KCNMA1
A431 Secretory Unclassified 30609389	9/1119	0.05083414873658447	0.4784787112225265	0	0	1.98006318006318	5.898978348621766	ARV1;YES1;STC2;CLDN23;AGPS;TIMP2;SLC1A4;VTCN1;NPTXR
MCF7 Nuclear N2 30609389	3/207	0.05990404332692402	0.4784787112225265	0	0	3.4922041105598867	9.830593945319784	NIPBL;RBM15;JADE2
H322 Secretory Unclassified 30609389	6/653	0.0621966861510589	0.4784787112225265	0	0	2.2334234930448225	6.203230027212145	DUSP22;YES1;ARHGEF3;TMCC3;VTCN1;GPRC5C
A431 Secretory S1 30609389	5/509	0.06835410160321807	0.4784787112225265	0	0	2.3772780717225164	6.378364747153597	DUSP22;ZNF251;SERINC3;GPRC5C;SLC29A3
A431 Secretory S3 30609389	3/228	0.07527398673244175	0.4830080815331679	0	0	3.1628915662650603	8.181200688297796	PLAU;EDEM2;ARHGEF3
U251 Secretory S4 30609389	3/241	0.08557986624164342	0.5068961308158879	0	0	2.9881542978637237	7.345795341346497	SLC26A2;YES1;SLC1A4
HCC827 Unclassified Unclassified 30609389	5/586	0.10804747115370096	0.5461709266203241	0	0	2.0540362508233994	4.570609834634929	KIAA1217;ZNF251;EAF1;ARHGEF3;ZNF701
