Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cercopithecine betaherpesvirus 5 tegument protein UL37 (gene: UL47)	5/229	0.0030924903260649817	0.49805603227988077	0	0	5.426036155202822	31.355861518273585	RBM28;TTC37;RBM15;ESRP1;LONRF3
Orf virus ORF057 putative protein-tyrosine phosphatase	3/76	0.0043041693309780115	0.49805603227988077	0	0	9.82389833305826	53.522279126978084	DUSP22;DUSP2;DUSP6
Human mastadenovirus B hexon assembly protein 100K (gene: L4)	3/110	0.011904691301593502	0.49805603227988077	0	0	6.690800585519649	29.645751313053328	RBM28;SRPK3;RBM15
Human adenovirus B3 L4 100-kDa protein (gene: L4)	3/110	0.011904691301593502	0.49805603227988077	0	0	6.690800585519649	29.645751313053328	RBM28;SRPK3;RBM15
Human T-lymphotropic virus 4 tax protein (gene: tax)	1/5	0.0213178505521487	0.49805603227988077	0	0	58.55882352941177	225.34667975778618	PTK2B
Monkeypox virus Zaire-96-I-16 Kelch-like protein (gene: C9L)	4/248	0.022211920523970655	0.49805603227988077	0	0	3.9324270291883248	14.971245868895435	FBXW5;KLHL28;ZBTB20;HOXB2
Human adenovirus 41 long fiber protein	1/6	0.025527220063161046	0.49805603227988077	0	0	46.84470588235294	171.82684693856828	VTCN1
Ectromelia virus ERPV virion morphogenesis protein	1/6	0.025527220063161046	0.49805603227988077	0	0	46.84470588235294	171.82684693856828	PTK2B
Human herpesvirus 3 strain Dumas helicase	2/66	0.032820462059880956	0.49805603227988077	0	0	7.384672619047619	25.231233939369243	PTK2B;ABCC11
Horsepox virus HSPV065 (putative membrane protein)	1/9	0.03804826600753207	0.49805603227988077	0	0	29.273529411764706	95.69223347722578	PTK2B
Human betaherpesvirus 5 envelope glycoprotein B (gene: UL55)	1/9	0.03804826600753207	0.49805603227988077	0	0	29.273529411764706	95.69223347722578	PTK2B
Vaccinia virus hypothetical protein (gene: E8R)	1/9	0.03804826600753207	0.49805603227988077	0	0	29.273529411764706	95.69223347722578	PTK2B
Human betaherpesvirus 5 DNA packaging terminase subunit 2 (gene: UL56)	1/9	0.03804826600753207	0.49805603227988077	0	0	29.273529411764706	95.69223347722578	PTK2B
Cercopithecine betaherpesvirus 5 envelope glycoprotein B (gene: UL55)	1/9	0.03804826600753207	0.49805603227988077	0	0	29.273529411764706	95.69223347722578	PTK2B
Vaccinia virus Ankara membrane protein, ass. with IV/IMV and core	1/9	0.03804826600753207	0.49805603227988077	0	0	29.273529411764706	95.69223347722578	PTK2B
Cowpox virus CPXV074 protein (gene: CPXV074 CDS)	1/9	0.03804826600753207	0.49805603227988077	0	0	29.273529411764706	95.69223347722578	PTK2B
Molluscum contagiosum virus subtype 1 MC042L (gene: MC042L)	1/9	0.03804826600753207	0.49805603227988077	0	0	29.273529411764706	95.69223347722578	PTK2B
Molluscum contagiosum virus subtype 1 MC114R (gene: MC114R)	1/9	0.03804826600753207	0.49805603227988077	0	0	29.273529411764706	95.69223347722578	PTK2B
Monkeypox virus Zaire-96-I-16 hypothetical protein (gene: F7R)	1/9	0.03804826600753207	0.49805603227988077	0	0	29.273529411764706	95.69223347722578	PTK2B
Ectromelia virus ERPV endoplasmic reticulum localized membrane protein	1/9	0.03804826600753207	0.49805603227988077	0	0	29.273529411764706	95.69223347722578	PTK2B
Cercopithecine betaherpesvirus 5 large tegument protein (gene: UL48)	3/179	0.042042402533257334	0.49805603227988077	0	0	4.0535323110624315	12.845954337018563	HOXB2;PBX1;OASL
Variola virus hypothetical protein (gene: A47R)	2/79	0.04549200894918328	0.49805603227988077	0	0	6.133889919604205	18.95506069500997	MYC;HOXB2
Human adenovirus 2 fiber	1/11	0.04630715680061324	0.49805603227988077	0	0	23.416470588235295	71.94614007723759	VTCN1
