Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
SKP1	1/5	0.0213178505521487	0.22727813218766216	0	0	58.55882352941177	225.34667975778618	FBXW5
DSTN	1/5	0.0213178505521487	0.22727813218766216	0	0	58.55882352941177	225.34667975778618	GOT2
ZSCAN30	1/5	0.0213178505521487	0.22727813218766216	0	0	58.55882352941177	225.34667975778618	ZSCAN32
PELP1	1/5	0.0213178505521487	0.22727813218766216	0	0	58.55882352941177	225.34667975778618	NOL9
FABP3	1/5	0.0213178505521487	0.22727813218766216	0	0	58.55882352941177	225.34667975778618	GOT2
CXXC1	1/5	0.0213178505521487	0.22727813218766216	0	0	58.55882352941177	225.34667975778618	BOD1L1
PPIF	1/6	0.025527220063161046	0.22727813218766216	0	0	46.84470588235294	171.82684693856828	GOT2
ZNF24	1/6	0.025527220063161046	0.22727813218766216	0	0	46.84470588235294	171.82684693856828	ZSCAN32
LTV1	1/6	0.025527220063161046	0.22727813218766216	0	0	46.84470588235294	171.82684693856828	RBM28
GPT2	1/6	0.025527220063161046	0.22727813218766216	0	0	46.84470588235294	171.82684693856828	GOT2
ZKSCAN3	1/7	0.029718695945433443	0.22727813218766216	0	0	39.03529411764706	137.24727196053433	ZSCAN32
GNA11	1/7	0.029718695945433443	0.22727813218766216	0	0	39.03529411764706	137.24727196053433	YES1
MYO19	1/8	0.03389235304552857	0.22727813218766216	0	0	33.457142857142856	113.23790361856584	ZBTB20
FABP7	1/8	0.03389235304552857	0.22727813218766216	0	0	33.457142857142856	113.23790361856584	GOT2
THOC1	1/8	0.03389235304552857	0.22727813218766216	0	0	33.457142857142856	113.23790361856584	RBM15
FABP5	1/8	0.03389235304552857	0.22727813218766216	0	0	33.457142857142856	113.23790361856584	GOT2
WDR5	1/8	0.03389235304552857	0.22727813218766216	0	0	33.457142857142856	113.23790361856584	BOD1L1
MRPS22	1/11	0.04630715680061324	0.27411291746287497	0	0	23.416470588235295	71.94614007723759	RBM28
C8orf33	1/11	0.04630715680061324	0.27411291746287497	0	0	23.416470588235295	71.94614007723759	RBM28
IMP3	1/12	0.05041028257884421	0.27411291746287497	0	0	21.28663101604278	63.595089599609956	RBM28
RRP1B	1/13	0.05449596012786739	0.27411291746287497	0	0	19.511764705882353	56.77199069596926	RBM28
GZF1	1/14	0.05856426270354889	0.27411291746287497	0	0	18.00995475113122	51.10559906499446	RBM28
ZNF771	1/15	0.06261526327259834	0.27411291746287497	0	0	16.722689075630253	46.33432734971711	RBM28
MYEF2	1/15	0.06261526327259834	0.27411291746287497	0	0	16.722689075630253	46.33432734971711	RBM28
ZNF770	1/15	0.06261526327259834	0.27411291746287497	0	0	16.722689075630253	46.33432734971711	RBM28
RPL36A	1/15	0.06261526327259834	0.27411291746287497	0	0	16.722689075630253	46.33432734971711	RBM28
RRP9	1/17	0.0706656488135395	0.27411291746287497	0	0	14.630882352941176	38.768849097220134	RBM28
RRS1	1/18	0.07466517827093744	0.27411291746287497	0	0	13.76955017301038	35.728422579909434	RBM28
DHX57	1/19	0.07864769465120389	0.27411291746287497	0	0	13.003921568627451	33.06607217254294	RBM28
NOP16	1/20	0.08261326946777713	0.27411291746287497	0	0	12.318885448916408	30.718187529247054	RBM28
GLTSCR2	1/20	0.08261326946777713	0.27411291746287497	0	0	12.318885448916408	30.718187529247054	RBM28
DDX27	1/21	0.08656197393564473	0.27411291746287497	0	0	11.702352941176471	28.634424919991112	RBM28
HERC5	1/21	0.08656197393564473	0.27411291746287497	0	0	11.702352941176471	28.634424919991112	RBM28
ZNF629	1/21	0.08656197393564473	0.27411291746287497	0	0	11.702352941176471	28.634424919991112	RBM28
REXO4	1/21	0.08656197393564473	0.27411291746287497	0	0	11.702352941176471	28.634424919991112	RBM28
DDX21	1/21	0.08656197393564473	0.27411291746287497	0	0	11.702352941176471	28.634424919991112	RBM28
H1F0	1/22	0.0904938789441273	0.27881897836839226	0	0	11.14453781512605	26.774451939878727	RBM28
NOL6	1/25	0.10218950202672386	0.30294168975294794	0	0	9.75	22.23903168224061	RBM28
BOP1	1/27	0.1099038737594078	0.30294168975294794	0	0	8.999095022624434	19.871344206358376	RBM28
ZC3HAV1	1/27	0.1099038737594078	0.30294168975294794	0	0	8.999095022624434	19.871344206358376	RBM28
YTHDC2	1/27	0.1099038737594078	0.30294168975294794	0	0	8.999095022624434	19.871344206358376	RBM28
CPSF6	1/29	0.117552724870697	0.30294168975294794	0	0	8.35546218487395	17.887944321802927	RBM15
GNL3	1/29	0.117552724870697	0.30294168975294794	0	0	8.35546218487395	17.887944321802927	RBM28
