Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
MELK human kinase ARCHS4 coexpression	37/299	5.840049911111948E-41	2.137458267466973E-38	0	0	40.180550945901096	3722.376444002342	TOP2A;FEN1;CDCA2;PCNA;CDCA4;DSCC1;HMGB2;BRCA1;MKI67;PKMYT1;TYMS;IQGAP3;LMNB2;AURKB;CHAF1A;RAD21;NUSAP1;MYBL2;CLSPN;CCT7;TCF19;GINS1;CENPU;RRM2;RFC2;ATAD2;CKAP2;CDC6;TUBG1;MASTL;NDC80;NASP;ESPL1;KIFC1;KIF4A;CDK1;KIF20A
AURKB human kinase ARCHS4 coexpression	34/299	3.1425994607980706E-36	3.833971342173646E-34	0	0	34.97830188679245	2859.406678639292	TOP2A;FEN1;CDCA2;PCNA;CDCA4;DSCC1;HMGB2;MRPL37;MKI67;PKMYT1;TYMS;IQGAP3;LMNB2;CHAF1A;NUSAP1;MYBL2;CLSPN;CCT7;TCF19;GINS1;CENPU;RRM2;RFC2;CKAP2;CDC6;TUBG1;MASTL;NDC80;NASP;ESPL1;KIFC1;KIF4A;CDK1;KIF20A
PLK4 human kinase ARCHS4 coexpression	34/299	3.1425994607980706E-36	3.833971342173646E-34	0	0	34.97830188679245	2859.406678639292	TOP2A;FEN1;CDCA2;PCNA;CDCA4;DSCC1;HMGB2;BRCA1;MKI67;TYMS;IQGAP3;AURKB;CHAF1A;NUSAP1;MYBL2;CLSPN;CCT7;ZNF367;TCF19;GINS1;CENPU;RRM2;ATAD2;CKAP2;NUP153;CDC6;MASTL;NDC80;NASP;ESPL1;KIFC1;KIF4A;CDK1;KIF20A
PBK human kinase ARCHS4 coexpression	32/299	3.552671623166753E-33	3.250694535197579E-31	0	0	31.787832776596822	2375.110834243813	TOP2A;FEN1;CDCA2;PCNA;CDCA4;HMGB2;BRCA1;MKI67;TYMS;IQGAP3;LMNB2;AURKB;RAD21;NUSAP1;MYBL2;CLSPN;CCT7;ZNF367;TCF19;GINS1;CENPU;RRM2;ATAD2;CKAP2;CDC6;TUBG1;MASTL;NDC80;ESPL1;KIFC1;KIF4A;KIF20A
MASTL human kinase ARCHS4 coexpression	31/299	1.1120821239819431E-31	6.783700956289853E-30	0	0	30.268955223880596	2157.3866038797487	FEN1;CDCA2;PCNA;CDCA4;DSCC1;HMGB2;BRCA1;MKI67;TYMS;IQGAP3;AURKB;CHAF1A;NUSAP1;MYBL2;CLSPN;CCT7;TCF19;GINS1;CENPU;RRM2;RFC2;ATAD2;NUP153;TUBG1;NDC80;NASP;ESPL1;KIFC1;KIF4A;CDK1;KIF20A
BUB1B human kinase ARCHS4 coexpression	31/299	1.1120821239819431E-31	6.783700956289853E-30	0	0	30.268955223880596	2157.3866038797487	TOP2A;FEN1;CDCA2;PCNA;CDCA4;DSCC1;HMGB2;BRCA1;MKI67;IQGAP3;LMNB2;AURKB;CHAF1A;RAD21;NUSAP1;MYBL2;CCT7;GINS1;CENPU;RRM2;CKAP2;NUP153;CDC6;MASTL;NDC80;NASP;ESPL1;KIFC1;KIF4A;CDK1;KIF20A
BUB1 human kinase ARCHS4 coexpression	30/299	3.315719700477405E-30	1.5169417629684128E-28	0	0	28.798180395225984	1954.788176132669	TOP2A;FEN1;CDCA2;PCNA;DSCC1;HMGB2;BRCA1;MKI67;IQGAP3;LMNB2;AURKB;CHAF1A;RAD21;NUSAP1;MYBL2;CCT7;GINS1;CENPU;RRM2;CKAP2;NUP153;CDC6;MASTL;NDC80;NASP;ESPL1;KIFC1;KIF4A;CDK1;KIF20A
PLK1 human kinase ARCHS4 coexpression	30/299	3.315719700477405E-30	1.5169417629684128E-28	0	0	28.798180395225984	1954.788176132669	TOP2A;FEN1;CDCA2;PCNA;CDCA4;HMGB2;MRPL37;MKI67;PKMYT1;TYMS;IQGAP3;LMNB2;AURKB;PPM1G;CHAF1A;NUSAP1;MYBL2;CCT7;GINS1;RRM2;CKAP2;NUP153;CDC6;TUBG1;NDC80;ESPL1;KIFC1;KIF4A;CDK1;KIF20A
AURKA human kinase ARCHS4 coexpression	29/299	9.408314110062523E-29	3.826047738092092E-27	0	0	27.373544973544973	1766.5072132575606	TOP2A;FEN1;PAXIP1;CDCA2;MTMR3;PCNA;CDCA4;HMGB2;MKI67;IQGAP3;LMNB2;AURKB;CHAF1A;NUSAP1;MYBL2;CCT7;TCF19;GINS1;CENPU;RRM2;CKAP2;CDC6;TUBG1;NDC80;ESPL1;KIFC1;KIF4A;CDK1;KIF20A
CDK1 human kinase ARCHS4 coexpression	27/299	6.504763797437834E-26	2.3807435498622475E-24	0	0	24.655342516753535	1429.87864080728	TOP2A;FEN1;CDCA2;PCNA;CDCA4;DSCC1;HMGB2;BRCA1;MKI67;TYMS;IQGAP3;AURKB;RAD21;CLSPN;GINS1;CENPU;RRM2;ATAD2;CKAP2;CDC6;TUBG1;MASTL;NDC80;ESPL1;KIFC1;KIF4A;KIF20A
