Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
BTG family proteins and cell cycle regulation Homo sapiens h btg2Pathway	2/9	9.776954322858967E-4	0.04692938074972304	0	0	54.63461538461539	378.634950030395	CHAF1B;CHAF1A
TNFR1 Signaling Pathway Homo sapiens h tnfr1Pathway	2/17	0.003592753073271419	0.08622607375851406	0	0	25.485897435897435	143.45594966129724	TNF;LMNB2
Cell Cycle: G2/M Checkpoint Homo sapiens h g2Pathway	2/22	0.005998067585202097	0.09596908136323355	0	0	19.109615384615385	97.770867842282	CDK1;BRCA1
Cell Cycle: G1/S Check Point  Homo sapiens h g1Pathway	2/26	0.008323428116563643	0.09879548828680398	0	0	15.92147435897436	76.24286296118709	SMAD4;CDK1
NFkB activation by Nontypeable Hemophilus influenzae Homo sapiens h nthiPathway	2/29	0.010291196696542082	0.09879548828680398	0	0	14.1502849002849	64.75830394643451	SMAD4;TNF
HIV-1 Nef: negative effector of Fas and TNF Homo sapiens h HivnefPathway	2/53	0.03217777872679021	0.1493311038418736	0	0	7.4822775263951735	25.712690836036508	TNF;LMNB2
cdc25 and chk1 Regulatory Pathway in response to DNA damage Homo sapiens h cdc25Pathway	1/7	0.03652047958894548	0.1493311038418736	0	0	31.56825396825397	104.48719845726775	CDK1
Visceral Fat Deposits and the Metabolic Syndrome Homo sapiens h vobesityPathway	1/8	0.041628694578224525	0.1493311038418736	0	0	27.057142857142857	86.01372572734715	TNF
BRCA1-dependent Ub-ligase activity Homo sapiens h bard1Pathway	1/8	0.041628694578224525	0.1493311038418736	0	0	27.057142857142857	86.01372572734715	BRCA1
Sonic Hedgehog Receptor Ptc1 Regulates cell cycle Homo sapiens h ptc1Pathway	1/9	0.046710081786484385	0.1493311038418736	0	0	23.673809523809524	72.5317052519737	CDK1
Cycling of Ran in nucleocytoplasmic transport Homo sapiens h ranPathway	1/9	0.046710081786484385	0.1493311038418736	0	0	23.673809523809524	72.5317052519737	NUP153
SODD/TNFR1 Signaling Pathway Homo sapiens h soddPathway	1/9	0.046710081786484385	0.1493311038418736	0	0	23.673809523809524	72.5317052519737	TNF
Regulation of Splicing through Sam68 Homo sapiens h sam68Pathway	1/10	0.05176478059643375	0.1493311038418736	0	0	21.04232804232804	62.30728596638391	CDK1
Apoptotic DNA fragmentation and tissue homeostasis Homo sapiens h DNAfragmentPathway	1/11	0.056792929712261776	0.1493311038418736	0	0	18.937142857142856	54.31822944685532	HMGB2
Protein Kinase A at the Centrosome Homo sapiens h akapCentrosomePathway	1/12	0.06179466715785234	0.1493311038418736	0	0	17.214718614718613	47.92471292911524	CDK1
Mechanism of Protein Import into the Nucleus Homo sapiens h npcPathway	1/12	0.06179466715785234	0.1493311038418736	0	0	17.214718614718613	47.92471292911524	NUP153
Granzyme A mediated Apoptosis Pathway Homo sapiens h setPathway	1/12	0.06179466715785234	0.1493311038418736	0	0	17.214718614718613	47.92471292911524	HMGB2
p53 Signaling Pathway Homo sapiens h p53Pathway	1/13	0.06677013024916706	0.1493311038418736	0	0	15.77936507936508	42.70684291496826	PCNA
IL-10 Anti-inflammatory Signaling Pathway Homo sapiens h il10Pathway	1/13	0.06677013024916706	0.1493311038418736	0	0	15.77936507936508	42.70684291496826	TNF
RB Tumor Suppressor/Checkpoint Signaling in response to DNA damage Homo sapiens h rbPathway	1/13	0.06677013024916706	0.1493311038418736	0	0	15.77936507936508	42.70684291496826	CDK1
AKAP95 role in mitosis and chromosome dynamics Homo sapiens h akap95Pathway	1/14	0.07171945564755952	0.1493311038418736	0	0	14.564835164835165	38.37824191326997	CDK1
Sumoylation by RanBP2 Regulates Transcriptional Repression Homo sapiens h ranbp2Pathway	1/14	0.07171945564755952	0.1493311038418736	0	0	14.564835164835165	38.37824191326997	NUP153
Stress Induction of HSP Regulation Homo sapiens h hsp27Pathway	1/14	0.07171945564755952	0.1493311038418736	0	0	14.564835164835165	38.37824191326997	TNF
Estrogen-responsive protein Efp controls cell cycle and breast tumors growth Homo sapiens h EfpPathway	1/15	0.07664277929367237	0.1493311038418736	0	0	13.523809523809524	34.73725554308256	CDK1
Cadmium induces DNA synthesis and proliferation in macrophages Homo sapiens h cdMacPathway	1/16	0.08154023643974265	0.1493311038418736	0	0	12.6215873015873	31.638011389100345	TNF
CDK Regulation of DNA Replication Homo sapiens h mcmPathway	1/18	0.0912580888842393	0.1493311038418736	0	0	11.135574229691876	26.659273431080635	CDC6
ATM Signaling Pathway Homo sapiens h atmPathway	1/18	0.0912580888842393	0.1493311038418736	0	0	11.135574229691876	26.659273431080635	BRCA1
Regulation of cell cycle progression by Plk3 Homo sapiens h plk3Pathway	1/18	0.0912580888842393	0.1493311038418736	0	0	11.135574229691876	26.659273431080635	CDK1
TGF beta signaling pathway Homo sapiens h tgfbPathway	1/20	0.10087408130420863	0.1493311038418736	0	0	9.962406015037594	22.852586421851232	SMAD4
NF-kB Signaling Pathway Homo sapiens h nfkbPathway	1/21	0.10564421088252372	0.1493311038418736	0	0	9.463809523809523	21.271599601670488	TNF
Phosphoinositides and their downstream targets. Homo sapiens h ptdinsPathway	1/21	0.10564421088252372	0.1493311038418736	0	0	9.463809523809523	21.271599601670488	PFKP
Role of BRCA1,  BRCA2 and ATR in Cancer Susceptibility Homo sapiens h atrbrcaPathway	1/22	0.1103892711343678	0.1493311038418736	0	0	9.012698412698413	19.861665014147402	BRCA1
Cyclins and Cell Cycle Regulation Homo sapiens h cellcyclePathway	1/23	0.11510939254477756	0.1493311038418736	0	0	8.602597402597402	18.59771757676144	CDK1
CTCF: First Multivalent Nuclear Factor Homo sapiens h ctcfPathway	1/23	0.11510939254477756	0.1493311038418736	0	0	8.602597402597402	18.59771757676144	SMAD4
How Progesterone Initiates the Oocyte Maturation Homo sapiens h mPRPathway	1/23	0.11510939254477756	0.1493311038418736	0	0	8.602597402597402	18.59771757676144	CDK1
TNF/Stress Related Signaling Homo sapiens h stressPathway	1/23	0.11510939254477756	0.1493311038418736	0	0	8.602597402597402	18.59771757676144	TNF
Caspase Cascade in Apoptosis Homo sapiens h caspasePathway	1/23	0.11510939254477756	0.1493311038418736	0	0	8.602597402597402	18.59771757676144	LMNB2
Stathmin and breast cancer resistance to antimicrotubule agents Homo sapiens h stathminPathway	1/24	0.11980470494974153	0.15133225888388405	0	0	8.228157349896481	17.45926389427172	CDK1
Control of Gene Expression by Vitamin D Receptor Homo sapiens h vdrPathway	1/27	0.1337430762062543	0.16049169144750516	0	0	7.277655677655678	14.6414399447917	CHAF1A
ALK in cardiac myocytes Homo sapiens h alkPathway	1/27	0.1337430762062543	0.16049169144750516	0	0	7.277655677655678	14.6414399447917	SMAD4
WNT Signaling Pathway Homo sapiens h wntPathway	1/30	0.14746277593480303	0.17263934743586695	0	0	6.523809523809524	12.487742462791424	SMAD4
Ceramide Signaling Pathway Homo sapiens h ceramidePathway	1/33	0.16096720242306567	0.1839625170549322	0	0	5.911309523809524	10.79732987706831	TNF
Signal transduction through IL1R Homo sapiens h il1rPathway	1/36	0.17425970165143273	0.19452245765741327	0	0	5.403809523809524	9.441582225640868	TNF
NFAT and Hypertrophy of the heart Homo sapiens h nfatPathway	1/44	0.20869517162400106	0.2276674599534557	0	0	4.396677740863788	6.889069059482109	TNF
IL-2 Receptor Beta Chain in T cell Activation Homo sapiens h il2rbPathway	1/49	0.22949094066533868	0.24479033670969458	0	0	3.937698412698413	5.795865707171542	PCNA
