Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cell cycle	25/453	9.174011947325044E-19	3.7338228625612925E-16	0	0	14.037440867658937	583.0134108570365	TOP2A;FEN1;PCNA;BRCA1;PKMYT1;TYMS;SYNE2;AURKB;RAD21;E2F2;MYBL2;CLSPN;POLE;GINS1;CENPU;SMAD4;RRM2;RFC2;NDE1;CDC6;TUBG1;NDC80;ESPL1;CDK1;KIF20A
DNA replication	13/207	7.326076318630828E-11	1.4908565308413734E-8	0	0	14.194656911650593	331.2606507329032	GINS1;CENPU;FEN1;PCNA;RFC2;NDE1;CDC6;NDC80;AURKB;RAD21;E2F2;KIF20A;POLE
Mitotic G1-G1/S phases	10/135	2.577264140477695E-9	3.4964883505814057E-7	0	0	16.474166666666665	325.8019734035491	TOP2A;PCNA;RRM2;CDK1;E2F2;MYBL2;CDC6;PKMYT1;TYMS;POLE
G1/S-specific transcription	5/17	2.236374354305822E-8	2.275510905506174E-6	0	0	82.02145214521452	1444.8755292936276	PCNA;RRM2;CDK1;CDC6;TYMS
Chromosome maintenance	8/103	7.469728255893656E-8	6.080358800297436E-6	0	0	17.01310418904404	279.1820135112803	CENPU;FEN1;PCNA;RFC2;RAD21;BRCA1;POLE;SYNE2
E2F transcription factor network	7/74	1.2924453392051598E-7	8.767087550941666E-6	0	0	20.92401628222524	331.88753164998366	RRM2;CDK1;E2F2;MYBL2;BRCA1;CDC6;TYMS
Polo-like kinase 1 (PLK1) pathway	6/46	1.5149871164237556E-7	8.80856794834955E-6	0	0	29.781	467.6417726525025	CENPU;CDK1;CLSPN;KIF20A;TUBG1;NDC80
G0 and early G1 pathway	5/25	1.8565666979749412E-7	9.445283075947513E-6	0	0	49.193069306930695	762.4614217741483	TOP2A;PCNA;CDK1;MYBL2;CDC6
E2F-mediated regulation of DNA replication	5/33	8.018900309674431E-7	3.626324917819437E-5	0	0	35.12376237623762	493.00746763734855	PCNA;RRM2;CDK1;CDC6;TYMS
M phase pathway	6/96	1.2104520379777814E-5	4.926539794569571E-4	0	0	13.202666666666667	149.4796888058574	CENPU;RAD21;NDE1;KIF20A;AURKB;NDC80
Extension of telomeres	4/28	1.3836168085567864E-5	5.119382191660109E-4	0	0	32.467320261437905	363.2516686003447	FEN1;PCNA;RFC2;POLE
DNA strand elongation	4/31	2.1004451033157103E-5	7.124009642079117E-4	0	0	28.855482933914306	310.79594849919926	GINS1;FEN1;PCNA;RFC2
S phase	6/112	2.9172802211870298E-5	9.133331154024009E-4	0	0	11.200754716981132	116.96134655632234	GINS1;FEN1;PCNA;RFC2;CDC6;POLE
Gap-filling DNA repair biosynthesis and ligation in global genomic nucleotide excision repair	3/16	7.706355543179465E-5	0.0021287433839284778	0	0	44.54294249439881	421.8608668346434	PCNA;RFC2;POLE
G2/M checkpoints	4/43	7.845491586959992E-5	0.0021287433839284778	0	0	19.96480643539467	188.727044077642	RFC2;CDK1;CLSPN;CDC6
DNA repair	5/105	2.411942335242499E-4	0.006135378315273107	0	0	9.799009900990098	81.62485097458836	FEN1;PCNA;RFC2;BRCA1;POLE
Telomere maintenance	4/59	2.711240182901598E-4	0.006491027967299708	0	0	14.145454545454545	116.17568754810841	FEN1;PCNA;RFC2;POLE
Validated nuclear estrogen receptor alpha network	4/64	3.708999435591739E-4	0.008264496895395214	0	0	12.963398692810458	102.40538204403322	SMAD4;PCNA;LMO4;BRCA1
Kinesins	3/27	3.858118943796291E-4	0.008264496895395214	0	0	24.114077669902912	189.54052387037814	KIFC1;KIF4A;KIF20A
G1 to S cell cycle control	4/67	4.4202159559342643E-4	0.008995139470326229	0	0	12.344226579520697	95.34868017935983	PCNA;CDK1;E2F2;POLE
Global genomic nucleotide excision repair (GG-NER)	3/33	7.032335998100724E-4	0.013629336910604736	0	0	19.285436893203883	140.00882807186724	PCNA;RFC2;POLE
Base excision repair	3/35	8.371366289525404E-4	0.015487027635621996	0	0	18.078276699029125	128.0940501293148	FEN1;PCNA;POLE
Meiosis	4/83	9.932498057067818E-4	0.01757620308359392	0	0	9.836187639612808	68.01259837739912	RAD21;MSH5;BRCA1;SYNE2
Aurora B signaling	3/39	0.001151099141388825	0.01906475182732143	0	0	16.066343042071196	108.72155417509774	KIF20A;AURKB;NDC80
Mitotic G2-G2/M phases	4/87	0.0011838114814623438	0.01906475182732143	0	0	9.360264587762815	63.078972605275645	NDE1;CDK1;TUBG1;PKMYT1
Apoptotic DNA fragmentation and tissue homeostasis	2/10	0.0012178956941286418	0.01906475182732143	0	0	47.80288461538461	320.78750745619243	TOP2A;HMGB2
EGFR1 pathway	5/152	0.001298854181111258	0.019579024137491928	0	0	6.65016501650165	44.19881088011786	RRM2;ESPL1;MYBL2;PKMYT1;TUBG1
Recruitment of NuMA to mitotic centrosomes	2/11	0.0014833966434543407	0.02012474779619722	0	0	42.48931623931624	276.75079580563613	CDK1;TUBG1
BTG family proteins and cell cycle regulation	2/11	0.0014833966434543407	0.02012474779619722	0	0	42.48931623931624	276.75079580563613	CHAF1B;CHAF1A
CDC6 association with the ORC-origin complex	2/11	0.0014833966434543407	0.02012474779619722	0	0	42.48931623931624	276.75079580563613	E2F2;CDC6
Pyrimidine metabolism	4/100	0.0019787776742230916	0.025979435916412847	0	0	8.087418300653594	50.34641073488114	RRM2;POLR1E;TYMS;POLE
Leading strand biosynthesis	2/14	0.0024290159012020714	0.029914953373777545	0	0	31.862179487179485	191.81889407044008	PCNA;RFC2
