Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
FAM46A	3/23	2.3722393462379196E-4	0.04057344296936119	0	0	28.94271844660194	241.5705729135497	ESPL1;POLR1E;WDR62
HIST1H4A	3/26	3.4426677207526855E-4	0.04057344296936119	0	0	25.163782186576615	200.65835702522787	CHAF1B;CHAF1A;NASP
HIST1H3A	3/26	3.4426677207526855E-4	0.04057344296936119	0	0	25.163782186576615	200.65835702522787	CHAF1B;CHAF1A;NASP
NUP50	3/28	4.3044927155977625E-4	0.04057344296936119	0	0	23.148349514563108	179.41547454949597	CDCA2;KIFC1;NUP153
PPP1CC	4/68	4.6774786962740575E-4	0.04057344296936119	0	0	12.150735294117647	93.16674886739321	CDCA2;NUP153;MKI67;NDC80
ASF1B	3/29	4.7827241221250915E-4	0.04057344296936119	0	0	22.256908140403286	170.16140946673625	CHAF1B;CHAF1A;NASP
CCNA2	3/35	8.371366289525404E-4	0.05788206012765588	0	0	18.078276699029125	128.0940501293148	PCNA;CDK1;PKMYT1
DNAJC7	3/36	9.097376837352594E-4	0.05788206012765588	0	0	17.529567519858784	122.74824179232586	ESPL1;WDR62;POLE
A1BG	2/10	0.0012178956941286418	0.0688787675901643	0	0	47.80288461538461	320.78750745619243	UBXN1;WDR62
RFC5	2/11	0.0014833966434543407	0.0752441321912222	0	0	42.48931623931624	276.75079580563613	RFC2;DSCC1
CCDC102B	3/44	0.0016364430405362907	0.0752441321912222	0	0	14.103480937721999	90.47707782812446	UBXN1;RAD21;CDK1
GINS3	2/12	0.0017739284603038633	0.0752441321912222	0	0	38.238461538461536	242.22378008037745	GINS1;CLSPN
CDKN1A	2/13	0.0020892234242243235	0.08180113253309082	0	0	34.76048951048951	214.5056893965526	PCNA;CDK1
TNFRSF1A	3/55	0.0031078873837272277	0.09053848041650892	0	0	11.113890963405526	64.16951791648675	GRK6;CDC6;TNF
C16orf45	2/16	0.003181041206578089	0.09053848041650892	0	0	27.307692307692307	157.03416022129693	TTC33;POLE
CCNB1	2/16	0.003181041206578089	0.09053848041650892	0	0	27.307692307692307	157.03416022129693	PCNA;CDK1
CCDC97	2/16	0.003181041206578089	0.09053848041650892	0	0	27.307692307692307	157.03416022129693	PAXIP1;TTC33
CDC20	2/17	0.003592753073271419	0.09053848041650892	0	0	25.485897435897435	143.45594966129724	CDK1;CCT7
RFC4	2/17	0.003592753073271419	0.09053848041650892	0	0	25.485897435897435	143.45594966129724	RFC2;DSCC1
LIN9	2/17	0.003592753073271419	0.09053848041650892	0	0	25.485897435897435	143.45594966129724	TCF19;MYBL2
TUBG2	2/18	0.004027920502030799	0.09053848041650892	0	0	23.891826923076923	131.75159999784861	TUBG1;CCT7
PPP1CA	3/62	0.0043620059122089685	0.09053848041650892	0	0	9.791838077999012	53.21690930347532	CDCA2;NUP153;MKI67
CKS2	2/19	0.004486288081431594	0.09053848041650892	0	0	22.485294117647058	121.57190587906537	CDK1;PKMYT1
USP47	3/63	0.004562650338549826	0.09053848041650892	0	0	9.628155339805826	51.89432855670723	FEN1;UBXN1;RAD21
P4HA2	3/64	0.004768802737103872	0.09053848041650892	0	0	9.469839248766514	50.62254091736864	DSCC1;WDR62;CCT7
B2M	2/20	0.00496760240434477	0.09053848041650892	0	0	21.235042735042736	112.64803627089995	CDCA2;NUSAP1
CDC27	2/20	0.00496760240434477	0.09053848041650892	0	0	21.235042735042736	112.64803627089995	DCLRE1C;RRM2
IL17RA	3/65	0.004980505798943516	0.09053848041650892	0	0	9.316630128405889	49.39885825464693	ESPL1;HTT;IQGAP3
MTA1	2/21	0.005471612052932313	0.09283501783141823	0	0	20.116396761133604	104.76985547464648	TCF19;ZNF512B
CKS1B	2/21	0.005471612052932313	0.09283501783141823	0	0	20.116396761133604	104.76985547464648	CDK1;PKMYT1
RAN	2/22	0.005998067585202097	0.09848440002799572	0	0	19.109615384615385	97.770867842282	CDCA2;NUP153
CDC40	2/23	0.0065467215206253225	0.10413378918744653	0	0	18.19871794871795	91.51754695457254	CCT7;ELAVL2
ZBBX	2/25	0.007709644419990715	0.11450337598191605	0	0	16.61454849498328	80.8344838642323	WDR62;POLE
PPP2R2C	2/26	0.008323428116563643	0.11450337598191605	0	0	15.92147435897436	76.24286296118709	CDCA4;CCT7
JUNB	2/26	0.008323428116563643	0.11450337598191605	0	0	15.92147435897436	76.24286296118709	NDE1;BRCA1
C16orf70	2/26	0.008323428116563643	0.11450337598191605	0	0	15.92147435897436	76.24286296118709	MASTL;S100A7
