Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Histone H3.1 complex (human)	3/10	1.690054201770089E-5	0.0018846129739726845	0	0	82.74757281553399	909.2439722339944	CHAF1B;CHAF1A;NASP
ESPL1-CDC2 complex (human)	2/2	2.7824931398148447E-5	0.0018846129739726845	0	0	39788.0	417359.3344884705	ESPL1;CDK1
RC complex during G2/M-phase of cell cycle (human)	3/13	3.981576705576094E-5	0.0018846129739726845	0	0	57.914563106796116	586.7467765663238	RFC2;CDK1;POLE
Chromatin assembly complex (CAF-1 complex) (human)	2/3	8.318623739974671E-5	0.002140286726391741	0	0	382.5576923076923	3593.9109409484317	CHAF1B;CHAF1A
BRCA1-LMO4-CTIP complex (human)	2/3	8.318623739974671E-5	0.002140286726391741	0	0	382.5576923076923	3593.9109409484317	LMO4;BRCA1
DNA synthesome complex (17 subunits) (human)	3/18	1.1142962034774952E-4	0.002140286726391741	0	0	38.6	351.34173063651644	TOP2A;PCNA;POLE
BRCA1-IRIS-pre-replication complex (human)	2/4	1.6579685908668418E-4	0.002140286726391741	0	0	191.26923076923077	1664.9503123519667	BRCA1;CDC6
LMO4-BRCA1-CTIP-LDB1 complex (human)	2/4	1.6579685908668418E-4	0.002140286726391741	0	0	191.26923076923077	1664.9503123519667	LMO4;BRCA1
CDC2-PCNA-CCNB1-GADD45A complex (human)	2/4	1.6579685908668418E-4	0.002140286726391741	0	0	191.26923076923077	1664.9503123519667	PCNA;CDK1
CDC2-PCNA-CCNB1-GADD45B complex (human)	2/4	1.6579685908668418E-4	0.002140286726391741	0	0	191.26923076923077	1664.9503123519667	PCNA;CDK1
CDC2-PCNA-CCNB1-GADD45G complex (human)	2/4	1.6579685908668418E-4	0.002140286726391741	0	0	191.26923076923077	1664.9503123519667	PCNA;CDK1
Cell cycle kinase complex CDC2 (human)	2/6	4.116287630670808E-4	0.00417509173968039	0	0	95.625	745.434042078488	PCNA;CDK1
PCNA-CHL12-RFC2-5 complex (human)	2/6	4.116287630670808E-4	0.00417509173968039	0	0	95.625	745.434042078488	PCNA;RFC2
ASF1-interacting protein complex (human)	2/6	4.116287630670808E-4	0.00417509173968039	0	0	95.625	745.434042078488	CHAF1B;CHAF1A
ASF1-histone containing complex (human)	2/7	5.742868349656288E-4	0.005436582037674619	0	0	76.49615384615385	570.8434889415518	CHAF1B;NASP
CTF18-cohesion-RFC-POLH complex (human)	2/8	7.630677920775641E-4	0.006772226654688382	0	0	63.743589743589745	457.56192080967276	RFC2;DSCC1
BASC complex (BRCA1-associated genome surveillance complex) (human)	2/12	0.0017739284603038633	0.014817520080185212	0	0	38.238461538461536	242.22378008037745	RFC2;BRCA1
RC complex during S-phase of cell cycle (human)	2/13	0.0020892234242243235	0.016481651457769662	0	0	34.76048951048951	214.5056893965526	RFC2;POLE
PCNA homotrimer complex (human)	1/1	0.005299930607652593	0.026115670262043224	0	0	19894.0	104245.78450366123	PCNA
PCNA-PAF complex (human)	1/2	0.010572067959447366	0.026115670262043224	0	0	189.45714285714286	861.9428220557891	PCNA
Securin-separase complex (human)	1/2	0.010572067959447366	0.026115670262043224	0	0	189.45714285714286	861.9428220557891	ESPL1
CyclinB1-Cdc2 complex (mouse)	1/2	0.010572067959447366	0.026115670262043224	0	0	189.45714285714286	861.9428220557891	CDK1
HUIC complex (human)	1/2	0.010572067959447366	0.026115670262043224	0	0	189.45714285714286	861.9428220557891	BRCA1
BRCA1-BACH1 complex (human)	1/2	0.010572067959447366	0.026115670262043224	0	0	189.45714285714286	861.9428220557891	BRCA1
Ectodermin-SMAD4 complex (human)	1/2	0.010572067959447366	0.026115670262043224	0	0	189.45714285714286	861.9428220557891	SMAD4
PCNA-p21 complex (human)	1/2	0.010572067959447366	0.026115670262043224	0	0	189.45714285714286	861.9428220557891	PCNA
Ripk2-Nod2 complex (mouse)	1/2	0.010572067959447366	0.026115670262043224	0	0	189.45714285714286	861.9428220557891	NOD2
LIN9-BMYB complex (human)	1/2	0.010572067959447366	0.026115670262043224	0	0	189.45714285714286	861.9428220557891	MYBL2
LMO4-CREB complex (human)	1/2	0.010572067959447366	0.026115670262043224	0	0	189.45714285714286	861.9428220557891	LMO4
RAD50-BRCA1 complex (human)	1/2	0.010572067959447366	0.026115670262043224	0	0	189.45714285714286	861.9428220557891	BRCA1
Ecsit complex (Ecsit2-Smad4) (mouse)	1/2	0.010572067959447366	0.026115670262043224	0	0	189.45714285714286	861.9428220557891	SMAD4
Artemis-DNA-PK complex (human)	1/2	0.010572067959447366	0.026115670262043224	0	0	189.45714285714286	861.9428220557891	DCLRE1C
SMAD4-SKI complex (human)	1/2	0.010572067959447366	0.026115670262043224	0	0	189.45714285714286	861.9428220557891	SMAD4
BRCA1-cABL complex (human)	1/2	0.010572067959447366	0.026115670262043224	0	0	189.45714285714286	861.9428220557891	BRCA1
BRCA1-SMAD3 complex (human)	1/2	0.010572067959447366	0.026115670262043224	0	0	189.45714285714286	861.9428220557891	BRCA1
BRCA1-VCP complex (human)	1/2	0.010572067959447366	0.026115670262043224	0	0	189.45714285714286	861.9428220557891	BRCA1
BRCA1-RAD51 complex (human)	1/2	0.010572067959447366	0.026115670262043224	0	0	189.45714285714286	861.9428220557891	BRCA1
Smad2-Smad4 complex (mouse)	1/2	0.010572067959447366	0.026115670262043224	0	0	189.45714285714286	861.9428220557891	SMAD4
Smad3-Smad4 complex (mouse)	1/2	0.010572067959447366	0.026115670262043224	0	0	189.45714285714286	861.9428220557891	SMAD4
CCNB2-CDC2 complex (human)	1/2	0.010572067959447366	0.026115670262043224	0	0	189.45714285714286	861.9428220557891	CDK1
CCNB1-CDC2 complex (human)	1/2	0.010572067959447366	0.026115670262043224	0	0	189.45714285714286	861.9428220557891	CDK1
CDC2-CCNA2 complex (human)	1/2	0.010572067959447366	0.026115670262043224	0	0	189.45714285714286	861.9428220557891	CDK1
ABIN2-NFKB1-MAP3K8 complex (human)	1/3	0.0158165326939135	0.026115670262043224	0	0	94.72380952380952	392.79117482031205	MAP3K8
PCNA-KU antigen complex (human)	1/3	0.0158165326939135	0.026115670262043224	0	0	94.72380952380952	392.79117482031205	PCNA
CRM1-Survivin-AuroraB mitotic complex (human)	1/3	0.0158165326939135	0.026115670262043224	0	0	94.72380952380952	392.79117482031205	AURKB
Smcb-Smcd-PW29 complex (mouse)	1/3	0.0158165326939135	0.026115670262043224	0	0	94.72380952380952	392.79117482031205	RAD21
RFC2-RIalpha complex (human)	1/3	0.0158165326939135	0.026115670262043224	0	0	94.72380952380952	392.79117482031205	RFC2
SMAD2-SMAD4-FAST1 complex (human)	1/3	0.0158165326939135	0.026115670262043224	0	0	94.72380952380952	392.79117482031205	SMAD4
ING1-p300-PCNA complex (human)	1/3	0.0158165326939135	0.026115670262043224	0	0	94.72380952380952	392.79117482031205	PCNA
Chromosomal passenger complex CPC (INCENP, BIRC5, AURKB) (human)	1/3	0.0158165326939135	0.026115670262043224	0	0	94.72380952380952	392.79117482031205	AURKB
BRCA1-CTIP-ZBRK1 repressor complex (human)	1/3	0.0158165326939135	0.026115670262043224	0	0	94.72380952380952	392.79117482031205	BRCA1
RalBP1-CDC2-CCNB1 complex (human)	1/3	0.0158165326939135	0.026115670262043224	0	0	94.72380952380952	392.79117482031205	CDK1
Htt-Dctn1-Hap1 complex (mouse)	1/3	0.0158165326939135	0.026115670262043224	0	0	94.72380952380952	392.79117482031205	HTT
SMAD3-SMAD4-CTCF protein-DNA complex (human)	1/3	0.0158165326939135	0.026115670262043224	0	0	94.72380952380952	392.79117482031205	SMAD4
SMAD3-SMAD4-SP1 complex (human)	1/3	0.0158165326939135	0.026115670262043224	0	0	94.72380952380952	392.79117482031205	SMAD4
SMAD3-SMAD4-cJUN complex (human)	1/3	0.0158165326939135	0.026115670262043224	0	0	94.72380952380952	392.79117482031205	SMAD4
PCNA-MLH1-PMS1 complex (human)	1/3	0.0158165326939135	0.026115670262043224	0	0	94.72380952380952	392.79117482031205	PCNA
PCNA-MSH2-MSH6 complex (human)	1/3	0.0158165326939135	0.026115670262043224	0	0	94.72380952380952	392.79117482031205	PCNA
