Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Replication Stress Triggers Genomic Instability	5/32	6.832600203651122E-7	2.7817135297695226E-4	0	0	36.42647598093143	517.1244719730123	PCNA;CHAF1A;NASP;CDC6;POLE
DNA Replication in DNA Machinery	4/15	9.72627108311022E-7	2.7817135297695226E-4	0	0	70.88413547237077	981.2678764147702	FEN1;PCNA;CDC6;POLE
Cell Cycle Overiew	7/107	1.6233332928858735E-6	3.095155478435732E-4	0	0	13.995757575757576	186.57784920203062	SMAD4;ESPL1;CDK1;CLSPN;CDC6;BRCA1;AURKB
Metaphase/Anaphase Phase Transition	3/8	7.94807179497088E-6	0.0011365742666808358	0	0	115.85825242718447	1360.4749368428515	ESPL1;CDK1;AURKB
APC/C-CDC20 Complex	4/33	2.7094515788232974E-5	0.0029311164196549186	0	0	26.862745098039216	282.4934417920487	ESPL1;RAD21;CDK1;AURKB
Single-Strand Mismatch	3/12	3.07459764299467E-5	0.0029311164196549186	0	0	64.35275080906149	668.6090841044804	FEN1;PCNA;POLE
Single Strand Mismatch DNA Repair Suppression in Cancer	3/14	5.04793949839557E-5	0.003994860840739231	0	0	52.64695498676081	520.8860941701963	FEN1;PCNA;POLE
Chromosome Condensation	3/15	6.285620203960329E-5	0.003994860840739231	0	0	48.25728155339806	466.872837290253	ESPL1;CDK1;AURKB
Single-Strand Base Excision	3/15	6.285620203960329E-5	0.003994860840739231	0	0	48.25728155339806	466.872837290253	FEN1;PCNA;POLE
Spindle Assembly	3/16	7.706355543179465E-5	0.004408035370698654	0	0	44.54294249439881	421.8608668346434	ESPL1;CDK1;AURKB
Single Strand Base Excision DNA Repair Impairment in Cancer	3/17	9.32168683564829E-5	0.00484727715453711	0	0	41.359223300970875	383.8376575809997	FEN1;PCNA;POLE
Sister Chromatid Cohesion	3/18	1.1142962034774952E-4	0.005311478569909394	0	0	38.6	351.34173063651644	PCNA;ESPL1;AURKB
Nuclear Envelope in Cell Division	3/21	1.7953072627457714E-4	0.007899351956081394	0	0	32.16181229773463	277.40091164091814	NUP153;LMNB2;SYNE2
G2/M Phase Transition	3/30	5.293731230241498E-4	0.021593541137490693	0	0	21.431499460625673	161.67531078544127	CDK1;KIF20A;PKMYT1
SCF/CCNF Complex	2/7	5.742868349656288E-4	0.021593541137490693	0	0	76.49615384615385	570.8434889415518	RRM2;NUSAP1
DNA Damage Checkpoint Impairment in Cancer	3/32	6.417660827575905E-4	0.021593541137490693	0	0	19.95145631067961	146.66887497828816	SMAD4;CDK1;BRCA1
Proteins with Altered Expression in Cancer-Associated Dysregulated DNA Repair	3/32	6.417660827575905E-4	0.021593541137490693	0	0	19.95145631067961	146.66887497828816	FEN1;BRCA1;POLE
Persisted DNA Repair Triggers Genomic Instability	3/33	7.032335998100724E-4	0.02197421680634469	0	0	19.285436893203883	140.00882807186724	FEN1;DCLRE1C;BRCA1
G1/S Phase Transition	3/34	7.683292589631011E-4	0.02197421680634469	0	0	18.66238647040401	133.8334264181811	CHAF1A;ATAD2;MYBL2
SCF/BTRC Complex	3/34	7.683292589631011E-4	0.02197421680634469	0	0	18.66238647040401	133.8334264181811	CDK1;CLSPN;AURKB
Genes with Mutation in Cancer-Associated Dysregulated DNA Repair	3/35	8.371366289525404E-4	0.02280200722670729	0	0	18.078276699029125	128.0940501293148	FEN1;BRCA1;POLE
Proteins with Altered Expression in Cancer-Associated Sustaining of Proliferative Signaling	5/175	0.0024088729666557193	0.06040856936902543	0	0	5.743739079790332	34.62668410457823	SMAD4;CDK1;E2F2;MYBL2;BRCA1
Hodgkin and Reed-Sternberg Cells in Hodgkin Lymphoma	2/14	0.0024290159012020714	0.06040856936902543	0	0	31.862179487179485	191.81889407044008	TNF;CCL28
NF-kB Signaling Activation in Huntington Disease	2/15	0.002793042329738444	0.06656750885876625	0	0	29.409763313609467	172.94775516727864	HTT;TNF
Genes with Mutations in Cancer-Associated Sustaining of Proliferative Signaling	4/112	0.0029861704691965755	0.06832358033521764	0	0	7.184458968772694	41.76874526250577	SMAD4;E2F2;MYBL2;BRCA1
SIRT7 Signaling in Aging	2/17	0.003592753073271419	0.07611313918189822	0	0	25.485897435897435	143.45594966129724	CDK1;POLR1E
Histone Phosphorylation	2/17	0.003592753073271419	0.07611313918189822	0	0	25.485897435897435	143.45594966129724	CDK1;AURKB
Proteins Involved in Psoriasis	3/59	0.0037926762397266526	0.0774789574687016	0	0	10.317961165048544	57.51936659367604	TNF;CCL28;S100A7
Single-Strand Nucleotide Excision	2/18	0.004027920502030799	0.07944725955729715	0	0	23.891826923076923	131.75159999784861	PCNA;POLE
rRNA Transcription and Processing	2/19	0.004486288081431594	0.08553855941929572	0	0	22.485294117647058	121.57190587906537	CDK1;POLR1E
Nuclear Lamina Cleavage	2/20	0.00496760240434477	0.0916602766221035	0	0	21.235042735042736	112.64803627089995	LMNB2;SYNE2
Proteins Involved in Inflammatory Bowel Diseases	3/66	0.005197801079391988	0.09205182630227303	0	0	9.168284789644012	48.22077366115591	MAP3K8;NOD2;TNF
Double Strand DNA non-Homologous Repair	2/21	0.005471612052932313	0.09205182630227303	0	0	20.116396761133604	104.76985547464648	FEN1;DCLRE1C
Glutamate Mediated Excitotoxicity in Glaucoma	2/21	0.005471612052932313	0.09205182630227303	0	0	20.116396761133604	104.76985547464648	HTT;TNF
IL4R -> ELK/SRF/HMGY Signaling	2/22	0.005998067585202097	0.09530262940932221	0	0	19.109615384615385	97.770867842282	CDK1;PKMYT1
OPTN Associated Glaucoma	2/22	0.005998067585202097	0.09530262940932221	0	0	19.109615384615385	97.770867842282	CDK1;HTT
AHR Signaling in Treg and Dendritic Cells Function	2/23	0.0065467215206253225	0.09601858230250472	0	0	18.19871794871795	91.51754695457254	SMAD4;ALDH1A1
APC/C-FZR1 Complex	2/23	0.0065467215206253225	0.09601858230250472	0	0	18.19871794871795	91.51754695457254	CDK1;AURKB
CUL4/CRL (SCF4) Complex	2/23	0.0065467215206253225	0.09601858230250472	0	0	18.19871794871795	91.51754695457254	PCNA;POLE
Lipids Enhance Apoptotic Cell Engulfment and Reduce Inflammation	2/25	0.007709644419990715	0.1049980144817783	0	0	16.61454849498328	80.8344838642323	ALDH1A1;TNF
Persistent Double Strand DNA non-Homologous Repair in Cancer	2/25	0.007709644419990715	0.1049980144817783	0	0	16.61454849498328	80.8344838642323	FEN1;DCLRE1C
Single Strand Nucleotide Excision DNA Repair Suppression in Cancer	2/25	0.007709644419990715	0.1049980144817783	0	0	16.61454849498328	80.8344838642323	PCNA;POLE
DREAM Complex and FOXM1/MYBL2 Promote Cell Cycle Progression in Cancer	2/28	0.009614441179994904	0.12498773533993375	0	0	14.695266272189349	68.25200286531897	CDK1;MYBL2
EZH2 Methyltransferase Role in Cancer	2/28	0.009614441179994904	0.12498773533993375	0	0	14.695266272189349	68.25200286531897	CDK1;BRCA1
Proteins Involved in Dental Caries	2/30	0.01098847209547699	0.13967568974695196	0	0	13.64423076923077	61.54787719458521	TNF;CCL28
Centriole Duplication and Separation	2/33	0.013201104241436237	0.1618824117286599	0	0	12.321960297766749	53.32272621422458	ESPL1;TUBG1
Proteins Involved in Spontaneous Abortion	3/93	0.013301526837844432	0.1618824117286599	0	0	6.409061488673139	27.686353794760805	BRCA1;TNF;CCL28
Proteins Involved in Pancreatic Cancer	3/94	0.013688063679900631	0.1631160921854825	0	0	6.338312173263629	27.199162257049622	SMAD4;BRCA1;TNF
Thymic Follicular Hyperplasia	2/36	0.01559016412360425	0.1797955178916778	0	0	11.233031674208144	46.741937364211324	MAP3K8;TNF
Proteins Involved in Colorectal Neoplasms	3/99	0.01571639142409771	0.1797955178916778	0	0	6.006674757281553	24.946027036921514	SMAD4;TYMS;TNF
Kinetochore Assembly	2/40	0.019039626484846625	0.20943589133331286	0	0	10.048582995951417	39.80477723238849	AURKB;NDC80
Interstitial Fibroblasts in Pyelonephritis	2/40	0.019039626484846625	0.20943589133331286	0	0	10.048582995951417	39.80477723238849	SMAD4;TNF
Macrophage Dysfunction	2/41	0.019947691306664163	0.2112977671742945	0	0	9.79043392504931	38.326042532433114	NOD2;TNF
Mesangial Cell Dysfunction in Glomerulonephritis	2/41	0.019947691306664163	0.2112977671742945	0	0	9.79043392504931	38.326042532433114	SMAD4;TNF
