Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Barasertib	1/5	0.02622300558108204	0.7838045796872699	0	0	47.357142857142854	172.43295370979877	AURKB
Tozasertib	1/8	0.041628694578224525	0.7838045796872699	0	0	27.057142857142857	86.01372572734715	AURKB
(s)-CR8	1/16	0.08154023643974265	0.7838045796872699	0	0	12.6215873015873	31.638011389100345	PKMYT1
Lapatinib	1/19	0.09607875125962116	0.7838045796872699	0	0	10.516402116402116	24.63558791711873	AURKB
XMD11-50	1/47	0.22123840740179573	0.7838045796872699	0	0	4.109316770186336	6.1989634907193745	AURKB
GSK429286A	1/48	0.22537556017488292	0.7838045796872699	0	0	4.021681864235056	5.9922541460255765	AURKB
SCH772984	1/52	0.24170758039791695	0.7838045796872699	0	0	3.7055088702147527	5.261921269428735	AURKB
XMD-12	1/59	0.2694719504191045	0.7838045796872699	0	0	3.257142857142857	4.271062030014721	AURKB
XMD13-2	1/77	0.3363271868901672	0.7838045796872699	0	0	2.4834586466165414	2.706152425654923	AURKB
Barasertib	1/85	0.36405993245682405	0.7838045796872699	0	0	2.246031746031746	2.2694730746637686	AURKB
Vemurafenib	1/89	0.37749266978674556	0.7838045796872699	0	0	2.1435064935064934	2.0882128749369477	AURKB
GW843682X	1/89	0.37749266978674556	0.7838045796872699	0	0	2.1435064935064934	2.0882128749369477	AURKB
ZM-447439	1/91	0.3841032532502064	0.7838045796872699	0	0	2.0956613756613756	2.0052207489993443	AURKB
WZ4003	1/92	0.3873824203534316	0.7838045796872699	0	0	2.0725274725274727	1.96546672933473	AURKB
MLN8054	1/96	0.4003270378587071	0.7838045796872699	0	0	1.984862155388471	1.8170886473975005	AURKB
WZ4002	1/98	0.40669736977067755	0.7838045796872699	0	0	1.943740795287187	1.7487562515727495	AURKB
ZG-10	1/100	0.41300066113378575	0.7838045796872699	0	0	1.9042809042809044	1.6839671916127796	AURKB
GW-5074	1/101	0.41612738529333887	0.7838045796872699	0	0	1.8851428571428572	1.6528251110148593	AURKB
Sorafenib	1/106	0.4315152445971842	0.7838045796872699	0	0	1.794920634920635	1.508545426817783	AURKB
PLX-4720	1/106	0.4315152445971842	0.7838045796872699	0	0	1.794920634920635	1.508545426817783	AURKB
OTSSP167	2/298	0.47029581882415056	0.7838045796872699	0	0	1.2732588357588357	0.9605380373783601	PKMYT1;AURKB
KIN001-111	1/121	0.47530921996402753	0.7838045796872699	0	0	1.5693650793650793	1.1672775774145348	AURKB
AZD7762	2/302	0.4772441568004881	0.7838045796872699	0	0	1.256025641025641	0.9291161546306695	PKMYT1;AURKB
RO-3306	1/122	0.4781070014725404	0.7838045796872699	0	0	1.5563164108618655	1.1484381250330276	AURKB
AG1478	1/123	0.4808900045253815	0.7838045796872699	0	0	1.5434816549570647	1.1300087201991638	AURKB
JWE-035	1/128	0.49458603438961035	0.7838045796872699	0	0	1.4823397075365579	1.0436177915192861	AURKB
HG-5-113-01	1/157	0.5672481367063006	0.7838045796872699	0	0	1.205006105006105	0.6831883816191409	AURKB
XMD16-144	1/160	0.5741466772114923	0.7838045796872699	0	0	1.1820904462413897	0.6559069752120049	AURKB
BI-D1870	1/164	0.5831755493982907	0.7838045796872699	0	0	1.1528483786152497	0.6216931143358645	AURKB
GSK1059615	1/165	0.585402977299334	0.7838045796872699	0	0	1.145760743321719	0.6135031112198323	AURKB
MRT67307	1/172	0.600668256217879	0.7838045796872699	0	0	1.0984683932052353	0.5599030523885644	AURKB
BMS-536924	1/184	0.6255527153897964	0.7838045796872699	0	0	1.0258131667967734	0.48122913985376015	AURKB
Palbociclib	1/184	0.6255527153897964	0.7838045796872699	0	0	1.0258131667967734	0.48122913985376015	AURKB
KIN001-220	1/190	0.6374125642831086	0.7838045796872699	0	0	0.9929453262786596	0.4471611766004294	AURKB
Dabrafenib	1/195	0.6470109521397635	0.7838045796872699	0	0	0.9671084928816888	0.4210713561076919	AURKB
WH-4-023	1/198	0.6526487199201279	0.7838045796872699	0	0	0.9522359197486101	0.406334533654951	AURKB
Crizotinib	1/200	0.6563575850020138	0.7838045796872699	0	0	0.9425699928212491	0.3968686613882323	AURKB
Baricitinib	1/203	0.6618474508713142	0.7838045796872699	0	0	0.9284299858557284	0.38318179677533837	AURKB
AZD4547	1/209	0.6725678759310245	0.7838045796872699	0	0	0.9013736263736264	0.35753186964272904	AURKB
HG-6-64-01	1/210	0.6743215852465134	0.7838045796872699	0	0	0.897015265436318	0.3534672080323572	AURKB
Torkinib	1/210	0.6743215852465134	0.7838045796872699	0	0	0.897015265436318	0.3534672080323572	PKMYT1
HG-9-91-01	1/213	0.6795270804236123	0.7838045796872699	0	0	0.8841868823000898	0.34161284587987184	AURKB
CP466722	1/228	0.7043436644685898	0.7838045796872699	0	0	0.8251311097126075	0.28919928029411396	AURKB
R406	1/234	0.713728522262418	0.7838045796872699	0	0	0.8036378499897813	0.2710289622960246	AURKB
NVP-TAE684	1/238	0.7198205323658602	0.7838045796872699	0	0	0.7899136025718304	0.25968674988533125	AURKB
AZD 5438	1/258	0.7484067415328226	0.7871065252898446	0	0	0.7277005743931814	0.21089394049539353	AURKB
HG-14-10-04	1/268	0.7615965394139067	0.7871065252898446	0	0	0.7000891742464777	0.19066112311265954	AURKB
BX-912	1/285	0.7824654033481518	0.7871065252898446	0	0	0.6576123407109322	0.16131597041833748	AURKB
THZ1	1/289	0.7871065252898446	0.7871065252898446	0	0	0.6483465608465608	0.15520877474099742	AURKB
