Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
pyrimidine deoxyribonucleotides biosynthesis from CTP Homo sapiens PWY-7210	2/15	0.002793042329738444	0.02374085980277677	0	0	29.409763313609467	172.94775516727864	RRM2;TYMS
pyrimidine deoxyribonucleotides de novo biosynthesis Homo sapiens PWY-7184	2/15	0.002793042329738444	0.02374085980277677	0	0	29.409763313609467	172.94775516727864	RRM2;TYMS
superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis Homo sapiens PWY-7211	2/21	0.005471612052932313	0.03100580163328311	0	0	20.116396761133604	104.76985547464648	RRM2;TYMS
pyrimidine deoxyribonucleosides salvage Homo sapiens PWY-7199	1/5	0.02622300558108204	0.11144777371959867	0	0	47.357142857142854	172.43295370979877	TYMS
retinoate biosynthesis I Homo sapiens PWY-6872	1/8	0.041628694578224525	0.1379256864440643	0	0	27.057142857142857	86.01372572734715	ALDH1A1
adenosine deoxyribonucleotides de novo biosynthesis Homo sapiens PWY-7227	1/11	0.056792929712261776	0.1379256864440643	0	0	18.937142857142856	54.31822944685532	RRM2
guanosine deoxyribonucleotides de novo biosynthesis Homo sapiens PWY-7226	1/11	0.056792929712261776	0.1379256864440643	0	0	18.937142857142856	54.31822944685532	RRM2
bile acid biosynthesis, neutral pathway Homo sapiens PWY-6061	1/14	0.07171945564755952	0.1386184019475625	0	0	14.564835164835165	38.37824191326997	HSD3B7
guanosine nucleotides de novo biosynthesis Homo sapiens PWY-7228	1/15	0.07664277929367237	0.1386184019475625	0	0	13.523809523809524	34.73725554308256	RRM2
superpathway of pyrimidine deoxyribonucleoside salvage Homo sapiens PWY-7200	1/16	0.08154023643974265	0.1386184019475625	0	0	12.6215873015873	31.638011389100345	TYMS
D-myo-inositol-5-phosphate metabolism Homo sapiens PWY-6367	1/19	0.09607875125962116	0.14290494851429558	0	0	10.516402116402116	24.63558791711873	MTMR3
3-phosphoinositide degradation Homo sapiens PWY-6368	1/20	0.10087408130420863	0.14290494851429558	0	0	9.962406015037594	22.852586421851232	MTMR3
glycolysis Homo sapiens PWY66-400	1/24	0.11980470494974153	0.15666769108812353	0	0	8.228157349896481	17.45926389427172	PFKP
superpathway of purine nucleotide salvage Homo sapiens PWY66-409	1/45	0.21289832809904788	0.23064682878477488	0	0	4.296536796536796	6.646487038527603	RRM2
purine nucleotides de novo biosynthesis Homo sapiens PWY-841	1/45	0.21289832809904788	0.23064682878477488	0	0	4.296536796536796	6.646487038527603	RRM2
superpathway of conversion of glucose to acetyl CoA and entry into the TCA cycle Homo sapiens PWY66-407	1/46	0.21707936826802343	0.23064682878477488	0	0	4.200846560846561	6.416760522811149	PFKP
superpathway of inositol phosphate compounds Homo sapiens PWY-6371	1/68	0.30369393396631833	0.30369393396631833	0	0	2.8183368869936034	3.3587103743546707	MTMR3
