Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
CDK1	15/494	5.190030473172492E-8	3.5292207217572946E-6	0	0	6.681158090343894	112.0693527901408	TOP2A;FEN1;RRM2;NDE1;CKAP2;BRCA1;MKI67;LMNB2;CHAF1B;NASP;ESPL1;ZNF516;NUSAP1;CDK1;MYBL2
PLK1	6/77	3.357908649732756E-6	1.141688940909137E-4	0	0	16.751830985915493	211.1432975062085	TOP2A;CENPU;ESPL1;CLSPN;CDC6;PKMYT1
CHEK1	7/137	8.409130116788492E-6	1.906069493138725E-4	0	0	10.74965034965035	125.62248354866786	FEN1;KIFC1;CDK1;NUP153;CLSPN;MKI67;AURKB
AURKB	5/77	5.549179504241295E-5	9.433605157210201E-4	0	0	13.628987898789878	133.55420564199798	NUSAP1;CKAP2;MKI67;AURKB;NDC80
CDK2	11/553	1.696479496415201E-4	0.0023072121151246736	0	0	4.134239658186056	35.89258048182019	SMAD4;UBXN1;RRM2;NDE1;NUP153;MYBL2;CDC6;BRCA1;MKI67;TUBG1;LMNB2
MAPK1	7/326	0.00176178856734441	0.019966937096569982	0	0	4.338842975206612	27.51445058770662	TOP2A;SMAD4;ESPL1;MAST2;NDE1;NUP153;MYBL2
CSNK2A1	6/286	0.004196941826153656	0.03003294011003136	0	0	4.203	23.004696650747753	TOP2A;CDK1;MYBL2;BRCA1;TYMS;TNF
AKT1	5/210	0.005234685777198706	0.03003294011003136	0	0	4.754648635595267	24.973546903487673	TBC1D1;HTT;MAP3K8;BRCA1;PKMYT1
WEE2	1/1	0.005299930607652593	0.03003294011003136	0	0	19894.0	104245.78450366123	CDK1
PKMYT1	1/1	0.005299930607652593	0.03003294011003136	0	0	19894.0	104245.78450366123	CDK1
PDIK1L	1/1	0.005299930607652593	0.03003294011003136	0	0	19894.0	104245.78450366123	TNF
TRRAP	1/1	0.005299930607652593	0.03003294011003136	0	0	19894.0	104245.78450366123	BRCA1
NEK1	1/2	0.010572067959447366	0.048475303831169284	0	0	189.45714285714286	861.9428220557891	NDC80
ATM	4/161	0.010650447072557986	0.048475303831169284	0	0	4.929936305732484	22.392526997550394	DCLRE1C;NASP;NUSAP1;BRCA1
PRKCB	5/250	0.010693081727463813	0.048475303831169284	0	0	3.9702970297029703	18.017836475015205	TOP2A;GRK6;HMGB2;MAP3K8;CLSPN
WEE1	1/4	0.02103346472728197	0.08347148434014498	0	0	63.146031746031746	243.84727683680757	CDK1
CDC7	1/4	0.02103346472728197	0.08347148434014498	0	0	63.146031746031746	243.84727683680757	CLSPN
GSK3B	7/527	0.02209539291356779	0.08347148434014498	0	0	2.6343822843822844	10.043282554910519	TOP2A;SMAD4;CHAF1B;MYBL2;CDC6;BRCA1;MKI67
BMPR2	1/5	0.02622300558108204	0.08915821897567894	0	0	47.357142857142854	172.43295370979877	MAP3K8
NLK	1/5	0.02622300558108204	0.08915821897567894	0	0	47.357142857142854	172.43295370979877	SMAD4
BRSK1	1/6	0.03138529680575103	0.09700909921777591	0	0	37.883809523809525	131.13161496811227	TUBG1
GRK6	1/6	0.03138529680575103	0.09700909921777591	0	0	37.883809523809525	131.13161496811227	GRK6
CSNK2A2	4/229	0.033644280859500116	0.09947004775852207	0	0	3.428148148148148	11.627977516603758	TOP2A;CDK1;TYMS;TNF
NEK2	1/7	0.03652047958894548	0.10322150872884933	0	0	31.56825396825397	104.48719845726775	NDC80
ATR	2/58	0.03794908409148872	0.10322150872884933	0	0	6.8125	22.28716126217046	DCLRE1C;BRCA1
MAP2K2	1/8	0.041628694578224525	0.10887504735843337	0	0	27.057142857142857	86.01372572734715	SMAD4
MELK	1/9	0.046710081786484385	0.11764020598077549	0	0	23.673809523809524	72.5317052519737	SMAD4
SGK2	1/10	0.05176478059643375	0.12137948553646534	0	0	21.04232804232804	62.30728596638391	HTT
STK4	1/10	0.05176478059643375	0.12137948553646534	0	0	21.04232804232804	62.30728596638391	AURKB
EIF2AK2	1/11	0.056792929712261776	0.1287306406811267	0	0	18.937142857142856	54.31822944685532	CDK1
MAPK14	5/396	0.05962250100507241	0.13078484091435238	0	0	2.4692968018029426	6.962731115418793	FEN1;CHAF1B;MYBL2;CDC6;MKI67
SGK494	1/13	0.06677013024916706	0.13354026049833412	0	0	15.77936507936508	42.70684291496826	HTT
SGK3	1/13	0.06677013024916706	0.13354026049833412	0	0	15.77936507936508	42.70684291496826	HTT
SGK223	1/13	0.06677013024916706	0.13354026049833412	0	0	15.77936507936508	42.70684291496826	HTT
PRKDC	3/180	0.07071610358590556	0.13739128696690223	0	0	3.2445285502715158	8.595022046439505	DCLRE1C;NASP;BRCA1
CDK4	1/17	0.08641196167957486	0.15881117281651597	0	0	11.832142857142857	28.97253011271759	BRCA1
ERBB2	1/17	0.08641196167957486	0.15881117281651597	0	0	11.832142857142857	28.97253011271759	CDK1
PLK3	1/18	0.0912580888842393	0.16095716846926858	0	0	11.135574229691876	26.659273431080635	TOP2A
MAPK3	3/202	0.09231367015149228	0.16095716846926858	0	0	2.88261696833683	6.868016655278449	TOP2A;SMAD4;NUP153
MAP3K8	1/19	0.09607875125962116	0.16333387714135597	0	0	10.516402116402116	24.63558791711873	CDK1
CDK7	1/21	0.10564421088252372	0.17521478878077104	0	0	9.463809523809523	21.271599601670488	CDK1
CHEK2	1/23	0.11510939254477756	0.18570111081535526	0	0	8.602597402597402	18.59771757676144	BRCA1
MAPK8	3/225	0.1174286436038276	0.18570111081535526	0	0	2.580949881920756	5.528199574624453	SMAD4;NASP;ZNF516
STK11	1/25	0.1244753374689266	0.1880960655086002	0	0	7.884920634920635	16.42939655103013	SMAD4
IKBKB	1/25	0.1244753374689266	0.1880960655086002	0	0	7.884920634920635	16.42939655103013	MAP3K8
PRKCQ	1/35	0.16985221163922948	0.2429558544927593	0	0	5.563025210084033	9.862278864903406	RASGRP3
AURKA	1/36	0.17425970165143273	0.2429558544927593	0	0	5.403809523809524	9.441582225640868	BRCA1
CDK15	1/36	0.17425970165143273	0.2429558544927593	0	0	5.403809523809524	9.441582225640868	RRM2
CDK18	1/37	0.17864401065644064	0.2429558544927593	0	0	5.253439153439153	9.048314619475114	RRM2
PRKCG	1/37	0.17864401065644064	0.2429558544927593	0	0	5.253439153439153	9.048314619475114	TOP2A
CDK11A	1/38	0.18300525944013887	0.2440070125868518	0	0	5.111196911196911	8.680041017660667	RRM2
CDK14	1/43	0.20446978293551085	0.26617800388266183	0	0	4.501587301587302	7.145527417540153	RRM2
PRKCA	4/442	0.20746226773207468	0.26617800388266183	0	0	1.7419643656549377	2.7397716543887287	TOP2A;SLC6A9;STOM;BRCA1
PRKAA1	1/53	0.2457370008212327	0.3094465936267375	0	0	3.634065934065934	5.100387616495913	TBC1D1
SGK1	1/68	0.30369393396631833	0.37547613654017536	0	0	2.8183368869936034	3.3587103743546707	HTT
EGFR	1/72	0.3183893182917479	0.3866156007828367	0	0	2.659020791415158	3.043197108910819	PCNA
LYN	1/82	0.35379732293855676	0.4220739992951203	0	0	2.329570840681952	2.4204964689786492	CDK1
CSNK1A1	1/84	0.3606571293184515	0.42283939299404655	0	0	2.2732071141709698	2.318279247019639	TNF
IGF1R	1/86	0.36744479460287716	0.4234956954745025	0	0	2.2194957983193278	2.22211966490254	CDK1
CAMK2A	1/90	0.3808067001974504	0.43158092689044375	0	0	2.1193151417870517	2.0461211625404925	ESPL1
CDK5	1/97	0.40352062788235465	0.4498262737049199	0	0	1.9640873015873015	1.7824635728667912	HTT
PRKCD	1/104	0.4254089104291192	0.4657624862318813	0	0	1.8299583911234396	1.5640735444024818	RASGRP3
PRKG1	1/106	0.4315152445971842	0.4657624862318813	0	0	1.794920634920635	1.508545426817783	AURKB
PRKACB	1/111	0.4465012843506939	0.4744076146226123	0	0	1.712900432900433	1.3811338904949129	NDC80
RPS6KA3	2/332	0.5275631652380484	0.5519122344028814	0	0	1.1400932400932402	0.7290744367492407	CDK1;MAP3K8
PRKACG	1/176	0.6091399032705527	0.6275986882181451	0	0	1.0731428571428572	0.5319647604957148	STOM
PRKACA	2/393	0.6194943965301061	0.6287405815529435	0	0	0.9592268345465277	0.4593273266465483	ESPL1;NDE1
SRC	1/259	0.7497576040124219	0.7497576040124219	0	0	0.72484311554079	0.20875867296311124	CDK1
