Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cell cycle	8/124	3.156053631520834E-7	4.607838302020418E-5	0	0	13.918367346938776	208.34088489066704	SMAD4;PCNA;ESPL1;RAD21;CDK1;E2F2;CDC6;PKMYT1
DNA replication	4/36	3.852944945362921E-5	0.0028126498101149326	0	0	24.340686274509803	247.4008696850819	FEN1;PCNA;RFC2;POLE
Base excision repair	3/33	7.032335998100724E-4	0.034224035190756855	0	0	19.285436893203883	140.00882807186724	FEN1;PCNA;POLE
Nucleotide excision repair	3/47	0.0019806321999133575	0.06100532398735024	0	0	13.139894086496028	81.78715774594839	PCNA;RFC2;POLE
Non-homologous end-joining	2/13	0.0020892234242243235	0.06100532398735024	0	0	34.76048951048951	214.5056893965526	FEN1;DCLRE1C
Mismatch repair	2/23	0.0065467215206253225	0.15930355700188284	0	0	18.19871794871795	91.51754695457254	PCNA;RFC2
Chronic myeloid leukemia	3/76	0.007686682383868325	0.16032223257782507	0	0	7.908365474132198	38.50002681715753	SMAD4;MECOM;E2F2
Hepatitis B	4/162	0.01087652358659788	0.1984965554554113	0	0	4.898485976669149	22.14678307384609	SMAD4;PCNA;E2F2;TNF
Fructose and mannose metabolism	2/33	0.013201104241436237	0.1998457297265492	0	0	12.321960297766749	53.32272621422458	ENOSF1;PFKP
IL-17 signaling pathway	3/94	0.013688063679900631	0.1998457297265492	0	0	6.338312173263629	27.199162257049622	TNF;IL17RB;S100A7
TNF signaling pathway	3/112	0.021743053748599476	0.28858962248141123	0	0	5.286808586443396	20.240340172235275	MAP3K8;NOD2;TNF
Human T-cell leukemia virus 1 infection	4/219	0.029241063887847595	0.35124440151782943	0	0	3.589420884632923	12.678485183273049	SMAD4;ESPL1;E2F2;TNF
Oocyte meiosis	3/129	0.03127518643651906	0.35124440151782943	0	0	4.56957928802589	15.833273557163622	ESPL1;CDK1;PKMYT1
Pyrimidine metabolism	2/56	0.03559579031761306	0.3712132418836791	0	0	7.065527065527066	23.567262638464786	RRM2;TYMS
Inflammatory bowel disease	2/65	0.04663247763700703	0.43787816507064614	0	0	6.053418803418803	18.556501313815122	NOD2;TNF
Cellular senescence	3/156	0.05019837645630187	0.43787816507064614	0	0	3.7580430230344564	11.243210124572618	CDK1;E2F2;MYBL2
Hepatitis C	3/157	0.050985813741102635	0.43787816507064614	0	0	3.733451015004413	11.111526206839985	OAS3;E2F2;TNF
p53 signaling pathway	2/73	0.05734735211464239	0.4651507449298771	0	0	5.369176598049838	15.348481819745821	RRM2;CDK1
Pancreatic cancer	2/76	0.06156614433466432	0.4730872143611048	0	0	5.150727650727651	14.358390727688093	SMAD4;E2F2
MAPK signaling pathway	4/294	0.07122694210424879	0.49808317451108103	0	0	2.6509803921568627	7.003583031749472	MECOM;MAP3K8;TNF;RASGRP3
NOD-like receptor signaling pathway	3/181	0.07164210044337467	0.49808317451108103	0	0	3.2261372313734045	8.504331258738784	OAS3;NOD2;TNF
Primary bile acid biosynthesis	1/17	0.08641196167957486	0.512704436205089	0	0	11.832142857142857	28.97253011271759	HSD3B7
TGF-beta signaling pathway	2/94	0.0888901994044787	0.512704436205089	0	0	4.139214046822742	10.018360731365734	SMAD4;TNF
Epstein-Barr virus infection	3/202	0.09231367015149228	0.512704436205089	0	0	2.88261696833683	6.868016655278449	OAS3;E2F2;TNF
AGE-RAGE signaling pathway in diabetic complications	2/100	0.09866964028490886	0.512704436205089	0	0	3.8846153846153846	8.996683675058378	SMAD4;TNF
Viral protein interaction with cytokine and cytokine receptor	2/100	0.09866964028490886	0.512704436205089	0	0	3.8846153846153846	8.996683675058378	TNF;CCL28
Progesterone-mediated oocyte maturation	2/100	0.09866964028490886	0.512704436205089	0	0	3.8846153846153846	8.996683675058378	CDK1;PKMYT1
One carbon pool by folate	1/20	0.10087408130420863	0.512704436205089	0	0	9.962406015037594	22.852586421851232	TYMS
T cell receptor signaling pathway	2/104	0.10535022661748404	0.512704436205089	0	0	3.731523378582202	8.397662714069831	MAP3K8;TNF
