Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
SYK knockdown 190 GSE54065	13/300	6.86363188416222E-9	1.5854989652414728E-6	0	0	9.549698400209808	179.5059587834938	FEN1;PAXIP1;PCNA;TTC33;ATAD2;HMGB2;CDC6;BRCA1;PKMYT1;AURKB;CHAF1A;RAD21;CDK1
BRAF druginhibition 175 GSE42872	12/300	6.525842737851168E-8	3.01493934488724E-6	0	0	8.690602836879433	143.78524737742205	GINS1;CENPU;PYCRL;CDCA4;SLC43A3;E2F2;STOM;NUP153;WDR62;TUBG1;MASTL;MYO19
BRAF druginhibition 38 GDS5085	12/300	6.525842737851168E-8	3.01493934488724E-6	0	0	8.690602836879433	143.78524737742205	GINS1;CENPU;PYCRL;CDCA4;SLC43A3;E2F2;STOM;NUP153;WDR62;TUBG1;MASTL;MYO19
AURKA druginhibition 196 GSE57810	12/300	6.525842737851168E-8	3.01493934488724E-6	0	0	8.690602836879433	143.78524737742205	TOP2A;GINS1;RFC2;GRK6;ATAD2;HMGB2;CDC6;CCT7;POLE;ELAVL2;AURKB;PPM1G
IGF1R knockdown 52 GSE16684	12/300	6.525842737851168E-8	3.01493934488724E-6	0	0	8.690602836879433	143.78524737742205	TCF19;PCNA;RRM2;ESPL1;LMO4;RNF19A;NDE1;HMGB2;BLMH;MKI67;ZNF367;PFKP
FGFR3 druginhibition 36 GDS5023	11/300	5.656808971291811E-7	2.1778714539473472E-5	0	0	7.854853396466946	112.9939175263517	PAXIP1;CDCA4;RFC2;MYBL2;MRPL37;MKI67;TUBG1;TYMS;CCT7;POLE;LMNB2
BRAF overexpression 180 GSE46801	10/300	4.442169721079431E-6	1.465916007956212E-4	0	0	7.041666666666667	86.78408869245865	TCF19;CENPU;FEN1;RRM2;RFC2;CDK1;STOM;KIF20A;BRCA1;CCL28
IGF1R druginhibition 46 GSE14024	9/300	3.1365435036591314E-5	7.245415493452594E-4	0	0	6.250292273355298	64.81430623232144	TCF19;PCNA;ESPL1;MAST2;ATAD2;NUSAP1;CDK1;MKI67;ELAVL2
CDK8 knockdown 128 GSE30815	9/300	3.1365435036591314E-5	7.245415493452594E-4	0	0	6.250292273355298	64.81430623232144	CHAF1A;PCNA;NASP;KIFC1;ALDH1A1;ASMTL;POLR1E;PKMYT1;PPM1G
ERBB3 knockout 239 GSE32129	9/300	3.1365435036591314E-5	7.245415493452594E-4	0	0	6.250292273355298	64.81430623232144	TOP2A;TCF19;SLFN13;RRM2;CLSPN;MKI67;MASTL;IQGAP3;LMNB2
TGFBR2 knockout 296 GSE22989	8/300	1.9735894004091267E-4	0.003506916549957756	0	0	5.480011182555214	46.747161173960535	TCF19;CENPU;FEN1;RRM2;NDE1;GRK6;CKAP2;CCT7
RAF1 activemutant 219 GSE42964	8/300	1.9735894004091267E-4	0.003506916549957756	0	0	5.480011182555214	46.747161173960535	TOP2A;CDCA4;KIFC1;KIF4A;OAS3;CKAP2;PLIN2;TYMS
SYK druginhibition 288 GSE43510	8/300	1.9735894004091267E-4	0.003506916549957756	0	0	5.480011182555214	46.747161173960535	TCF19;RFC2;STOM;NUP153;CDC6;MASTL;CCT7;MYO19
ERBB3 knockdown 65 GSE19921	7/300	0.001094754973740862	0.015805524933383695	0	0	4.730134105560727	32.246387101438565	CENPU;FEN1;CDCA4;RFC2;MRPL37;AURKB;PFKP
SYK druginhibition 282 GSE43510	7/300	0.001094754973740862	0.015805524933383695	0	0	4.730134105560727	32.246387101438565	GINS1;PCNA;RFC2;ENOSF1;STOM;CDC6;MRPL37
MAPK14 knockout 13 GDS2693	7/300	0.001094754973740862	0.015805524933383695	0	0	4.730134105560727	32.246387101438565	TOM1L2;CDCA4;MAST2;GRK6;SNX24;CDC6;MYO19
RET knockout 270 GSE32093	6/300	0.005282855226026063	0.06422839774800107	0	0	4.0	20.97315425967354	GINS1;ZC3H12C;HTT;CDC6;ELAVL2;AURKB
AKT1 knockout 215 GSE39699	6/300	0.005282855226026063	0.06422839774800107	0	0	4.0	20.97315425967354	TOM1L2;PCNA;RFC2;RAD21;NDE1;GRK6
CDK8 knockdown 63 GSE19199	6/300	0.005282855226026063	0.06422839774800107	0	0	4.0	20.97315425967354	NASP;ATAD2;NUSAP1;CDK1;STOM;LMNB2
PDK1 knockout 265 GSE42187	5/300	0.02181326898686792	0.1574645354989528	0	0	3.288974660177882	12.581106987356256	NASP;RFC2;MYBL2;CDC6;TUBG1
TRIM28 knockout 303 GSE32224	5/300	0.02181326898686792	0.1574645354989528	0	0	3.288974660177882	12.581106987356256	GINS1;CDCA2;RFC2;SLC43A3;ZNF367
CDK4 knockdown 225 GSE8866	5/300	0.02181326898686792	0.1574645354989528	0	0	3.288974660177882	12.581106987356256	FEN1;RFC2;EMC4;MASTL;ZNF367
GSK3A knockdown 203 GDS4305	5/300	0.02181326898686792	0.1574645354989528	0	0	3.288974660177882	12.581106987356256	PCNA;ATAD2;CDC6;LMNB2;PPM1G
SYK knockdown 191 GSE54065	5/300	0.02181326898686792	0.1574645354989528	0	0	3.288974660177882	12.581106987356256	GINS1;SLC43A3;POLE;LMNB2;PPM1G
MELK druginhibition 186 GSE50227	5/300	0.02181326898686792	0.1574645354989528	0	0	3.288974660177882	12.581106987356256	RAD21;NDE1;E2F2;SYNE2;PPM1G
IKBKB knockdown 86 GSE27869	5/300	0.02181326898686792	0.1574645354989528	0	0	3.288974660177882	12.581106987356256	ZNF512B;MTMR3;HMGB2;NUP153;IL17RB
BTK mutant 1 GDS1346	5/300	0.02181326898686792	0.1574645354989528	0	0	3.288974660177882	12.581106987356256	ODF2L;FEN1;KIF4A;NDE1;CCT7
EGFR drugactivation 19 GDS2146	5/300	0.02181326898686792	0.1574645354989528	0	0	3.288974660177882	12.581106987356256	LMO4;RFC2;RAD21;HMGB2;RASGRP3
MAP3K1 knockout 245 GSE39240	5/300	0.02181326898686792	0.1574645354989528	0	0	3.288974660177882	12.581106987356256	ZNF512B;TOM1L2;SLC6A9;SLC43A3;MAP3K8
