Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
EGFR drugactivation 30 GDS4361	13/300	6.86363188416222E-9	1.6335443884306082E-6	0	0	9.549698400209808	179.5059587834938	TOP2A;CENPU;CDCA2;RFC2;SLC43A3;ATAD2;NUP153;MKI67;MASTL;MYO19;POLR1E;BLMH;PFKP
JAK1 druginhibition 165 GSE38335	11/300	5.656808971291811E-7	4.487735117224836E-5	0	0	7.854853396466946	112.9939175263517	TOP2A;TCF19;GINS1;FEN1;CHAF1B;TTC33;RFC2;CKAP2;MKI67;IQGAP3;AURKB
JAK2 druginhibition 167 GSE38335	11/300	5.656808971291811E-7	4.487735117224836E-5	0	0	7.854853396466946	112.9939175263517	TOP2A;TCF19;GINS1;FEN1;CHAF1B;TTC33;RFC2;CKAP2;MKI67;IQGAP3;AURKB
ALK druginhibition 187 GSE50803	8/300	1.9735894004091267E-4	0.009394285545947444	0	0	5.480011182555214	46.747161173960535	CENPU;RFC2;RAD21;NUSAP1;CDC6;MKI67;TMEM38B;MASTL
SYK druginhibition 283 GSE43510	8/300	1.9735894004091267E-4	0.009394285545947444	0	0	5.480011182555214	46.747161173960535	CENPU;ODF2L;ESPL1;LMO4;KIF4A;MAGEF1;CDK1;HMGB2
PLK1 knockdown 98 GSE27869	7/300	0.001094754973740862	0.043425280625054186	0	0	4.730134105560727	32.246387101438565	HMGB2;CKAP2;MKI67;CCT7;NDC80;AURKB;S100A7
SYK druginhibition 287 GSE43510	6/300	0.005282855226026063	0.1397021715326892	0	0	4.0	20.97315425967354	CENPU;DCLRE1C;NUSAP1;CDK1;HMGB2;KIF20A
MAP3K7 knockdown 37 GDS5023	6/300	0.005282855226026063	0.1397021715326892	0	0	4.0	20.97315425967354	CDCA4;MAST2;HMGB2;TYMS;POLE;LMNB2
ATM knockout 74 GSE23116	6/300	0.005282855226026063	0.1397021715326892	0	0	4.0	20.97315425967354	TCF19;CDCA4;ARID5A;E2F2;IL17RB;PFKP
SYK druginhibition 152 GSE34176	5/300	0.02181326898686792	0.24721704851783646	0	0	3.288974660177882	12.581106987356256	UBXN1;PCNA;MECOM;NDE1;NUSAP1
SYK druginhibition 281 GSE43510	5/300	0.02181326898686792	0.24721704851783646	0	0	3.288974660177882	12.581106987356256	TOP2A;TCF19;RRM2;ESPL1;NDC80
SYK druginhibition 285 GSE43510	5/300	0.02181326898686792	0.24721704851783646	0	0	3.288974660177882	12.581106987356256	TCF19;CENPU;HMGB2;MAP3K8;NDC80
SYK druginhibition 289 GSE43510	5/300	0.02181326898686792	0.24721704851783646	0	0	3.288974660177882	12.581106987356256	TOP2A;DCLRE1C;NUSAP1;BRCA1;MKI67
JAK1 druginhibition 166 GSE38335	5/300	0.02181326898686792	0.24721704851783646	0	0	3.288974660177882	12.581106987356256	TOP2A;DCLRE1C;NUSAP1;TYMS;IQGAP3
JAK2 druginhibition 168 GSE38335	5/300	0.02181326898686792	0.24721704851783646	0	0	3.288974660177882	12.581106987356256	TOP2A;DCLRE1C;NUSAP1;TYMS;IQGAP3
MAP2K1 druginhibition 172 GSE39984	5/300	0.02181326898686792	0.24721704851783646	0	0	3.288974660177882	12.581106987356256	TOP2A;TCF19;RFC2;NUSAP1;ARHGEF10L
CDK19 knockdown 164 GSE38061	5/300	0.02181326898686792	0.24721704851783646	0	0	3.288974660177882	12.581106987356256	MECOM;RFC2;ENOSF1;TYMS;PPM1G
ERBB2 druginhibition 7 GDS2139	5/300	0.02181326898686792	0.24721704851783646	0	0	3.288974660177882	12.581106987356256	RNF19A;MASTL;IQGAP3;POLE;MYO19
CDK9 knockdown 71 GSE21751	5/300	0.02181326898686792	0.24721704851783646	0	0	3.288974660177882	12.581106987356256	ATAD2;NUP153;CDC6;TMEM38B;TYMS
ATM knockdown 18 GDS1852	5/300	0.02181326898686792	0.24721704851783646	0	0	3.288974660177882	12.581106987356256	RRM2;OAS3;MAGEF1;NUSAP1;PFKP
HIPK1 knockout 170 GSE39253	5/300	0.02181326898686792	0.24721704851783646	0	0	3.288974660177882	12.581106987356256	CHAF1A;RRM2;NDE1;BRCA1;POLE
GSK3B knockdown 202 GDS4305	4/300	0.07546669663936502	0.4380749707358262	0	0	2.5964493905670376	6.709390941417647	CDCA4;DSCC1;MYBL2;TUBG1
SYK druginhibition 154 GSE34176	4/300	0.07546669663936502	0.4380749707358262	0	0	2.5964493905670376	6.709390941417647	UBXN1;NDE1;MAGEF1;NOD2
STK33 knockdown 50 GSE15151	4/300	0.07546669663936502	0.4380749707358262	0	0	2.5964493905670376	6.709390941417647	CENPU;SMAD4;RRM2;MKI67
CHEK2 knockdown 84 GSE27869	4/300	0.07546669663936502	0.4380749707358262	0	0	2.5964493905670376	6.709390941417647	ARID5A;CKAP2;EMC4;PLIN2
ABL1 knockdown 137 GSE31534	4/300	0.07546669663936502	0.4380749707358262	0	0	2.5964493905670376	6.709390941417647	SLFN13;SMAD4;MECOM;LRRFIP2
MAP2K1 knockdown 134 GSE31534	4/300	0.07546669663936502	0.4380749707358262	0	0	2.5964493905670376	6.709390941417647	SMAD4;LRRFIP2;CCL28;S100A7
AKT1 activemutant 216 GSE9484	4/300	0.07546669663936502	0.4380749707358262	0	0	2.5964493905670376	6.709390941417647	TCF19;GINS1;PCNA;RAD21
CSF1R druginhibition 195 GSE57686	4/300	0.07546669663936502	0.4380749707358262	0	0	2.5964493905670376	6.709390941417647	CHAF1B;POLR1E;SNX24;PLIN2
MET knockout 252 GSE30651	4/300	0.07546669663936502	0.4380749707358262	0	0	2.5964493905670376	6.709390941417647	UBXN1;RFC2;RNF19A;LMNB2
PLK2 knockdown 87 GSE27869	4/300	0.07546669663936502	0.4380749707358262	0	0	2.5964493905670376	6.709390941417647	DSCC1;EMC4;CCT7;MYO19
CDK8 knockdown 161 GSE38061	4/300	0.07546669663936502	0.4380749707358262	0	0	2.5964493905670376	6.709390941417647	TOM1L2;HSD3B7;MECOM;MAST2
ROCK1 knockdown 156 GSE34769	4/300	0.07546669663936502	0.4380749707358262	0	0	2.5964493905670376	6.709390941417647	HSD3B7;E2F2;BLMH;PLIN2
ROCK2 knockdown 157 GSE34769	4/300	0.07546669663936502	0.4380749707358262	0	0	2.5964493905670376	6.709390941417647	HSD3B7;E2F2;MAP3K8;PLIN2
ABL1 mutant 179 GSE45452	4/300	0.07546669663936502	0.4380749707358262	0	0	2.5964493905670376	6.709390941417647	NUSAP1;CDK1;KIF20A;TUBG1
JAK1 knockdown 160 GSE37012	4/300	0.07546669663936502	0.4380749707358262	0	0	2.5964493905670376	6.709390941417647	DCLRE1C;KIFC1;PLIN2;NDC80
JAK2 knockout 79 GSE26188	4/300	0.07546669663936502	0.4380749707358262	0	0	2.5964493905670376	6.709390941417647	GRK6;FOXJ2;MRPL37;LMNB2
TRIM33 knockdown 304 GSE32903	4/300	0.07546669663936502	0.4380749707358262	0	0	2.5964493905670376	6.709390941417647	RRM2;BLMH;MRPL37;PPM1G
TRPM7 defectivemutant 306 GSE23102	4/300	0.07546669663936502	0.4380749707358262	0	0	2.5964493905670376	6.709390941417647	CENPU;FEN1;GRK6;E2F2
SRC overexpression 276 GSE37428	4/300	0.07546669663936502	0.4380749707358262	0	0	2.5964493905670376	6.709390941417647	ZC3H12C;RAD21;GRK6;HMGB2
ERBB2 knockdown 238 GSE8373	4/300	0.07546669663936502	0.4380749707358262	0	0	2.5964493905670376	6.709390941417647	TCF19;CHAF1A;MAST2;NUSAP1
BRAF druginhibition 175 GSE42872	3/300	0.2129584022394735	0.563156663699941	0	0	1.921839756791213	2.972429655176217	TOM1L2;MTMR3;HTT
BRAF druginhibition 38 GDS5085	3/300	0.2129584022394735	0.563156663699941	0	0	1.921839756791213	2.972429655176217	TOM1L2;MTMR3;HTT
ERBB3 knockdown 65 GSE19921	3/300	0.2129584022394735	0.563156663699941	0	0	1.921839756791213	2.972429655176217	SLC6A9;LMO4;RNF19A
TGFBR2 knockout 293 GSE46211	3/300	0.2129584022394735	0.563156663699941	0	0	1.921839756791213	2.972429655176217	TOP2A;STOM;BLMH
IGF1R druginhibition 46 GSE14024	3/300	0.2129584022394735	0.563156663699941	0	0	1.921839756791213	2.972429655176217	ZNF512B;MTMR3;SNX24
ILK activemutant 78 GSE25729	3/300	0.2129584022394735	0.563156663699941	0	0	1.921839756791213	2.972429655176217	SMAD4;CCT7;PPM1G
TYK2 knockdown 176 GSE44652	3/300	0.2129584022394735	0.563156663699941	0	0	1.921839756791213	2.972429655176217	EMC4;MKI67;LMNB2
TYK2 knockdown 35 GDS4754	3/300	0.2129584022394735	0.563156663699941	0	0	1.921839756791213	2.972429655176217	EMC4;MKI67;LMNB2
SYK druginhibition 153 GSE34176	3/300	0.2129584022394735	0.563156663699941	0	0	1.921839756791213	2.972429655176217	UBXN1;OAS3;NDE1
AKT1 druginhibition 81 GSE26290	3/300	0.2129584022394735	0.563156663699941	0	0	1.921839756791213	2.972429655176217	MTMR3;PCNA;LMNB2
MYLK knockdown 49 GSE14525	3/300	0.2129584022394735	0.563156663699941	0	0	1.921839756791213	2.972429655176217	DSCC1;KIF20A;IL17RB
MET knockout 247 GDS3148	3/300	0.2129584022394735	0.563156663699941	0	0	1.921839756791213	2.972429655176217	FEN1;ATAD2;NUSAP1
MET knockout 250 GDS3148	3/300	0.2129584022394735	0.563156663699941	0	0	1.921839756791213	2.972429655176217	SLC6A9;ALDH1A1;IL17RB
EGFR druginhibition 83 GSE27640	3/300	0.2129584022394735	0.563156663699941	0	0	1.921839756791213	2.972429655176217	SLFN13;ARID5A;CCT7
HIPK2 defectivemutant 17 GDS1793	3/300	0.2129584022394735	0.563156663699941	0	0	1.921839756791213	2.972429655176217	SMAD4;MTMR3;ELAVL2
LRRK2 mutant 32 GDS4400	3/300	0.2129584022394735	0.563156663699941	0	0	1.921839756791213	2.972429655176217	SLC6A9;MAST2;PLIN2
AKT2 knockdown 44 GSE12291	3/300	0.2129584022394735	0.563156663699941	0	0	1.921839756791213	2.972429655176217	PYCRL;ALDH1A1;IQGAP3
MET knockout 258 GSE25583	3/300	0.2129584022394735	0.563156663699941	0	0	1.921839756791213	2.972429655176217	HSD3B7;SMAD4;TMEM38B
