Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
NR3C1 knockdown 96h HCC515	15/300	5.876373343657656E-11	1.852820515255259E-7	0	0	11.341237709658762	267.17116458427745	TOP2A;GINS1;FEN1;PCNA;RRM2;PYCRL;MKI67;TYMS;CHAF1B;CHAF1A;NASP;KIFC1;KIF4A;CDK1;POLR1E
STK33 knockdown 96h A549	14/300	6.617502700123587E-10	5.216246503372417E-7	0	0	10.432958346001824	220.51239379481854	TOP2A;PCNA;DSCC1;CDC6;BRCA1;MKI67;PKMYT1;CHAF1A;KIF4A;NUSAP1;CDK1;FFAR2;PLIN2;POLE
FZD5 knockdown 96h HCC515	14/300	6.617502700123587E-10	5.216246503372417E-7	0	0	10.432958346001824	220.51239379481854	TOP2A;PCNA;RRM2;WDR62;CDC6;BRCA1;PKMYT1;TYMS;MYO19;CHAF1B;CHAF1A;NASP;PIDD;POLE
GPR56 knockdown 96h HT29	14/300	6.617502700123587E-10	5.216246503372417E-7	0	0	10.432958346001824	220.51239379481854	FEN1;DSCC1;HMGB2;CDC6;BRCA1;PKMYT1;ELAVL2;LMNB2;CHAF1B;CHAF1A;ESPL1;KIFC1;CDK1;BLMH
CSNK1A1 knockdown 96h A375	13/300	6.86363188416222E-9	1.664694717751037E-6	0	0	9.549698400209808	179.5059587834938	DSCC1;WDR62;MKI67;PKMYT1;NDC80;AURKB;CHAF1B;CHAF1A;GRK6;CDK1;BLMH;CLSPN;POLE
GPR123 knockdown 96h A375	13/300	6.86363188416222E-9	1.664694717751037E-6	0	0	9.549698400209808	179.5059587834938	FEN1;RRM2;MAST2;ARHGEF10L;BRCA1;PKMYT1;SYNE2;CHAF1B;CHAF1A;ESPL1;OAS3;PLIN2;PIDD
SRC knockdown 96h A375	13/300	6.86363188416222E-9	1.664694717751037E-6	0	0	9.549698400209808	179.5059587834938	FEN1;PYCRL;DSCC1;WDR62;CDC6;BRCA1;PKMYT1;TYMS;CHAF1B;CHAF1A;ESPL1;KIFC1;CDK1
WEE1 knockdown 96h A375	13/300	6.86363188416222E-9	1.664694717751037E-6	0	0	9.549698400209808	179.5059587834938	TOP2A;PAXIP1;PYCRL;BRCA1;MKI67;PKMYT1;AURKB;CHAF1B;CHAF1A;ESPL1;CDK1;MYBL2;KIF20A
ERBB3 knockdown 96h A549	13/300	6.86363188416222E-9	1.664694717751037E-6	0	0	9.549698400209808	179.5059587834938	TOP2A;SMAD4;PCNA;DSCC1;CDC6;BRCA1;MKI67;PKMYT1;CHAF1A;KIF4A;NUSAP1;CDK1;FFAR2
MST1R knockdown 96h A549	13/300	6.86363188416222E-9	1.664694717751037E-6	0	0	9.549698400209808	179.5059587834938	FEN1;RRM2;PYCRL;DSCC1;CDC6;BRCA1;MKI67;PKMYT1;CHAF1B;CHAF1A;KIF4A;CDK1;POLE
WEE1 knockdown 96h A549	13/300	6.86363188416222E-9	1.664694717751037E-6	0	0	9.549698400209808	179.5059587834938	RFC2;DSCC1;FOXJ2;BRCA1;MKI67;PKMYT1;AURKB;CHAF1B;CHAF1A;ESPL1;KIFC1;KIF4A;CDK1
AURKB knockdown 96h HT29	13/300	6.86363188416222E-9	1.664694717751037E-6	0	0	9.549698400209808	179.5059587834938	FEN1;PCNA;DSCC1;MKI67;MYO19;AURKB;CHAF1B;CHAF1A;NASP;ESPL1;ENOSF1;CDK1;PIDD
RARA knockdown 96h HT29	13/300	6.86363188416222E-9	1.664694717751037E-6	0	0	9.549698400209808	179.5059587834938	TOP2A;FOXJ2;CDC6;BRCA1;MKI67;PKMYT1;TOM1L2;TBC1D1;CHAF1B;CHAF1A;KIFC1;GRK6;POLE
CDK4 knockdown 96h A375	12/300	6.525842737851168E-8	1.0287991076222366E-5	0	0	8.690602836879433	143.78524737742205	MTMR3;UBXN1;KIFC1;DSCC1;GRK6;FOXJ2;HTT;FFAR2;WDR62;PIDD;PKMYT1;POLE
MAP2K2 knockdown 96h A375	12/300	6.525842737851168E-8	1.0287991076222366E-5	0	0	8.690602836879433	143.78524737742205	CHAF1B;PCNA;RFC2;DSCC1;CDK1;KIF20A;WDR62;BRCA1;MKI67;PKMYT1;NDC80;AURKB
MAPKAPK5 knockdown 96h A549	12/300	6.525842737851168E-8	1.0287991076222366E-5	0	0	8.690602836879433	143.78524737742205	TOP2A;CHAF1A;PCNA;PYCRL;ESPL1;KIFC1;KIF4A;WDR62;BRCA1;MKI67;PKMYT1;POLE
TTK knockdown 96h A549	12/300	6.525842737851168E-8	1.0287991076222366E-5	0	0	8.690602836879433	143.78524737742205	TOP2A;CHAF1B;CHAF1A;PCNA;ESPL1;KIFC1;DSCC1;KIF4A;CDK1;BRCA1;MKI67;PKMYT1
ESR1 knockdown 96h MCF7	12/300	6.525842737851168E-8	1.0287991076222366E-5	0	0	8.690602836879433	143.78524737742205	CHAF1B;CHAF1A;CDCA4;KIFC1;DSCC1;KIF4A;MAST2;E2F2;WDR62;CDC6;PIDD;TYMS
PTK2 knockdown 96h MCF7	12/300	6.525842737851168E-8	1.0287991076222366E-5	0	0	8.690602836879433	143.78524737742205	TBC1D1;FEN1;CHAF1B;MTMR3;CHAF1A;ESPL1;KIFC1;CDK1;ARHGEF10L;BRCA1;PKMYT1;LMNB2
GPR111 knockdown 96h PC3	12/300	6.525842737851168E-8	1.0287991076222366E-5	0	0	8.690602836879433	143.78524737742205	CHAF1B;PCNA;RFC2;NUSAP1;CDK1;CKAP2;BLMH;MYBL2;BRCA1;MKI67;POLE;PPM1G
ARAF knockdown 96h A375	11/300	5.656808971291811E-7	5.5737245895259624E-5	0	0	7.854853396466946	112.9939175263517	TOP2A;CHAF1B;MTMR3;PCNA;RFC2;KIFC1;DSCC1;HTT;BLMH;KIF20A;WDR62
GPR125 knockdown 96h A375	11/300	5.656808971291811E-7	5.5737245895259624E-5	0	0	7.854853396466946	112.9939175263517	TBC1D1;SMAD4;CHAF1B;PCNA;KIFC1;ENOSF1;NUSAP1;CDC6;MKI67;PKMYT1;SYNE2
MAPK1 knockdown 96h A375	11/300	5.656808971291811E-7	5.5737245895259624E-5	0	0	7.854853396466946	112.9939175263517	CHAF1B;CHAF1A;DSCC1;CDK1;WDR62;CDC6;BRCA1;PKMYT1;POLE;MYO19;AURKB
PRKCA knockdown 96h A375	11/300	5.656808971291811E-7	5.5737245895259624E-5	0	0	7.854853396466946	112.9939175263517	CHAF1B;PCNA;PYCRL;ESPL1;RFC2;CDK1;KIF20A;WDR62;BRCA1;PKMYT1;AURKB
ATR knockdown 96h A549	11/300	5.656808971291811E-7	5.5737245895259624E-5	0	0	7.854853396466946	112.9939175263517	TOP2A;CHAF1A;ESPL1;DSCC1;ATAD2;CDK1;BLMH;BRCA1;MKI67;PKMYT1;TYMS
CHRM1 knockdown 96h A549	11/300	5.656808971291811E-7	5.5737245895259624E-5	0	0	7.854853396466946	112.9939175263517	RRM2;PYCRL;KIFC1;ENOSF1;NDE1;HTT;BLMH;PLIN2;MKI67;PKMYT1;POLE
DYRK3 knockdown 96h A549	11/300	5.656808971291811E-7	5.5737245895259624E-5	0	0	7.854853396466946	112.9939175263517	TOP2A;CHAF1A;PYCRL;ESPL1;KIF4A;CDK1;CDC6;BRCA1;MKI67;PKMYT1;POLE
