Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
E2F Targets	21/200	1.304145427500083E-21	3.9124362825002495E-20	0	0	27.21097601051594	1308.5415225276085	TOP2A;TCF19;GINS1;PCNA;RRM2;RFC2;DSCC1;ATAD2;HMGB2;NUP153;BRCA1;MKI67;TUBG1;AURKB;NASP;ESPL1;RAD21;KIF4A;CDK1;MYBL2;POLE
G2-M Checkpoint	15/200	1.720026026324044E-13	2.5800390394860657E-12	0	0	17.56073656073656	516.1322932262999	TOP2A;CDC6;MKI67;NDC80;AURKB;CHAF1A;NASP;ESPL1;RAD21;KIF4A;NUSAP1;CDK1;E2F2;MYBL2;POLE
Mitotic Spindle	6/199	6.727571071104419E-4	0.006727571071104419	0	0	6.124663212435233	44.73531306151923	TOP2A;ESPL1;KIF4A;NUSAP1;CDK1;NDC80
Glycolysis	5/200	0.004264616976171701	0.03198462732128776	0	0	5.001015486164001	27.292556458953126	PAXIP1;NASP;CDK1;KIF20A;PFKP
DNA Repair	4/150	0.00836248199979553	0.04763578916690019	0	0	5.3043244695138325	25.375888294091116	FEN1;PCNA;RFC2;TYMS
Apoptosis	4/161	0.010650447072557986	0.04763578916690019	0	0	4.929936305732484	22.392526997550394	TOP2A;HMGB2;BRCA1;TNF
IL-6/JAK/STAT3 Signaling	3/87	0.011115017472276712	0.04763578916690019	0	0	6.868932038834951	30.906472309959597	MAP3K8;TNF;IL17RB
Pperoxisome	3/104	0.017905122351945853	0.059653143857955074	0	0	5.707872729020475	22.960879498894176	TOP2A;HSD3B7;ALDH1A1
Estrogen Response Late	4/200	0.02187281941458353	0.059653143857955074	0	0	3.9411764705882355	15.06518858152958	TOP2A;KIF20A;CDC6;IL17RB
Myc Targets V1	4/200	0.02187281941458353	0.059653143857955074	0	0	3.9411764705882355	15.06518858152958	PCNA;TYMS;CCT7;PPM1G
heme Metabolism	4/200	0.02187281941458353	0.059653143857955074	0	0	3.9411764705882355	15.06518858152958	SLC6A9;RNF19A;FOXJ2;E2F2
IL-2/STAT5 Signaling	3/199	0.08922192152633836	0.2230548038158459	0	0	2.9271844660194173	7.073917442127937	MAP3K8;PLIN2;CDC6
Bile Acid Metabolism	2/112	0.11906126342565873	0.27475676175152014	0	0	3.458741258741259	7.360606415962068	HSD3B7;ALDH1A1
Spermatogenesis	2/135	0.16059773185736756	0.3437480749566104	0	0	2.8572874493927127	5.225557582196928	MAST2;CDK1
Apical Surface	1/44	0.20869517162400106	0.3437480749566104	0	0	4.396677740863788	6.889069059482109	BRCA1
Reactive Oxygen Species Pathway	1/49	0.22949094066533868	0.3437480749566104	0	0	3.937698412698413	5.795865707171542	PFKP
TNF-alpha Signaling via NF-kB	2/200	0.2864567291305087	0.3437480749566104	0	0	1.912975912975913	2.3915408635892965	MAP3K8;TNF
Hypoxia	2/200	0.2864567291305087	0.3437480749566104	0	0	1.912975912975913	2.3915408635892965	PLIN2;PFKP
Adipogenesis	2/200	0.2864567291305087	0.3437480749566104	0	0	1.912975912975913	2.3915408635892965	STOM;PLIN2
Estrogen Response Early	2/200	0.2864567291305087	0.3437480749566104	0	0	1.912975912975913	2.3915408635892965	SNX24;IL17RB
Interferon Gamma Response	2/200	0.2864567291305087	0.3437480749566104	0	0	1.912975912975913	2.3915408635892965	OAS3;PFKP
mTORC1 Signaling	2/200	0.2864567291305087	0.3437480749566104	0	0	1.912975912975913	2.3915408635892965	RRM2;TUBG1
Inflammatory Response	2/200	0.2864567291305087	0.3437480749566104	0	0	1.912975912975913	2.3915408635892965	FFAR2;NOD2
p53 Pathway	2/200	0.2864567291305087	0.3437480749566104	0	0	1.912975912975913	2.3915408635892965	PCNA;STOM
Allograft Rejection	2/200	0.2864567291305087	0.3437480749566104	0	0	1.912975912975913	2.3915408635892965	BRCA1;TNF
PI3K/AKT/mTOR  Signaling	1/105	0.42847015567821656	0.4943886411671729	0	0	1.8122710622710623	1.535961689955308	CDK1
Fatty Acid Metabolism	1/158	0.5695598620528467	0.6102427093423357	0	0	1.197270245677889	0.6739331107226537	ALDH1A1
UV Response Up	1/158	0.5695598620528467	0.6102427093423357	0	0	1.197270245677889	0.6739331107226537	FEN1
Apical Junction	1/200	0.6563575850020138	0.6563575850020138	0	0	0.9425699928212491	0.3968686613882323	TUBG1
KRAS Signaling Dn	1/200	0.6563575850020138	0.6563575850020138	0	0	0.9425699928212491	0.3968686613882323	MSH5
